Datum (MEZ),Kernenergie,Nicht Erneuerbar,Erneuerbar,Day Ahead Auktion
,Leistung (MW),Leistung (MW),Leistung (MW),"Preis (EUR/MWh, EUR/tCO2)"
2023-01-01T00:00+01:00,2459.17,9146.7,38384.87,-5.17
2023-01-01T01:00+01:00,2458.6,8925.67,39415.39,-1.07
2023-01-01T02:00+01:00,2459.64,8902.45,39610.5,-1.47
2023-01-01T03:00+01:00,2460.48,8901.06,37023.62,-5.08
2023-01-01T04:00+01:00,2460.8,8863.2,36499.66,-4.49
2023-01-01T05:00+01:00,2465.02,8800.74,36722.06,-5.4
2023-01-01T06:00+01:00,2464.46,8845.96,36516.29,-5.02
2023-01-01T07:00+01:00,2464.22,8864.84,37344.98,-1.3
2023-01-01T08:00+01:00,2462.72,8829.9,36826.27,-1.44
2023-01-01T09:00+01:00,2466.13,8791.15,38899.12,-1.09
2023-01-01T10:00+01:00,2463.94,8763.25,41139.17,-1.07
2023-01-01T11:00+01:00,2461.94,8788.66,42315.23,-1.07
2023-01-01T12:00+01:00,2458.65,8791.68,41168.98,-0.79
2023-01-01T13:00+01:00,2455.92,9015.68,39246.97,-0.27
2023-01-01T14:00+01:00,2453.44,9085.57,39013.44,0.85
2023-01-01T15:00+01:00,2449.8,9121.96,37663.21,23.53
2023-01-01T16:00+01:00,2452.08,9792.64,34690.4,36.54
2023-01-01T17:00+01:00,2456.71,9584.96,33504.58,46.03
2023-01-01T18:00+01:00,2457.24,10084.18,32816.31,55.57
2023-01-01T19:00+01:00,2458.7,9989.57,32237.66,54.95
2023-01-01T20:00+01:00,2461.96,9804.17,32138.02,49.23
2023-01-01T21:00+01:00,2461.55,9547.51,32432.51,44.99
2023-01-01T22:00+01:00,2461.7,9577.39,30511.54,45.96
2023-01-01T23:00+01:00,2460.57,9625.31,29750.68,35
2023-01-02T00:00+01:00,2462.9,9920.19,28237.28,57.91
2023-01-02T01:00+01:00,2461.29,9895.19,27536.35,51.67
2023-01-02T02:00+01:00,2461.07,9974.34,28812.64,52.93
2023-01-02T03:00+01:00,2460.11,10025.47,30103.83,44.09
2023-01-02T04:00+01:00,2459.4,10878.34,31999.97,50.08
2023-01-02T05:00+01:00,2459.48,11744.35,33312.92,69.72
2023-01-02T06:00+01:00,2459.9,13953.3,35515.19,105.08
2023-01-02T07:00+01:00,2462.35,16478.49,37248.81,140.64
2023-01-02T08:00+01:00,2461.83,17380.04,39500.92,145.98
2023-01-02T09:00+01:00,2462.84,18808.27,42008.93,147.05
2023-01-02T10:00+01:00,2463.16,19956.65,43220.44,145.61
2023-01-02T11:00+01:00,2464.97,20426.62,44548.34,143.35
2023-01-02T12:00+01:00,2462.91,19937.57,44542.24,144.38
2023-01-02T13:00+01:00,2459.3,20423.25,43007.35,143.76
2023-01-02T14:00+01:00,2457.84,21164.91,40758.97,148.2
2023-01-02T15:00+01:00,2458.85,21498.07,37377.02,155.34
2023-01-02T16:00+01:00,2458,21725.09,36017.28,162.89
2023-01-02T17:00+01:00,2456.21,22168.74,36202.62,170
2023-01-02T18:00+01:00,2455.21,22252.2,36522.43,174.74
2023-01-02T19:00+01:00,2457.02,22472.06,36113.38,164.46
2023-01-02T20:00+01:00,2457.64,22228.01,35121.57,153
2023-01-02T21:00+01:00,2456.83,21694.9,33902.14,141.67
2023-01-02T22:00+01:00,2458.32,21556.29,32561.77,134.91
2023-01-02T23:00+01:00,2458.61,20997.62,31616.08,124.22
2023-01-03T00:00+01:00,2457.7,20337.09,30368.31,130.01
2023-01-03T01:00+01:00,2457.92,20244.13,29202.01,120
2023-01-03T02:00+01:00,2461.34,19667.95,27795.05,118.76
2023-01-03T03:00+01:00,2461.36,19835.02,26277.43,115
2023-01-03T04:00+01:00,2463.99,20378.85,24949.68,113.63
2023-01-03T05:00+01:00,2464.34,21491.39,23618.26,116.27
2023-01-03T06:00+01:00,2464.25,24463.03,22730.9,138.92
2023-01-03T07:00+01:00,2463.14,26432.87,22118.23,159.92
2023-01-03T08:00+01:00,2462.58,27629.81,21780.95,169.17
