ID;Zeit;Strombedarf normiert;Heizwärme normiert;Warmwasser normiert
EFH;00:00;0.017770661;0.012216405;0
EFH;00:15;0.012220244;0.012216405;0
EFH;00:30;0.014342462;0.012216405;0.014084507
EFH;00:45;0.012103639;0.006980803;0
EFH;01:00;0.009763757;0.008726003;0
EFH;01:15;0.00953832;0.006980803;0
EFH;01:30;0.009584963;0.006980803;0
EFH;01:45;0.008278982;0.013961606;0.014084507
EFH;02:00;0.008551061;0.010471204;0
EFH;02:15;0.010782111;0.008726003;0
EFH;02:30;0.009569415;0.010471204;0
EFH;02:45;0.008628798;0.010471204;0
EFH;03:00;0.006366654;0.008726003;0
EFH;03:15;0.006973002;0.008726003;0
EFH;03:30;0.005900232;0.008726003;0
EFH;03:45;0.005418264;0.012216405;0
EFH;04:00;0.006996323;0.010471204;0.028169014
EFH;04:15;0.007081834;0.010471204;0.014084507
EFH;04:30;0.006607638;0.012216405;0
EFH;04:45;0.007338366;0.008726003;0
EFH;05:00;0.017716245;0.001745201;0
EFH;05:15;0.009009709;0;0.070422535
EFH;05:30;0.005806948;0.020942408;0
EFH;05:45;0.018672409;0.019197208;0
EFH;06:00;0.019675215;0.012216405;0
EFH;06:15;0.01307535;0.008726003;0.014084507
EFH;06:30;0.015446327;0.008726003;0.126760563
EFH;06:45;0.004578705;0.003490401;0.112676056
EFH;07:00;0.006133443;0.015706806;0.042253521
EFH;07:15;0.008636572;0.013961606;0
EFH;07:30;0.008364493;0.010471204;0
EFH;07:45;0.008784272;0.003490401;0
EFH;08:00;0.011792691;0.012216405;0.028169014
EFH;08:15;0.009616057;0.010471204;0.084507042
EFH;08:30;0.00787475;0.012216405;0
EFH;08:45;0.006895265;0.010471204;0.070422535
EFH;09:00;0.009608284;0.013961606;0.028169014
EFH;09:15;0.009678247;0.013961606;0
EFH;09:30;0.008488872;0.012216405;0.014084507
EFH;09:45;0.007999129;0.010471204;0
EFH;10:00;0.019325399;0.010471204;0
EFH;10:15;0.013759435;0.012216405;0.014084507
EFH;10:30;0.008519967;0.010471204;0
EFH;10:45;0.024168409;0.010471204;0
EFH;11:00;0.004578705;0.006980803;0
EFH;11:15;0.00484301;0.012216405;0
EFH;11:30;0.003824657;0.008726003;0
EFH;11:45;0.004944068;0.008726003;0
EFH;12:00;0.004477647;0.012216405;0
EFH;12:15;0.004936295;0.008726003;0
EFH;12:30;0.002845171;0.010471204;0
EFH;12:45;0.003226082;0.012216405;0
EFH;13:00;0.004244436;0.001745201;0
EFH;13:15;0.002782982;0;0
EFH;13:30;0.004057867;0.019197208;0
EFH;13:45;0.004555384;0.017452007;0
EFH;14:00;0.004586478;0.013961606;0
EFH;14:15;0.004578705;0.008726003;0
EFH;14:30;0.002814077;0.008726003;0
EFH;14:45;0.003070608;0.015706806;0
EFH;15:00;0.004500968;0.008726003;0
EFH;15:15;0.002961777;0.013961606;0
EFH;15:30;0.005744759;0.012216405;0
EFH;15:45;0.008893104;0.010471204;0.014084507
EFH;16:00;0.008434456;0.013961606;0.014084507
EFH;16:15;0.008784272;0.013961606;0
EFH;16:30;0.012538966;0.013961606;0
EFH;16:45;0.008100187;0.012216405;0
EFH;17:00;0.00526279;0.001745201;0
EFH;17:15;0.00499071;0.015706806;0
EFH;17:30;0.007097381;0.017452007;0
EFH;17:45;0.006514354;0.013961606;0.056338028
EFH;18:00;0.00555819;0.010471204;0.042253521
EFH;18:15;0.005643701;0.013961606;0.028169014
EFH;18:30;0.008131282;0.008726003;0.014084507
EFH;18:45;0.01738975;0.013961606;0.014084507
EFH;19:00;0.016254791;0.019197208;0.042253521
EFH;19:15;0.017560771;0.013961606;0
EFH;19:30;0.015912748;0.005235602;0.014084507
EFH;19:45;0.017102123;0.006980803;0
EFH;20:00;0.016550191;0.001745201;0
EFH;20:15;0.021307691;0.012216405;0
EFH;20:30;0.019131057;0.008726003;0
EFH;20:45;0.015166474;0.005235602;0
EFH;21:00;0.014746694;0.003490401;0
EFH;21:15;0.017148765;0.006980803;0
EFH;21:30;0.01819044;0.003490401;0
EFH;21:45;0.016604607;0.012216405;0.028169014
EFH;22:00;0.017747339;0.017452007;0.028169014
EFH;22:15;0.015772822;0.010471204;0.014084507
EFH;22:30;0.014894394;0.005235602;0.014084507
EFH;22:45;0.02707577;0.003490401;0
EFH;23:00;0.023080092;0.008726003;0
EFH;23:15;0.019107736;0.015706806;0
EFH;23:30;0.017576318;0.013961606;0
EFH;23:45;0.016713438;0.005235602;0
;;;;
;;;;
;;;;
