ID;Zeit;Strombedarf normiert;Heizwärme normiert;Warmwasser normiert
EFH;00:00;0.008478533;0.005154639;0
EFH;00:15;0.005751956;0.012886598;0
EFH;00:30;0.005630568;0.007731959;0
EFH;00:45;0.005742619;0.005154639;0
EFH;01:00;0.005938708;0.010309278;0
EFH;01:15;0.006144135;0.010309278;0
EFH;01:30;0.005742619;0.007731959;0
EFH;01:45;0.006013409;0.007731959;0
EFH;02:00;0.005593217;0.012886598;0
EFH;02:15;0.005611892;0.005154639;0
EFH;02:30;0.006013409;0.010309278;0
EFH;02:45;0.005677255;0.010309278;0
EFH;03:00;0.00562123;0.007731959;0
EFH;03:15;0.005938708;0.010309278;0
EFH;03:30;0.005677255;0.010309278;0
EFH;03:45;0.005677255;0.012886598;0
EFH;04:00;0.005705268;0.00257732;0
EFH;04:15;0.005985396;0.015463918;0
EFH;04:30;0.005742619;0.015463918;0
EFH;04:45;0.005677255;0.010309278;0
EFH;05:00;0.007647487;0.036082474;0.338028169
EFH;05:15;0.025407586;0.041237113;0.014084507
EFH;05:30;0.011083721;0.00257732;0
EFH;05:45;0.01104637;0.023195876;0
EFH;06:00;0.012409659;0.018041237;0
EFH;06:15;0.005948046;0.005154639;0
EFH;06:30;0.005705268;0.010309278;0
EFH;06:45;0.003240144;0.018041237;0
EFH;07:00;0.004323305;0.012886598;0.042253521
EFH;07:15;0.00821708;0.005154639;0.014084507
EFH;07:30;0.005406465;0.012886598;0
EFH;07:45;0.004902235;0.010309278;0
EFH;08:00;0.004911573;0.010309278;0
EFH;08:15;0.00484621;0.005154639;0
EFH;08:30;0.006713728;0.010309278;0.014084507
EFH;08:45;0.008711973;0.010309278;0
EFH;09:00;0.002763927;0.005154639;0
EFH;09:15;0.013698246;0.012886598;0.014084507
EFH;09:30;0.027844697;0.010309278;0.014084507
EFH;09:45;0.026341345;0.010309278;0
EFH;10:00;0.014529292;0.007731959;0.014084507
EFH;10:15;0.012577735;0.010309278;0.056338028
EFH;10:30;0.027527219;0.020618557;0
EFH;10:45;0.021345734;0;0
EFH;11:00;0.011830728;0.012886598;0.014084507
EFH;11:15;0.013810297;0.007731959;0.028169014
EFH;11:30;0.003679011;0.00257732;0
EFH;11:45;0.004463369;0.012886598;0
EFH;12:00;0.006041422;0.020618557;0.070422535
EFH;12:15;0.008590584;0.005154639;0.056338028
EFH;12:30;0.031626422;0.023195876;0.028169014
EFH;12:45;0.008161055;0;0.056338028
EFH;13:00;0.020916204;0;0.028169014
EFH;13:15;0.00763815;0.025773196;0.014084507
EFH;13:30;0.006321549;0.012886598;0
EFH;13:45;0.006190823;0.010309278;0
EFH;14:00;0.004491381;0.007731959;0.014084507
EFH;14:15;0.006069434;0.010309278;0
EFH;14:30;0.005191701;0;0
EFH;14:45;0.006807104;0.012886598;0.014084507
EFH;15:00;0.006097447;0.010309278;0
EFH;15:15;0.00992586;0.010309278;0.014084507
EFH;15:30;0.010981007;0.005154639;0
EFH;15:45;0.00507965;0.010309278;0
EFH;16:00;0.00515435;0.010309278;0
EFH;16:15;0.004911573;0.00257732;0
EFH;16:30;0.003977814;0.012886598;0
EFH;16:45;0.003314845;0.010309278;0
EFH;17:00;0.005238389;0.005154639;0
EFH;17:15;0.005397128;0.007731959;0
EFH;17:30;0.006405588;0.010309278;0
EFH;17:45;0.006536314;0.007731959;0
EFH;18:00;0.008870712;0.005154639;0.014084507
EFH;18:15;0.011961454;0.018041237;0
EFH;18:30;0.011597288;0.012886598;0
EFH;18:45;0.005779969;0.012886598;0
EFH;19:00;0.010205987;0.007731959;0.014084507
EFH;19:15;0.012540385;0.012886598;0
EFH;19:30;0.015715166;0.012886598;0
EFH;19:45;0.017181168;0.005154639;0
EFH;20:00;0.020085159;0.010309278;0
EFH;20:15;0.018339029;0.018041237;0
EFH;20:30;0.017274544;0.012886598;0
EFH;20:45;0.017489308;0.005154639;0
EFH;21:00;0.017825462;0.010309278;0
EFH;21:15;0.019777018;0.007731959;0
EFH;21:30;0.019496891;0.00257732;0
EFH;21:45;0.018563131;0.012886598;0
EFH;22:00;0.046547893;0.010309278;0
EFH;22:15;0.024062973;0.012886598;0
EFH;22:30;0.028498329;0.007731959;0.042253521
EFH;22:45;0.019973108;0.030927835;0.070422535
EFH;23:00;0.008655947;0;0
EFH;23:15;0.003697686;0;0
EFH;23:30;0.002670551;0;0
EFH;23:45;0.00282929;0.00257732;0
