ID;Zeit;Strombedarf normiert;Heizwärme normiert;Warmwasser normiert
MFH;00:00;0.008248;0.007962;0
MFH;00:15;0.007486;0.008176;0
MFH;00:30;0.005929;0.007288;0
MFH;00:45;0.005896;0.006474;0
MFH;01:00;0.005962;0.007847;0
MFH;01:15;0.005797;0.007514;0
MFH;01:30;0.006128;0.007679;0
MFH;01:45;0.006459;0.007516;0
MFH;02:00;0.006459;0.007557;0
MFH;02:15;0.006327;0.007045;0
MFH;02:30;0.005731;0.006783;0
MFH;02:45;0.005797;0.007097;0
MFH;03:00;0.005333;0.007575;0
MFH;03:15;0.005797;0.006764;0
MFH;03:30;0.005466;0.00677;0
MFH;03:45;0.004936;0.00694;0
MFH;04:00;0.006128;0.012528;0
MFH;04:15;0.006294;0.009859;0
MFH;04:30;0.006095;0.006212;0
MFH;04:45;0.005201;0.006652;0
MFH;05:00;0.005565;0.007605;0
MFH;05:15;0.006526;0.013545;0
MFH;05:30;0.006294;0.012384;0.002641
MFH;05:45;0.007784;0.013987;0.029513
MFH;06:00;0.008281;0.010664;0.008908
MFH;06:15;0.008944;0.009498;0
MFH;06:30;0.008414;0.008727;0.039929
MFH;06:45;0.0106;0.007939;0.15303
MFH;07:00;0.012256;0.00423;0.012314
MFH;07:15;0.012985;0.001032;0.004553
MFH;07:30;0.010633;0.00499;0.009214
MFH;07:45;0.010136;0.017356;0.006024
MFH;08:00;0.007817;0.016099;0.000814
MFH;08:15;0.011461;0.015261;0.045996
MFH;08:30;0.01219;0.01386;0.018213
MFH;08:45;0.010368;0.01173;0.030908
MFH;09:00;0.011362;0.010624;0.015781
MFH;09:15;0.010401;0.008326;0.040461
MFH;09:30;0.009407;0.011698;0.013859
MFH;09:45;0.010269;0.013175;0.025617
MFH;10:00;0.012786;0.006218;0.005447
MFH;10:15;0.01262;0.011082;0.010752
MFH;10:30;0.010931;0.010436;0.002536
MFH;10:45;0.008149;0.009221;0.019181
MFH;11:00;0.008612;0.011649;0.015924
MFH;11:15;0.009639;0.014567;0.008894
MFH;11:30;0.012422;0.012005;0.012729
MFH;11:45;0.011097;0.010174;0.007179
MFH;12:00;0.008281;0.010576;0.014456
MFH;12:15;0.011097;0.009343;0
MFH;12:30;0.00795;0.010702;0.002463
MFH;12:45;0.007122;0.008777;0.000458
MFH;13:00;0.006923;0.005727;0
MFH;13:15;0.006857;0.009076;0
MFH;13:30;0.006294;0.008808;0
MFH;13:45;0.005598;0.008238;0
MFH;14:00;0.007089;0.008218;0.001011
MFH;14:15;0.008281;0.009328;0.004392
MFH;14:30;0.010732;0.008489;0.005444
MFH;14:45;0.009275;0.008331;0
MFH;15:00;0.007254;0.010312;0
MFH;15:15;0.008281;0.012076;0.00101
MFH;15:30;0.011395;0.013008;0.00299
MFH;15:45;0.01325;0.011682;0
MFH;16:00;0.011859;0.004261;0.0007
MFH;16:15;0.010401;0.009781;0.000175
MFH;16:30;0.010434;0.01211;0
MFH;16:45;0.0106;0.012409;0.001088
MFH;17:00;0.008579;0.015456;0.000057
MFH;17:15;0.009109;0.015679;0
MFH;17:30;0.009242;0.011885;0
MFH;17:45;0.009739;0.011972;0.001984
MFH;18:00;0.012554;0.017632;0.002284
MFH;18:15;0.015237;0.017392;0.066406
MFH;18:30;0.017887;0.01746;0.006009
MFH;18:45;0.028653;0.022185;0.011619
MFH;19:00;0.03127;0.018491;0.099005
MFH;19:15;0.033323;0.005327;0.009628
MFH;19:30;0.028322;0.008052;0.023413
MFH;19:45;0.026235;0.011368;0.07037
MFH;20:00;0.027957;0.014789;0.008576
MFH;20:15;0.018053;0.015218;0.000112
MFH;20:30;0.015469;0.018035;0.083042
MFH;20:45;0.011262;0.000842;0.01868
MFH;21:00;0.012654;0.011709;0.009721
MFH;21:15;0.013449;0.005406;0.001586
MFH;21:30;0.009474;0.016321;0
MFH;21:45;0.013912;0.013664;0
MFH;22:00;0.009772;0.013529;0
MFH;22:15;0.007586;0.011754;0.002878
MFH;22:30;0.008944;0.009974;0
MFH;22:45;0.008745;0.010529;0.00055
MFH;23:00;0.009573;0.010444;0
MFH;23:15;0.008778;0.012717;0.005013
MFH;23:30;0.007917;0.00897;0.002244
MFH;23:45;0.007917;0.011629;0.00222
