Land;Bundesland;Stadt;Adresse;Wärmebedarf;Gebäudetyp;WW_Anteil;Typ_Heizflächen;VLT_max;Steigung_Heizkurve;RLT_max;UTM_X;UTM_Y
02953;Görlitz;Bad Muskau;Bad Muskau - Mužakow Köbelner Straße;0;HMF;0.2;HK;70;1.5;55;479963.53574299073;5711407.376633226
02953;Görlitz;Bad Muskau;Bad Muskau - Mužakow Köbelner Straße;0;HMF;0.2;HK;70;1.5;55;479974.6896371835;5711425.326668163
02953;Görlitz;Bad Muskau;Bad Muskau - Mužakow Köbelner Straße;0;HMF;0.2;HK;70;1.5;55;479956.2481548629;5711418.049266658
02953;Görlitz;Bad Muskau;Bad Muskau - Mužakow Köbelner Straße;0;HMF;0.2;HK;70;1.5;55;480009.56670881854;5711422.521022932
Sachsen;Bad Muskau;Bad Muskau - Mužakow;Berliner Straße 47;0;HMF;0.2;HK;70;1.5;55;480257.5441328001;5711072.760226025
02953;Görlitz;Bad Muskau;Bad Muskau - Mužakow Jahnstraße;0;HMF;0.2;HK;70;1.5;55;480286.8247593704;5711275.44163698
02953;Görlitz;Bad Muskau;Bad Muskau - Mužakow Köbelner Straße;0;HMF;0.2;HK;70;1.5;55;480155.9685138567;5711276.02795817
02953;Görlitz;Bad Muskau;Bad Muskau - Mužakow Jahnstraße;0;HMF;0.2;HK;70;1.5;55;480289.6775354503;5711315.789223251
02953;Görlitz;Bad Muskau;Bad Muskau - Mužakow Köbelner Straße;0;HMF;0.2;HK;70;1.5;55;480088.24462701695;5711395.599247035
02953;Görlitz;Bad Muskau;Bad Muskau - Mužakow Berliner Straße;0;HMF;0.2;HK;70;1.5;55;480283.195502038;5711040.345166725
02953;Görlitz;Bad Muskau;Bad Muskau - Mužakow Köbelner Straße;0;HMF;0.2;HK;70;1.5;55;480150.8099371497;5711283.778812347
02953;Görlitz;Bad Muskau;Bad Muskau - Mužakow Jahnstraße;0;HMF;0.2;HK;70;1.5;55;480353.0105220945;5711303.388324202
02953;Görlitz;Bad Muskau;Bad Muskau - Mužakow Köbelner Straße;0;HMF;0.2;HK;70;1.5;55;480075.25250902335;5711395.773526927
02953;Görlitz;Bad Muskau;Bad Muskau - Mužakow Köbelner Straße;0;HMF;0.2;HK;70;1.5;55;480146.13735369203;5711294.869107258
02953;Görlitz;Bad Muskau;Bad Muskau - Mužakow Gablenzer Straße;0;HMF;0.2;HK;70;1.5;55;480270.2383156442;5711051.441009524
02953;Görlitz;Bad Muskau;Bad Muskau - Mužakow Berliner Chaussee;0;HMF;0.2;HK;70;1.5;55;480096.7278542147;5711218.567962578
02953;Görlitz;Bad Muskau;Bad Mus^^kau - Mužakow Köbelner Straße;0;HMF;0.2;HK;70;1.5;55;480182.73588022677;5711275.910788741
02953;Görlitz;Bad Muskau;Bad Muskau - Mužakow Köbelner Straße;0;HMF;0.2;HK;70;1.5;55;480206.3104278389;5711133.824444299
02953;Görlitz;Bad Muskau;Bad Muskau - Mužakow Jahnstraße;0;HMF;0.2;HK;70;1.5;55;480275.245145123;5711294.579253837
02953;Görlitz;Bad Muskau;Bad Muskau - Mužakow Berliner Straße;0;HMF;0.2;HK;70;1.5;55;480275.67191250453;5711093.679284992
02953;Görlitz;Bad Muskau;Bad Muskau - Mužakow Gablenzer Straße;0;HMF;0.2;HK;70;1.5;55;480260.7816106371;5711040.450472642
02953;Görlitz;Bad Muskau;Bad Muskau - Mužakow Köbelner Straße;0;HMF;0.2;HK;70;1.5;55;480182.8803013154;5711225.352510524
02953;Görlitz;Bad Muskau;Bad Muskau - Mužakow Köbelner Straße;0;HMF;0.2;HK;70;1.5;55;480074.39300588967;5711419.277877043
02953;Görlitz;Bad Muskau;Bad Muskau - Mužakow Köbelner Straße;0;HMF;0.2;HK;70;1.5;55;480167.99726925854;5711308.109217256
02953;Görlitz;Bad Muskau;Bad Muskau - Mužakow Berliner Straße;0;HMF;0.2;HK;70;1.5;55;480290.98799896287;5711076.7014673175
02953;Görlitz;Bad Muskau;Bad Muskau - Mužakow Berliner Chaussee;0;HMF;0.2;HK;70;1.5;55;480163.90392786544;5711170.468195453
02953;Görlitz;Bad Muskau;Bad Muskau - Mužakow Köbelner Straße;0;HMF;0.2;HK;70;1.5;55;480057.3802888364;5711418.700820205
02953;Görlitz;Bad Muskau;Bad Muskau - Mužakow Berliner Chaussee;0;HMF;0.2;HK;70;1.5;55;480015.53218328254;5711237.393933156
