Land;Bundesland;Stadt;Adresse;Wärmebedarf;Gebäudetyp;WW_Anteil;Typ_Heizflächen;VLT_max;Steigung_Heizkurve;RLT_max;UTM_X;UTM_Y
Deutschland;Sachsen;Bad Muskau;Schmelzstraße 11;31770;GHD;0.19;HK;70;1.5;55;480919.2067;5710047.447
Deutschland;Sachsen;Bad Muskau;Schmelzstraße 13;38054;HMF;0.39;HK;70;1.5;55;480918.115;5710060.447
Deutschland;Sachsen;Bad Muskau;Schmelzstraße 15;37002;HMF;0.33;FBH;30;0.4;25;480905.6682;5710077.365
Deutschland;Sachsen;Bad Muskau;Schmelzstraße 17;40547;HMF;0.1;HK;70;1.5;55;480899.1982;5710092.759
Deutschland;Sachsen;Bad Muskau;Schmelzstraße 19;38262;HMF;0.31;NTHK;50;0.8;35;480893.5315;5710103.441
Deutschland;Sachsen;Bad Muskau;Schmelzstraße 21;40442;HMF;0.18;HK;70;1.5;55;480885.9865;5710105.526
Deutschland;Sachsen;Bad Muskau;Schmelzstraße 2;33884;GHD;0.25;HK;70;1.5;55;480942.909;5710034.83
Deutschland;Sachsen;Bad Muskau;Schmelzstraße 4;46656;HMF;0.22;FBH;30;0.4;25;480940.5163;5710048.468
Deutschland;Sachsen;Bad Muskau;Schmelzstraße 6;31631;HMF;0.23;HK;70;1.5;55;480936.2765;5710062.13
Deutschland;Sachsen;Bad Muskau;Schmelzstraße 8;36819;HMF;0.17;NTHK;50;0.8;35;480929.6075;5710080.511
Deutschland;Sachsen;Bad Muskau;Schmelzstraße 10;47361;HMF;0.06;HK;70;1.5;55;480919.5284;5710099.784
Deutschland;Sachsen;Bad Muskau;Schmelzstraße 12;36331;GHD;0.01;HK;70;1.5;55;480910.1405;5710111.063
Deutschland;Sachsen;Bad Muskau;Schmelzstraße 14;41887;HMF;0.07;HK;70;1.5;55;480901.1448;5710125.544
Deutschland;Sachsen;Bad Muskau;Schmelzstraße 16;46721;HMF;0.32;HK;70;1.5;55;480885.8951;5710134.282
Deutschland;Sachsen;Bad Muskau;Schmelzstraße 18;40713;HMF;0.39;FBH;30;0.4;25;480871.3748;5710137.856
Deutschland;Sachsen;Bad Muskau;Schmelzstraße 20;35821;GHD;0.26;NTHK;50;0.8;35;480857.4302;5710152.884
