Land;Bundesland;Stadt;Adresse;Wärmebedarf;Gebäudetyp;WW_Anteil;Typ_Heizflächen;VLT_max;Steigung_Heizkurve;RLT_max;UTM_X;UTM_Y
Deutschland;Sachsen;Bad Muskau;Schmelzstraße 13;93487.32;HMF;0.2;HK;70;1.5;55;480918.115;5710060.447
Deutschland;Sachsen;Bad Muskau;Schmelzstraße 19;105343.57;HMF;0.2;HK;70;1.5;55;480893.5315;5710103.441
Deutschland;Sachsen;Bad Muskau;Schmelzstraße 21;108456.97;HMF;0.2;HK;70;1.5;55;480885.9865;5710105.526
Deutschland;Sachsen;Bad Muskau;Schmelzstraße 20;143222.54;HMF;0.2;HK;70;1.5;55;480857.4302;5710152.884
Deutschland;Sachsen;Bad Muskau;Schmelzstraße 12;168373.82;HMF;0.2;HK;70;1.5;55;480910.1405;5710111.063
Deutschland;Sachsen;Bad Muskau;Schmelzstraße 6;217783.89;HMF;0.2;HK;70;1.5;55;480936.2765;5710062.13
Deutschland;Sachsen;Bad Muskau;Schmelzstraße 17;146750.85;HMF;0.2;HK;70;1.5;55;480899.1982;5710092.759
Deutschland;Sachsen;Bad Muskau;Schmelzstraße 2;67624.01;HMF;0.2;HK;70;1.5;55;480942.909;5710034.83
Deutschland;Sachsen;Bad Muskau;Schmelzstraße 10;192411.75;HMF;0.2;HK;70;1.5;55;480919.5284;5710099.784
Deutschland;Sachsen;Bad Muskau;Schmelzstraße 16;388794.82;HMF;0.2;HK;70;1.5;55;480885.8951;5710134.282
Deutschland;Sachsen;Bad Muskau;Schmelzstraße 8;99686.78;HMF;0.2;HK;70;1.5;55;480929.6075;5710080.511
Deutschland;Sachsen;Bad Muskau;Schmelzstraße 4;284100.09;HMF;0.2;HK;70;1.5;55;480940.5163;5710048.468
Deutschland;Sachsen;Bad Muskau;Schmelzstraße 15;168051.36;HMF;0.2;HK;70;1.5;55;480905.6682;5710077.365
Deutschland;Sachsen;Bad Muskau;Schmelzstraße 14;78382.40;HMF;0.2;HK;70;1.5;55;480901.1448;5710125.544
Deutschland;Sachsen;Bad Muskau;Schmelzstraße 18;173121.58;HMF;0.2;HK;70;1.5;55;480871.3748;5710137.856
Deutschland;Sachsen;Bad Muskau;Schmelzstraße 11;171944.84;HMF;0.2;HK;70;1.5;55;480919.2067;5710047.447
