Adresse;UTM_X;UTM_Y;Grundfläche;Wandfläche;Dachfläche;Volumen;Nutzungstyp;Typ;Gebäudezustand;ww_demand_Wh_per_m2;air_change_rate;floors;fracture_windows;fracture_doors;min_air_temp;room_temp;max_air_temp_heating;Jährlicher Wärmebedarf in kWh
Bad Muskau - Mužakow Köbelner Straße, Bad Muskau, Görlitz, 02953;479963.53574299073;5711407.376633226;133.4;238.4;139.3;651.3;HMF;DE.N.SFH.01.GEN;Existing_state;12800;0.5;4;0.1;0.01;-15;20;15;103408.92
Bad Muskau - Mužakow Köbelner Straße, Bad Muskau, Görlitz, 02953;479974.6896371835;5711425.326668163;37.8;61.6;37.8;91.7;HMF;DE.N.SFH.01.GEN;Existing_state;12800;0.5;4;0.1;0.01;-15;20;15;26985.31
Bad Muskau - Mužakow Köbelner Straße, Bad Muskau, Görlitz, 02953;479956.2481548629;5711418.049266658;79.1;119.9;79.9;231.4;HMF;DE.N.SFH.01.GEN;Existing_state;12800;0.5;4;0.1;0.01;-15;20;15;55756.57
Bad Muskau - Mužakow Köbelner Straße, Bad Muskau, Görlitz, 02953;480009.56670881854;5711422.521022932;531.5;1652.4;563.1;6904.2;HMF;DE.N.SFH.01.GEN;Existing_state;12800;0.5;4;0.1;0.01;-15;20;15;570027.46
Berliner Straße 47, Bad Muskau - Mužakow, Bad Muskau, Sachsen;480257.5441328001;5711072.760226025;417.8;1336.3;450.0;4368.2;HMF;DE.N.SFH.01.GEN;Existing_state;12800;0.5;4;0.1;0.01;-15;20;15;442199.66
Bad Muskau - Mužakow Jahnstraße, Bad Muskau, Görlitz, 02953;480286.8247593704;5711275.44163698;48.7;73.9;48.7;127.8;HMF;DE.N.SFH.01.GEN;Existing_state;12800;0.5;4;0.1;0.01;-15;20;15;34071.55
Bad Muskau - Mužakow Köbelner Straße, Bad Muskau, Görlitz, 02953;480155.9685138567;5711276.02795817;155.1;250.4;175.9;762.2;HMF;DE.N.SFH.01.GEN;Existing_state;12800;0.5;4;0.1;0.01;-15;20;15;118887.34
Bad Muskau - Mužakow Jahnstraße, Bad Muskau, Görlitz, 02953;480289.6775354503;5711315.789223251;126.5;199.0;158.3;455.7;HMF;DE.N.SFH.01.GEN;Existing_state;12800;0.5;4;0.1;0.01;-15;20;15;96924.74
Bad Muskau - Mužakow Köbelner Straße, Bad Muskau, Görlitz, 02953;480088.24462701695;5711395.599247035;132.1;199.7;136.4;449.8;HMF;DE.N.SFH.01.GEN;Existing_state;12800;0.5;4;0.1;0.01;-15;20;15;94349.69
Bad Muskau - Mužakow Berliner Straße, Bad Muskau, Görlitz, 02953;480283.195502038;5711040.345166725;286.9;556.6;286.9;2357.0;HMF;DE.N.SFH.01.GEN;Existing_state;12800;0.5;4;0.1;0.01;-15;20;15;238135.93
