Land;Bundesland;Stadt;Adresse;Wärmebedarf;Nettogeschossfläche;spezifischer Wärmebedarf
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 1;16652.96;160.31;103.88
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 2;16652.96;160.31;103.88
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 3;16652.96;160.31;103.88
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 4;18002.73;127.27;141.45
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 5;18002.73;127.27;141.45
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 6;10419.08;139.35;74.77
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 7;10419.08;139.35;74.77
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 8;13294.18;159.54;83.33
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 10;7866.43;134.47;58.5
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 12;13806.56;150.77;91.57
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 14;4543.94;200.24;22.69
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 16;8957.89;76.76;116.7
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 18;17388.2;165.21;105.25
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 20;16373.56;167.9;97.52
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 1;16373.56;167.9;97.52
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 2;16373.56;167.9;97.52
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 3;16373.56;167.9;97.52
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 4;16373.56;167.9;97.52
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 5;16373.56;167.9;97.52
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 6;16373.56;167.9;97.52
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 7;16373.56;167.9;97.52
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 8;16373.56;167.9;97.52
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 9;16373.56;167.9;97.52
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 10;16373.56;167.9;97.52
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 11;16373.56;167.9;97.52
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 12;16373.56;167.9;97.52
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 13;16373.56;167.9;97.52
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 14;16373.56;167.9;97.52
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 15;16373.56;167.9;97.52
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 16;16373.56;167.9;97.52
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 17;16373.56;167.9;97.52
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 18;16373.56;167.9;97.52
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 19;16373.56;167.9;97.52
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 20;16373.56;167.9;97.52
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 21;16373.56;167.9;97.52
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 22;16373.56;167.9;97.52
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 23;16373.56;167.9;97.52
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 24;16373.56;167.9;97.52
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 25;16373.56;167.9;97.52
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 26;16373.56;167.9;97.52
