Land;Bundesland;Stadt;Adresse;Wärmebedarf
Deutschland;Sachsen;Zittau;Uferweg 1;28739
Deutschland;Sachsen;Zittau;Uferweg 2;26028
Deutschland;Sachsen;Zittau;Uferweg 3;28096
Deutschland;Sachsen;Zittau;Uferweg 4;34139
Deutschland;Sachsen;Zittau;Uferweg 5;29777
Deutschland;Sachsen;Zittau;Uferweg 6;31742
Deutschland;Sachsen;Zittau;Uferweg 7;36806
Deutschland;Sachsen;Zittau;Uferweg 8;26924
Deutschland;Sachsen;Zittau;Uferweg 9;29652
Deutschland;Sachsen;Zittau;Uferweg 10;37456
Deutschland;Sachsen;Zittau;Uferweg 11;33709
Deutschland;Sachsen;Zittau;Uferweg 12;21062
Deutschland;Sachsen;Zittau;Uferweg 13;30611
Deutschland;Sachsen;Zittau;Uferweg 14;33628
Deutschland;Sachsen;Zittau;Uferweg 15;34689
Deutschland;Sachsen;Zittau;Uferweg 16;26995
Deutschland;Sachsen;Zittau;Uferweg 17;35125
Deutschland;Sachsen;Zittau;Uferweg 18;31008
Deutschland;Sachsen;Zittau;Bogatyniaer Straße 2;20603
Deutschland;Sachsen;Zittau;Bogatyniaer Straße 4;26311
Deutschland;Sachsen;Zittau;Bogatyniaer Straße 6;32436
Deutschland;Sachsen;Zittau;Bogatyniaer Straße 8;37231
Deutschland;Sachsen;Zittau;Bogatyniaer Straße 10;32485
Deutschland;Sachsen;Zittau;Bogatyniaer Straße 12;22495
Deutschland;Sachsen;Zittau;Bogatyniaer Straße 14;28946
Deutschland;Sachsen;Zittau;Bogatyniaer Straße 16;34729
Deutschland;Sachsen;Zittau;Bogatyniaer Straße 18;32859
Deutschland;Sachsen;Zittau;Bogatyniaer Straße 20;30667
Deutschland;Sachsen;Zittau;Bogatyniaer Straße 22;32601
