Land;Bundesland;Stadt;Adresse;Wärmebedarf
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 1;33690
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 2;22309
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 3;20247
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 4;34757
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 5;23551
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 6;36856
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 7;23631
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 8;37231
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 10;27769
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 12;31010
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 14;27437
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 16;37351
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 18;27418
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 20;33790
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 1;21605
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 2;38428
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 3;29783
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 4;21178
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 5;38057
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 6;20452
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 7;37652
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 8;22933
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 9;37846
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 10;25885
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 11;31411
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 12;36978
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 13;33436
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 14;25098
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 15;31900
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 16;27362
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 17;21689
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 18;29751
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 19;21223
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 20;28944
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 21;29864
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 22;30359
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 23;26307
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 24;29557
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 25;25994
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 26;34496
