Land;Bundesland;Stadt;Adresse;spezifischer Wärmebedarf;Nettogeschossfläche;Wärmebedarf;UTM_X;UTM_Y
Deutschland;Sachsen;Zittau;Uferweg 1;103.88;160.31;16652.96;487704.9466343716;5637709.937027926
Deutschland;Sachsen;Zittau;Uferweg 2;103.88;160.31;16652.96;487693.39675369835;5637697.648739788
Deutschland;Sachsen;Zittau;Uferweg 3;103.88;160.31;16652.96;487681.65995789925;5637685.160756725
Deutschland;Sachsen;Zittau;Uferweg 4;141.45;127.27;18002.73;487669.8878593239;5637672.639523359
Deutschland;Sachsen;Zittau;Uferweg 5;141.45;127.27;18002.73;487658.17916376947;5637660.184887347
Deutschland;Sachsen;Zittau;Uferweg 6;74.77;139.35;10419.08;487635.76755132695;5637649.596143559
Deutschland;Sachsen;Zittau;Uferweg 7;74.77;139.35;10419.08;487618.82248081965;5637646.60069212
Deutschland;Sachsen;Zittau;Uferweg 8;83.33;159.54;13294.18;487601.9653430884;5637643.621766321
Deutschland;Sachsen;Zittau;Uferweg 9;58.5;134.47;7866.43;487566.03706604394;5637629.451535779
Deutschland;Sachsen;Zittau;Uferweg 10;91.57;150.77;13806.56;487549.4317169607;5637626.366535331
Deutschland;Sachsen;Zittau;Uferweg 11;22.69;200.24;4543.94;487532.56041798944;5637623.232185339
Deutschland;Sachsen;Zittau;Uferweg 12;116.7;76.76;8957.89;487515.63998996315;5637620.098008181
Deutschland;Sachsen;Zittau;Uferweg 13;105.25;165.21;17388.2;487498.81086490216;5637616.969226423
Deutschland;Sachsen;Zittau;Uferweg 14;97.52;167.9;16373.56;487465.2756573347;5637603.689109797
Deutschland;Sachsen;Zittau;Uferweg 15;97.52;167.9;16373.56;487448.6698179085;5637600.609992362
Deutschland;Sachsen;Zittau;Uferweg 16;97.52;167.9;16373.56;487431.798373665;5637597.4759695865
Deutschland;Sachsen;Zittau;Uferweg 17;97.52;167.9;16373.56;487414.87885381;5637594.330997829
Deutschland;Sachsen;Zittau;Uferweg 18;97.52;167.9;16373.56;487398.04852753435;5637591.213665253
Deutschland;Sachsen;Zittau;Bogatyniaer Straße 2;97.52;167.9;16373.56;487489.2500241127;5637774.85492428
Deutschland;Sachsen;Zittau;Bogatyniaer Straße 4;97.52;167.9;16373.56;487503.10039256385;5637778.118723429
Deutschland;Sachsen;Zittau;Bogatyniaer Straße 6;97.52;167.9;16373.56;487518.0859636854;5637781.657836516
Deutschland;Sachsen;Zittau;Bogatyniaer Straße 8;97.52;167.9;16373.56;487532.6778452385;5637785.097855869
Deutschland;Sachsen;Zittau;Bogatyniaer Straße 10;97.52;167.9;16373.56;487529.89803876425;5637752.194229386
Deutschland;Sachsen;Zittau;Bogatyniaer Straße 12;97.52;167.9;16373.56;487532.46489980293;5637738.2377471
Deutschland;Sachsen;Zittau;Bogatyniaer Straße 14;97.52;167.9;16373.56;487535.244436766;5637723.129812973
Deutschland;Sachsen;Zittau;Bogatyniaer Straße 16;97.52;167.9;16373.56;487537.9497237972;5637708.422386915
Deutschland;Sachsen;Zittau;Bogatyniaer Straße 18;97.52;167.9;16373.56;487540.6648407032;5637693.664898083
Deutschland;Sachsen;Zittau;Bogatyniaer Straße 20;97.52;167.9;16373.56;487543.337390063;5637679.124357487
Deutschland;Sachsen;Zittau;Bogatyniaer Straße 22;97.52;167.9;16373.56;487545.8442761875;5637665.49607406
