Land;Bundesland;Stadt;Adresse;Wärmebedarf;Nettogeschossfläche;spezifischer Wärmebedarf;UTM_X;UTM_Y
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 1;16652.96;160.31;103.88;486229.8294;5637230.27
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 2;16652.96;160.31;103.88;486263.228;5637343.071
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 3;16652.96;160.31;103.88;486221.2976;5637218.272
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 4;18002.73;127.27;141.45;486254.208;5637331.238
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 5;18002.73;127.27;141.45;486212.781;5637206.301
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 6;10419.08;139.35;74.77;486244.4244;5637318.165
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 7;10419.08;139.35;74.77;486204.2776;5637194.353
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 8;13294.18;159.54;83.33;486234.8714;5637305.402
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 10;7866.43;134.47;58.5;486225.6852;5637293.122
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 12;13806.56;150.77;91.57;486216.2114;5637280.459
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 14;4543.94;200.24;22.69;486190.378;5637262.635
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 16;8957.89;76.76;116.7;486180.1077;5637249.073
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 18;17388.2;165.21;105.25;486170.1462;5637235.928
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 20;16373.56;167.9;97.52;486159.9227;5637222.433
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 1;16373.56;167.9;97.52;486286.0191;5637283.093
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 2;16373.56;167.9;97.52;486253.9238;5637243.573
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 3;16373.56;167.9;97.52;486299.5187;5637272.91
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 4;16373.56;167.9;97.52;486265.6472;5637234.74
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 5;16373.56;167.9;97.52;486312.768;5637262.854
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 6;16373.56;167.9;97.52;486277.3922;5637225.885
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 7;16373.56;167.9;97.52;486326.3073;5637252.695
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 8;16373.56;167.9;97.52;486289.1542;5637217.025
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 9;16373.56;167.9;97.52;486339.8492;5637242.473
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 10;16373.56;167.9;97.52;486301.0916;5637208.036
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 11;16373.56;167.9;97.52;486353.1734;5637232.419
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 12;16373.56;167.9;97.52;486311.5608;5637203.449
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 13;16373.56;167.9;97.52;486366.5574;5637222.325
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 14;16373.56;167.9;97.52;486322.7841;5637194.99
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 15;16373.56;167.9;97.52;486390.3814;5637214.54
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 16;16373.56;167.9;97.52;486335.3296;5637182.236
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 17;16373.56;167.9;97.52;486407.0143;5637212.984
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 18;16373.56;167.9;97.52;486346.8672;5637173.543
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 19;16373.56;167.9;97.52;486423.721;5637211.423
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 20;16373.56;167.9;97.52;486369.0214;5637167.147
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 22;16373.56;167.9;97.52;486383.6054;5637165.712
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 24;16373.56;167.9;97.52;486397.6088;5637164.297
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 26;16373.56;167.9;97.52;486411.7317;5637162.87
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 28;16373.56;167.9;97.52;486426.0573;5637161.401
