Haustyp;Zone;Typtag;Profiltag;Fheiz,TT;Fel,TT;FTWW,TT;;;;;;;;
MFH;1;ÜWH;MFH1ÜWH;0.0018996;0.000013679;0.000013822;;Typtag;Fheiz,TT;Fel,TT;FTWW,TT;QHeiz,TT;WTT;Qtww,tt
MFH;1;ÜWB;MFH1ÜWB;0.0025273;3.69E-06;4.90E-06;;ÜWH;0.0012318;-0.000085809;-0.00015249;12.318;2.57;2.43
MFH;1;ÜSH;MFH1ÜSH;0.0021663;-0.000013288;4.90E-06;;ÜWB;0.001747;-0.0000271;-0.0000898;17.47;2.69;2.56
MFH;1;ÜSB;MFH1ÜSB;0.002059;-0.000013288;0.00001779;;ÜSH;0.0015155;0.0000513;0.000276;15.155;2.84;3.29
MFH;1;SWX;MFH1SWX;0.00037422;-0.000038257;-0.000052627;;ÜSB;0.0019801;0.0001231;0.0003274;19.801;2.99;3.39
MFH;1;SSX;MFH1SSX;0.0003023;-0.000040255;-0.000043701;;SWX;0;-0.0001548;-0.0002283;0;2.43;2.28
MFH;1;WWH;MFH1WWH;0.0059241;0.000052632;0.000029691;;SSX;0;-0.000097;0.000116;0;2.55;2.97
MFH;1;WWB;MFH1WWB;0.004998;0.000019672;0.000028699;;WWH;0.0044781;-0.0000252;0.0000486;44.781;2.69;2.84
MFH;1;WSH;MFH1WSH;0.0057994;0.000032656;0.000021757;;WWB;0.0044965;0.0000345;0;44.965;2.81;2.74
MFH;1;WSB;MFH1WSB;0.0040813;6.95E-07;0.000015806;;WSH;0.0046404;0.0000765;0.0007016;46.404;2.89;4.14
;;;;;;;;WSB;0.0040379;0.0001763;0.0003648;40.379;3.09;3.47
MFH;2;ÜWH;MFH2ÜWH;1.92E-03;1.35E-05;1.34E-05;;;;;;;;
MFH;2;ÜWB;MFH2ÜWB;2.38E-03;3.54E-06;4.53E-06;;;;;;;;
MFH;2;ÜSH;MFH2ÜSH;1.92E-03;-1.34E-05;4.53E-06;;;;;;;;
MFH;2;ÜSB;MFH2ÜSB;2.09E-03;-1.34E-05;1.74E-05;;;;;;;;
MFH;2;SWX;MFH2SWX;3.04E-04;-3.84E-05;-5.29E-05;;;;;;;;
MFH;2;SSX;MFH2SSX;3.39E-04;-4.04E-05;-4.40E-05;;;;;;;;
MFH;2;WWH;MFH2WWH;5.69E-03;5.25E-05;2.93E-05;;;;;;;;
MFH;2;WWB;MFH2WWB;4.93E-03;1.95E-05;2.83E-05;;;;;;;;
MFH;2;WSH;MFH2WSH;5.79E-03;3.25E-05;2.14E-05;;;;;;;;
MFH;2;WSB;MFH2WSB;4.13E-03;5.47E-07;1.54E-05;;;;;;;;
;;;;;;;;;;;;;;
MFH;3;ÜWH;MFH3ÜWH;0.0017589;0.000012016;0.0000117;;;;;;;;
MFH;3;ÜWB;MFH3ÜWB;0.0022946;0.000002091;2.85E-06;;;;;;;;
MFH;3;ÜSH;MFH3ÜSH;0.0018702;-0.000014781;2.85E-06;;;;;;;;
MFH;3;ÜSB;MFH3ÜSB;0.0018481;-0.000014781;0.000015635;;;;;;;;
MFH;3;SWX;MFH3SWX;0.00033712;-0.000039592;-0.000054213;;;;;;;;
MFH;3;SSX;MFH3SSX;0.00027087;-0.000041577;-0.000045359;;;;;;;;
MFH;3;WWH;MFH3WWH;5.89E-03;5.07E-05;0.000027441;;;;;;;;
MFH;3;WWB;MFH3WWB;0.0047108;0.00001797;0.000026457;;;;;;;;
MFH;3;WSH;MFH3WSH;0.0057554;0.000030872;0.00001957;;;;;;;;
MFH;3;WSB;MFH3WSB;0.0038752;-8.86E-07;0.000013668;;;;;;;;
;;;;;;;;;;;;;;
MFH;4;ÜWH;MFH4ÜWH;0.0018686;0.000012868;0.000013284;;;;;;;;
MFH;4;ÜWB;MFH4ÜWB;0.0022059;2.91E-06;4.38E-06;;;;;;;;
MFH;4;ÜSH;MFH4ÜSH;0.0018495;-0.000014016;4.38E-06;;;;;;;;
MFH;4;ÜSB;MFH4ÜSB;0.0020238;-0.000014016;0.000017243;;;;;;;;
MFH;4;SWX;MFH4SWX;0.00023195;-0.000038909;-0.000053029;;;;;;;;
MFH;4;SSX;MFH4SSX;0.00023259;-0.0000409;-0.000044121;;;;;;;;
MFH;4;WWH;MFH4WWH;0.0060958;0.0000517;0.00002912;;;;;;;;
MFH;4;WWB;MFH4WWB;4.94E-03;1.88E-05;2.81E-05;;;;;;;;
MFH;4;WSH;MFH4WSH;0.0054377;0.000031786;0.000022102;;;;;;;;
MFH;4;WSB;MFH4WSB;0.0042448;-7.64E-08;0.000015264;;;;;;;;
;;;;;;;;;;;;;;
MFH;5;ÜWH;MFH5ÜWH;0.0018053;0.000013884;0.000012899;;;;;;;;
MFH;5;ÜWB;MFH5ÜWB;0.0025558;3.89E-06;4.00E-06;;;;;;;;
MFH;5;ÜSH;MFH5ÜSH;0.0015617;-0.000013104;4.00E-06;;;;;;;;
MFH;5;ÜSB;MFH5ÜSB;0.0021884;-0.000013104;0.000016853;;;;;;;;
MFH;5;SWX;MFH5SWX;0.00034775;-0.000038093;-0.000053317;;;;;;;;
MFH;5;SSX;MFH5SSX;0.00026626;-0.000040092;-0.000044422;;;;;;;;
MFH;5;WWH;MFH5WWH;0.006181;0.000052867;0.000028712;;;;;;;;
MFH;5;WWB;MFH5WWB;0.0050846;0.000019882;0.000027724;;;;;;;;
MFH;5;WSH;MFH5WSH;0.0054435;0.000032876;0.000020806;;;;;;;;
MFH;5;WSB;MFH5WSB;0.004285;8.90E-07;0.000014876;;;;;;;;
;;;;;;;;;;;;;;
MFH;6;ÜWH;MFH6ÜWH;0.0013586;6.15E-06;2.59E-06;;;;;;;;
MFH;6;ÜWB;MFH6ÜWB;0.001774;-3.56E-06;-0.000005954;;;;;;;;
