ID;Zeit;Strombedarf normiert;Heizwärme normiert;Warmwasser normiert
EFH;00:00;0.005028783;0.0105465;0
EFH;00:15;0.004631774;0.009587728;0
EFH;00:30;0.00403626;0.011505273;0
EFH;00:45;0.005094952;0.011505274;0
EFH;01:00;0.004433269;0.009587727;0
EFH;01:15;0.00516112;0.010546501;0
EFH;01:30;0.005028783;0.002876318;0
EFH;01:45;0.004697942;0.014381592;0
EFH;02:00;0.004433269;0.013422819;0
EFH;02:15;0.003970092;0.0105465;0
EFH;02:30;0.004896447;0.009587728;0
EFH;02:45;0.005624297;0.0105465;0
EFH;03:00;0.004830279;0.009587728;0
EFH;03:15;0.004367101;0.012464046;0
EFH;03:30;0.004168596;0.0105465;0
EFH;03:45;0.005359624;0.011505274;0
EFH;04:00;0.004697943;0.0105465;0
EFH;04:15;0.005293456;0.005752637;0
EFH;04:30;0.005227287;0.014381591;0
EFH;04:45;0.004367102;0.011505274;0
EFH;05:00;0.004367101;0.011505273;0
EFH;05:15;0.003970092;0.0105465;0
EFH;05:30;0.006021306;0.010546501;0
EFH;05:45;0.010189903;0.0105465;0
EFH;06:00;0.006021306;0.011505274;0
EFH;06:15;0.00661682;0.0105465;0
EFH;06:30;0.009859061;0.008628955;0.164556962
EFH;06:45;0.009991399;0.009587728;0
EFH;07:00;0.009197379;0.013422818;0
EFH;07:15;0.013498313;0.012464046;0.012658228
EFH;07:30;0.011182426;0.009587728;0
EFH;07:45;0.010189903;0.010546501;0
EFH;08:00;0.00952822;0.0105465;0.025316456
EFH;08:15;0.02501158;0.007670182;0
EFH;08:30;0.018659432;0.012464046;0
EFH;08:45;0.011182426;0.009587728;0
EFH;09:00;0.031694567;0.010546501;0.025316455
EFH;09:15;0.022100179;0.012464046;0.025316456
EFH;09:30;0.028187653;0.016299137;0
EFH;09:45;0.018527096;0.005752636;0
EFH;10:00;0.01065308;0.014381592;0.101265823
EFH;10:15;0.009065043;0.0105465;0.012658228
EFH;10:30;0.008006352;0.008628955;0.037974683
EFH;10:45;0.006285979;0.007670182;0
EFH;11:00;0.005756634;0.011505274;0
EFH;11:15;0.00403626;0.009587727;0
EFH;11:30;0.005227288;0.010546501;0
EFH;11:45;0.007543174;0.015340364;0
EFH;12:00;0.010189903;0.010546501;0.012658228
EFH;12:15;0.015284854;0.009587727;0
EFH;12:30;0.01396149;0.003835091;0.012658228
EFH;12:45;0.007410839;0.015340365;0
EFH;13:00;0.005822801;0.012464046;0
EFH;13:15;0.005558129;0.011505273;0
EFH;13:30;0.006682988;0.010546501;0
EFH;13:45;0.005955138;0.0105465;0
EFH;14:00;0.006087475;0.009587728;0
EFH;14:15;0.002977569;0.009587727;0
EFH;14:30;0.006682988;0.005752637;0.037974683
EFH;14:45;0.020247469;0.012464046;0.202531646
EFH;15:00;0.010983921;0.000958773;0.113924051
EFH;15:15;0.015351022;0.007670182;0.139240506
EFH;15:30;0.005822802;0.014381592;0
EFH;15:45;0.017865414;0.014381591;0
EFH;16:00;0.032819427;0.011505273;0
EFH;16:15;0.032819427;0.011505274;0
EFH;16:30;0.023555879;0.0105465;0.012658228
EFH;16:45;0.005028783;0.010546501;0
EFH;17:00;0.004300933;0.0105465;0
EFH;17:15;0.004367101;0.008628955;0
EFH;17:30;0.006352147;0.008628955;0
EFH;17:45;0.008403361;0.012464046;0
EFH;18:00;0.00774168;0.0105465;0
EFH;18:15;0.006947661;0.011505274;0
EFH;18:30;0.008734202;0.0105465;0.012658228
EFH;18:45;0.029444849;0.010546501;0.012658227
EFH;19:00;0.014093826;0.008628955;0
EFH;19:15;0.007940184;0.008628955;0
EFH;19:30;0.008403362;0.012464046;0.012658228
EFH;19:45;0.012704294;0.011505273;0.012658228
EFH;20:00;0.032290081;0.011505273;0
EFH;20:15;0.012174949;0.010546501;0
EFH;20:30;0.020247469;0.0105465;0
EFH;20:45;0.026533448;0.0105465;0
EFH;21:00;0.010256071;0.010546501;0.012658228
EFH;21:15;0.007940184;0.005752637;0
EFH;21:30;0.009131212;0.012464046;0
EFH;21:45;0.008932707;0.009587727;0
EFH;22:00;0.01356448;0.010546501;0
EFH;22:15;0.01323364;0.0105465;0
EFH;22:30;0.011513267;0.009587728;0
EFH;22:45;0.011050089;0.0105465;0
EFH;23:00;0.010123735;0.009587728;0
EFH;23:15;0.009395884;0.010546501;0
EFH;23:30;0.007477007;0.009587727;0
EFH;23:45;0.007675511;0.005752637;0
;;;;
;;;;
;;;;
