ID;Zeit;Strombedarf normiert;Heizwärme normiert;Warmwasser normiert
MFH;00:00;0.00496;0.008181;0
MFH;00:15;0.008312;0.00481;0.000556
MFH;00:30;0.00791;0.005223;0
MFH;00:45;0.007642;0.004186;0.0001
MFH;01:00;0.007508;0.000677;0.003494
MFH;01:15;0.008044;0.006531;0.002305
MFH;01:30;0.007374;0.006284;0.001626
MFH;01:45;0.006837;0.006615;0
MFH;02:00;0.006301;0.005502;0.000333
MFH;02:15;0.005631;0.007573;0.002361
MFH;02:30;0.005765;0.00681;0.00007
MFH;02:45;0.005095;0.00458;0
MFH;03:00;0.005095;0.008948;0
MFH;03:15;0.005095;0.009095;0
MFH;03:30;0.005229;0.009094;0
MFH;03:45;0.00496;0.008069;0.000022
MFH;04:00;0.005765;0.008222;0
MFH;04:15;0.006167;0.008004;0
MFH;04:30;0.005363;0.006947;0
MFH;04:45;0.005363;0.006296;0
MFH;05:00;0.005229;0.009104;0
MFH;05:15;0.005363;0.007677;0
MFH;05:30;0.005363;0.009081;0
MFH;05:45;0.005899;0.009219;0
MFH;06:00;0.007106;0.009949;0
MFH;06:15;0.006703;0.007056;0
MFH;06:30;0.006837;0.014087;0
MFH;06:45;0.006971;0.015441;0
MFH;07:00;0.006703;0.012548;0
MFH;07:15;0.006301;0.014562;0
MFH;07:30;0.006703;0.012726;0.005002
MFH;07:45;0.006301;0.011933;0
MFH;08:00;0.006301;0.011859;0.000803
MFH;08:15;0.008714;0.01169;0.019939
MFH;08:30;0.006703;0.01202;0.006421
MFH;08:45;0.013138;0.011441;0.003663
MFH;09:00;0.007508;0.011796;0.003682
MFH;09:15;0.007508;0.014169;0.002362
MFH;09:30;0.009385;0.014472;0.060083
MFH;09:45;0.016088;0.009231;0.101861
MFH;10:00;0.015418;0;0.031775
MFH;10:15;0.014747;0.017383;0.039509
MFH;10:30;0.01582;0.017811;0.004141
MFH;10:45;0.009921;0.019387;0.002303
MFH;11:00;0.013541;0.017425;0.005968
MFH;11:15;0.017965;0.018337;0.017528
MFH;11:30;0.023864;0.01769;0.087996
MFH;11:45;0.017563;0.012277;0.002528
MFH;12:00;0.017429;0.018601;0.000878
MFH;12:15;0.017026;0.017027;0.00679
MFH;12:30;0.011798;0.015817;0.008062
MFH;12:45;0.018099;0.017137;0.006964
MFH;13:00;0.009921;0.011257;0.010496
MFH;13:15;0.009519;0.01448;0.00593
MFH;13:30;0.008044;0.013911;0.005666
MFH;13:45;0.010859;0.012926;0.03134
MFH;14:00;0.009519;0.011907;0.015073
MFH;14:15;0.008982;0.011202;0.002718
MFH;14:30;0.005765;0.010776;0.034968
MFH;14:45;0.006167;0.010978;0.021501
MFH;15:00;0.006301;0.010713;0.002968
MFH;15:15;0.011262;0.010042;0.00301
MFH;15:30;0.018635;0.009992;0.03747
MFH;15:45;0.01944;0.009076;0.06454
MFH;16:00;0.014211;0.008757;0.003394
MFH;16:15;0.0122;0.007434;0.005547
MFH;16:30;0.012602;0.008875;0.005772
MFH;16:45;0.009921;0.008947;0.00007
MFH;17:00;0.010189;0.006538;0
MFH;17:15;0.012736;0.008899;0.004188
MFH;17:30;0.011664;0.009014;0
MFH;17:45;0.010591;0.008564;0.066675
MFH;18:00;0.012736;0.005547;0.070233
MFH;18:15;0.022389;0.009889;0.01952
MFH;18:30;0.027752;0.012059;0.002935
MFH;18:45;0.019306;0.009556;0.001983
MFH;19:00;0.022389;0.012685;0.002335
MFH;19:15;0.016356;0.011773;0.000277
MFH;19:30;0.016356;0.011451;0.014277
MFH;19:45;0.013675;0.012371;0.003039
MFH;20:00;0.014881;0.011238;0.005439
MFH;20:15;0.011932;0.011313;0.00438
MFH;20:30;0.014211;0.011163;0.009927
MFH;20:45;0.012066;0.010738;0.000443
MFH;21:00;0.009787;0.012442;0
MFH;21:15;0.013675;0.0112;0
MFH;21:30;0.013004;0.010857;0.035982
MFH;21:45;0.010457;0.010733;0.071611
MFH;22:00;0.009787;0.010763;0.000116
MFH;22:15;0.008982;0.010499;0
MFH;22:30;0.007776;0.00969;0
MFH;22:45;0.00724;0.009103;0.002017
MFH;23:00;0.007106;0.009563;0.000093
MFH;23:15;0.006569;0.010421;0.004815
MFH;23:30;0.008714;0.0074;0.000125
MFH;23:45;0.005899;0.002657;0
