ID;Zeit;Strombedarf normiert;Heizwärme normiert;Wamwasser normiert
MFH;00:00;0.007243;0;0.000396
MFH;00:15;0.005653;0;0.000288
MFH;00:30;0.005653;0;0
MFH;00:45;0.005653;0.000239;0
MFH;01:00;0.007949;0.009532;0.00004
MFH;01:15;0.008126;0.007363;0
MFH;01:30;0.007243;0.005921;0
MFH;01:45;0.006359;0.00027;0
MFH;02:00;0.005829;0.002674;0
MFH;02:15;0.006359;0.00315;0
MFH;02:30;0.005653;0.003497;0
MFH;02:45;0.004416;0.002412;0
MFH;03:00;0.004416;0.006049;0
MFH;03:15;0.004593;0.006275;0
MFH;03:30;0.004593;0.006302;0
MFH;03:45;0.004593;0.002892;0
MFH;04:00;0.004946;0.003517;0
MFH;04:15;0.004769;0.006236;0
MFH;04:30;0.004769;0.006268;0
MFH;04:45;0.005123;0.006496;0
MFH;05:00;0.005123;0.009165;0
MFH;05:15;0.004769;0.013397;0.000045
MFH;05:30;0.004946;0.009878;0.000986
MFH;05:45;0.005653;0.002406;0.001034
MFH;06:00;0.006183;0.004221;0.067885
MFH;06:15;0.006889;0.014041;0.007741
MFH;06:30;0.007949;0.028973;0.039036
MFH;06:45;0.008832;0.008024;0.037197
MFH;07:00;0.011482;0.007065;0.009191
MFH;07:15;0.014662;0.041732;0.012527
MFH;07:30;0.012012;0.027737;0.032344
MFH;07:45;0.010599;0.005784;0.001999
MFH;08:00;0.009892;0.025416;0.010947
MFH;08:15;0.010069;0.019342;0.005172
MFH;08:30;0.011835;0.009212;0.081185
MFH;08:45;0.014132;0.012169;0.014878
MFH;09:00;0.012365;0.008749;0.003537
MFH;09:15;0.015898;0.006514;0.029799
MFH;09:30;0.012189;0.00874;0.010298
MFH;09:45;0.012719;0.01225;0.000441
MFH;10:00;0.016428;0.010208;0.005097
MFH;10:15;0.010246;0.014373;0.000122
MFH;10:30;0.016252;0.008162;0.01003
MFH;10:45;0.008126;0.0083;0.000261
MFH;11:00;0.007243;0.010842;0.074606
MFH;11:15;0.008302;0.014135;0.053568
MFH;11:30;0.008302;0.018927;0.00486
MFH;11:45;0.008302;0.007504;0.017883
MFH;12:00;0.010069;0.010368;0.004391
MFH;12:15;0.012189;0.007338;0.004599
MFH;12:30;0.013249;0.007331;0.005402
MFH;12:45;0.016428;0.006975;0
MFH;13:00;0.018195;0.008525;0.000115
MFH;13:15;0.016075;0.00811;0.000999
MFH;13:30;0.010246;0.008335;0.002427
MFH;13:45;0.009892;0.008811;0.002612
MFH;14:00;0.008832;0.007447;0.000723
MFH;14:15;0.007243;0.026236;0.000145
MFH;14:30;0.007949;0.02742;0
MFH;14:45;0.010069;0.013569;0.000024
MFH;15:00;0.010422;0.017749;0
MFH;15:15;0.007596;0.012163;0.00081
MFH;15:30;0.005476;0.010623;0.000023
MFH;15:45;0.008126;0.022518;0.042176
MFH;16:00;0.005829;0.011078;0.024842
MFH;16:15;0.011129;0.01035;0.000499
MFH;16:30;0.012189;0.018702;0.000337
MFH;16:45;0.012895;0.015495;0.002064
MFH;17:00;0.017488;0.005672;0.001621
MFH;17:15;0.022964;0.023691;0.006282
MFH;17:30;0.021374;0.017181;0.023975
MFH;17:45;0.015368;0.011093;0.006684
MFH;18:00;0.013425;0.004484;0.035887
MFH;18:15;0.017311;0.012601;0.013934
MFH;18:30;0.015015;0.01397;0.07295
MFH;18:45;0.011659;0.017581;0.000023
MFH;19:00;0.010775;0.013196;0.002
MFH;19:15;0.010069;0.009165;0.015636
MFH;19:30;0.016605;0.010653;0.056963
MFH;19:45;0.012719;0.006276;0.017502
MFH;20:00;0.020138;0.023973;0.024193
MFH;20:15;0.019255;0.022625;0.001253
MFH;20:30;0.014662;0.011633;0.003198
MFH;20:45;0.012719;0.010063;0
MFH;21:00;0.015015;0.006471;0.000266
MFH;21:15;0.013955;0.007005;0.003304
MFH;21:30;0.013249;0.00701;0.015581
MFH;21:45;0.015722;0.008024;0.013395
MFH;22:00;0.012189;0.00756;0.000092
MFH;22:15;0.009009;0.006493;0.000114
MFH;22:30;0.010069;0.007436;0.001784
MFH;22:45;0.010952;0.007379;0.002163
MFH;23:00;0.010246;0.008009;0
MFH;23:15;0.009716;0.009917;0.00002
MFH;23:30;0.010422;0.003496;0.055523
MFH;23:45;0.008479;0.00184;0.000073
