Zeitstempel;Temperatur in °C;Bedeckungsgrad (0-8)
01.01.2019 00:00;-3.5;8
01.01.2019 01:00;-1.5;8
01.01.2019 02:00;0.2;8
01.01.2019 03:00;0.2;8
01.01.2019 04:00;0.3;8
01.01.2019 05:00;0.2;8
01.01.2019 06:00;0.4;8
01.01.2019 07:00;0.4;8
01.01.2019 08:00;0.3;8
01.01.2019 09:00;0.4;4
01.01.2019 10:00;0.7;3
01.01.2019 11:00;0.5;3
01.01.2019 12:00;0.5;6
01.01.2019 13:00;0.3;7
01.01.2019 14:00;0.2;6
01.01.2019 15:00;0.2;8
01.01.2019 16:00;0.3;7
01.01.2019 17:00;0.3;7
01.01.2019 18:00;0.3;8
01.01.2019 19:00;0.3;8
01.01.2019 20:00;0.4;8
01.01.2019 21:00;0.4;7
01.01.2019 22:00;0.2;6
01.01.2019 23:00;0.2;4
02.01.2019 00:00;0.0;3
02.01.2019 01:00;-0.4;3
02.01.2019 02:00;-0.8;2
02.01.2019 03:00;-0.9;4
02.01.2019 04:00;-0.6;4
02.01.2019 05:00;-0.3;6
02.01.2019 06:00;-0.3;8
02.01.2019 07:00;-0.2;8
02.01.2019 08:00;-0.2;8
02.01.2019 09:00;0.0;8
02.01.2019 10:00;0.2;7
02.01.2019 11:00;0.3;6
02.01.2019 12:00;0.6;6
02.01.2019 13:00;0.5;5
02.01.2019 14:00;0.4;4
02.01.2019 15:00;0.1;5
02.01.2019 16:00;-0.1;6
02.01.2019 17:00;-0.4;7
02.01.2019 18:00;-0.8;5
02.01.2019 19:00;-1.4;4
02.01.2019 20:00;-2.0;3
02.01.2019 21:00;-2.5;5
02.01.2019 22:00;-2.9;5
02.01.2019 23:00;-3.5;4
03.01.2019 00:00;-3.9;4
03.01.2019 01:00;-3.9;4
03.01.2019 02:00;-4.0;8
03.01.2019 03:00;-4.2;4
03.01.2019 04:00;-4.2;7
03.01.2019 05:00;-4.3;7
03.01.2019 06:00;-4.5;7
03.01.2019 07:00;-4.5;8
03.01.2019 08:00;-4.4;8
03.01.2019 09:00;-4.3;7
03.01.2019 10:00;-4.3;7
03.01.2019 11:00;-4.2;6
03.01.2019 12:00;-4.1;6
03.01.2019 13:00;-3.9;6
03.01.2019 14:00;-3.8;5
03.01.2019 15:00;-3.7;7
03.01.2019 16:00;-3.4;8
03.01.2019 17:00;-3.5;8
03.01.2019 18:00;-3.8;8
03.01.2019 19:00;-4.0;8
03.01.2019 20:00;-3.9;8
03.01.2019 21:00;-4.0;7
03.01.2019 22:00;-4.3;7
03.01.2019 23:00;-4.6;7
04.01.2019 00:00;-5.5;7
04.01.2019 01:00;-5.8;7
04.01.2019 02:00;-6.2;6
04.01.2019 03:00;-6.9;6
04.01.2019 04:00;-7.2;8
04.01.2019 05:00;-7.5;6
04.01.2019 06:00;-7.7;5
04.01.2019 07:00;-7.9;6
04.01.2019 08:00;-8.0;6
04.01.2019 09:00;-7.7;4
04.01.2019 10:00;-6.9;4
04.01.2019 11:00;-6.5;4
04.01.2019 12:00;-5.9;3
04.01.2019 13:00;-5.6;2
04.01.2019 14:00;-5.3;3
04.01.2019 15:00;-5.5;4
04.01.2019 16:00;-5.6;5
04.01.2019 17:00;-5.6;5
04.01.2019 18:00;-5.5;6
04.01.2019 19:00;-5.5;7
04.01.2019 20:00;-5.8;7
04.01.2019 21:00;-5.8;7
04.01.2019 22:00;-5.8;7
04.01.2019 23:00;-5.6;7
05.01.2019 00:00;-5.2;7
05.01.2019 01:00;-5.1;7
05.01.2019 02:00;-4.5;6
05.01.2019 03:00;-4.1;6
05.01.2019 04:00;-3.5;7
05.01.2019 05:00;-3.1;7
05.01.2019 06:00;-2.7;8
05.01.2019 07:00;-2.4;8
05.01.2019 08:00;-2.3;8
05.01.2019 09:00;-1.8;7
05.01.2019 10:00;-1.4;8
05.01.2019 11:00;-1.0;7
05.01.2019 12:00;-0.7;6
05.01.2019 13:00;-0.4;5
05.01.2019 14:00;-0.4;3
05.01.2019 15:00;-0.3;3
