Standardlastprofil;A;B;C;D;mH;bH;mW;bW;2;3;4;5;6;7;1
HEF03;3.046970;-37.183314;5.672785;0.096193;0.000000;0.000000;0.000000;0.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000
HEF04;3.185019;-37.412416;6.172318;0.076110;0.000000;0.000000;0.000000;0.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000
HEF05;3.345667;-37.526832;6.432894;0.056257;0.000000;0.000000;0.000000;0.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000
HMF03;2.387762;-34.721361;5.816430;0.120819;0.000000;0.000000;0.000000;0.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000
HMF04;2.518778;-35.033375;6.224063;0.101078;0.000000;0.000000;0.000000;0.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000
HMF05;2.656441;-35.251693;6.518266;0.081206;0.000000;0.000000;0.000000;0.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000
GKO01;1.415957;-30.842519;6.346756;0.321179;0.000000;0.000000;0.000000;0.000000;1.035400;1.052300;1.044900;1.049400;0.988500;0.886000;0.943500
GKO02;2.066050;-33.601652;6.675361;0.230913;0.000000;0.000000;0.000000;0.000000;1.035400;1.052300;1.044900;1.049400;0.988500;0.886000;0.943500
GKO03;2.717229;-35.141256;7.130340;0.141847;0.000000;0.000000;0.000000;0.000000;1.035400;1.052300;1.044900;1.049400;0.988500;0.886000;0.943500
GKO04;3.442894;-36.659050;7.608323;0.074685;0.000000;0.000000;0.000000;0.000000;1.035400;1.052300;1.044900;1.049400;0.988500;0.886000;0.943500
GKO05;4.362483;-38.663402;7.597464;0.008326;0.000000;0.000000;0.000000;0.000000;1.035400;1.052300;1.044900;1.049400;0.988500;0.886000;0.943500
GHA01;2.374283;-34.759550;5.998704;0.149441;0.000000;0.000000;0.000000;0.000000;1.035800;1.023200;1.025200;1.029500;1.025300;0.967500;0.893500
GHA02;2.854475;-35.629423;7.005826;0.116477;0.000000;0.000000;0.000000;0.000000;1.035800;1.023200;1.025200;1.029500;1.025300;0.967500;0.893500
GHA03;3.581121;-36.965007;7.225695;0.044842;0.000000;0.000000;0.000000;0.000000;1.035800;1.023200;1.025200;1.029500;1.025300;0.967500;0.893500
GHA04;4.019690;-37.828204;8.159337;0.047285;0.000000;0.000000;0.000000;0.000000;1.035800;1.023200;1.025200;1.029500;1.025300;0.967500;0.893500
GHA05;4.825238;39.280256;8.624022;0.009995;0.000000;0.000000;0.000000;0.000000;1.035800;1.023200;1.025200;1.029500;1.025300;0.967500;0.893500
GMK01;1.864453;-30.707163;6.462694;0.104834;0.000000;0.000000;0.000000;0.000000;1.069900;1.036500;0.993300;0.994800;1.065900;0.936200;0.903400
GMK02;2.290818;-33.147687;6.371477;0.081002;0.000000;0.000000;0.000000;0.000000;1.069900;1.036500;0.993300;0.994800;1.065900;0.936200;0.903400
GMK03;2.788242;-34.880613;6.595190;0.054033;0.000000;0.000000;0.000000;0.000000;1.069900;1.036500;0.993300;0.994800;1.065900;0.936200;0.903400
GMK04;3.117725;-35.871506;7.518683;0.034330;0.000000;0.000000;0.000000;0.000000;1.069900;1.036500;0.993300;0.994800;1.065900;0.936200;0.903400
