Zeitpunkt;Heizlast_Netz_kW;Vorlauftemperatur_Netz_°C;Rücklauftemperatur_Netz_°C
2019-01-01 00:00:00;0.122957;90;50
2019-01-01 01:00:00;0.146387;90;50
2019-01-01 02:00:00;0.147741;90;50
2019-01-01 03:00:00;0.148756;90;50
2019-01-01 04:00:00;0.149338;90;50
2019-01-01 05:00:00;0.152791;90;50
2019-01-01 06:00:00;0.151959;90;50
2019-01-01 07:00:00;0.149843;90;50
2019-01-01 08:00:00;0.147327;90;50
2019-01-01 09:00:00;0.144458;90;50
2019-01-01 10:00:00;0.141832;90;50
2019-01-01 11:00:00;0.139425;90;50
2019-01-01 12:00:00;0.137474;90;50
2019-01-01 13:00:00;0.1322;90;50
2019-01-01 14:00:00;0.12811;90;50
2019-01-01 15:00:00;0.124854;90;50
2019-01-01 16:00:00;0.122783;90;50
2019-01-01 17:00:00;0.121556;90;50
2019-01-01 18:00:00;0.120784;90;50
2019-01-01 19:00:00;0.120231;90;50
2019-01-01 20:00:00;0.119705;90;50
2019-01-01 21:00:00;0.11945;90;50
2019-01-01 22:00:00;0.12309;90;50
2019-01-01 23:00:00;0.12664;90;50
2019-01-02 00:00:00;0.13028;90;50
2019-01-02 01:00:00;0.13383;90;50
2019-01-02 02:00:00;0.14099;90;50
2019-01-02 03:00:00;0.14806;90;50
2019-01-02 04:00:00;0.154831;90;50
2019-01-02 05:00:00;0.160782;90;50
2019-01-02 06:00:00;0.16568;90;50
2019-01-02 07:00:00;0.170032;90;50
2019-01-02 08:00:00;0.174061;90;50
2019-01-02 09:00:00;0.177726;90;50
2019-01-02 10:00:00;0.177362;90;50
2019-01-02 11:00:00;0.173205;90;50
2019-01-02 12:00:00;0.169047;90;50
2019-01-02 13:00:00;0.165098;90;50
2019-01-02 14:00:00;0.161605;90;50
2019-01-02 15:00:00;0.162579;90;50
2019-01-02 16:00:00;0.163918;90;50
2019-01-02 17:00:00;0.161618;90;50
2019-01-02 18:00:00;0.159592;90;50
2019-01-02 19:00:00;0.161868;90;50
2019-01-02 20:00:00;0.163415;89.99;50
2019-01-02 21:00:00;0.164599;89.99;50
2019-01-02 22:00:00;0.165509;89.99;50
2019-01-02 23:00:00;0.166328;89.99;50
2019-01-03 00:00:00;0.162823;89.99;50
2019-01-03 01:00:00;0.158953;89.99;50
2019-01-03 02:00:00;0.162518;89.99;50
2019-01-03 03:00:00;0.165718;89.99;50
2019-01-03 04:00:00;0.168438;89.99;50
2019-01-03 05:00:00;0.170975;89.99;50
2019-01-03 06:00:00;0.172884;89.99;50
2019-01-03 07:00:00;0.174155;89.99;50
2019-01-03 08:00:00;0.171059;89.99;50
2019-01-03 09:00:00;0.167964;89.99;50
2019-01-03 10:00:00;0.164869;89.99;50
2019-01-03 11:00:00;0.15821;89.99;50
2019-01-03 12:00:00;0.152097;89.99;50
2019-01-03 13:00:00;0.1461;89.99;50
2019-01-03 14:00:00;0.141104;89.99;50.01
2019-01-03 15:00:00;0.140676;89.99;50.01
2019-01-03 16:00:00;0.141251;89.99;50.01
