Land;Bundesland;Stadt;Adresse;Wärmebedarf;Gebäudetyp;WW_Anteil;Typ_Heizflächen;VLT_max;Steigung_Heizkurve;RLT_max;UTM_X;UTM_Y
;;;;30000;HMF;0.2;HK;70;1.5;55;480256.7500921786;5711193.705169875
;;;;30000;HMF;0.2;HK;70;1.5;55;480255.252772228;5711070.2739361
;;;;30000;HMF;0.2;HK;70;1.5;55;480008.4641111161;5711425.3390925005
;;;;30000;HMF;0.2;HK;70;1.5;55;480047.3265632029;5711377.313858848
;;;;30000;HMF;0.2;HK;70;1.5;55;480273.9725645714;5711095.718919581
;;;;30000;HMF;0.2;HK;70;1.5;55;480128.4413853452;5711309.776607344
;;;;30000;HMF;0.2;HK;70;1.5;55;480106.1562140491;5711281.752337035
;;;;30000;HMF;0.2;HK;70;1.5;55;480112.95289515407;5711270.455824666
;;;;30000;HMF;0.2;HK;70;1.5;55;480119.7957563903;5711259.140604884
;;;;30000;HMF;0.2;HK;70;1.5;55;480126.6152466888;5711247.751342366
;;;;30000;HMF;0.2;HK;70;1.5;55;480075.32315619424;5711337.017828527
;;;;30000;HMF;0.2;HK;70;1.5;55;480084.5349778989;5711322.8201804655
;;;;30000;HMF;0.2;HK;70;1.5;55;480093.7930004646;5711308.603832518
;;;;30000;HMF;0.2;HK;70;1.5;55;480133.3423953616;5711236.380987026
;;;;30000;HMF;0.2;HK;70;1.5;55;480114.2189393862;5711205.296993314
;;;;30000;HMF;0.2;HK;70;1.5;55;480099.5662684407;5711238.438482432
;;;;30000;HMF;0.2;HK;70;1.5;55;480085.6204257044;5711216.669781882
;;;;30000;HMF;0.2;HK;70;1.5;55;480082.8314844111;5711200.934437983
;;;;30000;HMF;0.2;HK;70;1.5;55;480096.0704679644;5711216.393354398
;;;;30000;HMF;0.2;HK;70;1.5;55;480013.4975453008;5711239.135091694
;;;;30000;HMF;0.2;HK;70;1.5;55;480040.8070892055;5711259.440733315
;;;;30000;HMF;0.2;HK;70;1.5;55;480293.0465837259;5711329.375657157
;;;;30000;HMF;0.2;HK;70;1.5;55;480290.0600590201;5711328.041552029
;;;;30000;HMF;0.2;HK;70;1.5;55;480316.8741308527;5711330.550998453
;;;;30000;HMF;0.2;HK;70;1.5;55;480274.8649406113;5711293.101040479
;;;;30000;HMF;0.2;HK;70;1.5;55;480350.33327147283;5711300.583681506
;;;;30000;HMF;0.2;HK;70;1.5;55;480352.9000981532;5711309.146879358
;;;;30000;HMF;0.2;HK;70;1.5;55;480353.5387382918;5711304.174300573
;;;;30000;HMF;0.2;HK;70;1.5;55;480312.4249212922;5711278.667604622
;;;;30000;HMF;0.2;HK;70;1.5;55;480318.2908136008;5711284.680144641
;;;;30000;HMF;0.2;HK;70;1.5;55;480335.8316783486;5711291.663187233
;;;;30000;HMF;0.2;HK;70;1.5;55;480360.5287038354;5711260.0934625
;;;;30000;HMF;0.2;HK;70;1.5;55;480353.9267565238;5711254.683360945
;;;;30000;HMF;0.2;HK;70;1.5;55;480346.9360949477;5711260.048797489
;;;;30000;HMF;0.2;HK;70;1.5;55;480335.6388081893;5711266.9518066775
;;;;30000;HMF;0.2;HK;70;1.5;55;480325.4398945831;5711261.633545611
;;;;30000;HMF;0.2;HK;70;1.5;55;480310.20313889545;5711258.820519125
;;;;30000;HMF;0.2;HK;70;1.5;55;480308.50590701314;5711260.387834874
;;;;30000;HMF;0.2;HK;70;1.5;55;480285.7921577321;5711275.308531738
;;;;30000;HMF;0.2;HK;70;1.5;55;480276.44472610496;5711135.924891072
;;;;30000;HMF;0.2;HK;70;1.5;55;480281.3002772123;5711154.278838174
;;;;30000;HMF;0.2;HK;70;1.5;55;480211.5812811161;5711213.269757392
;;;;30000;HMF;0.2;HK;70;1.5;55;480222.8510157309;5711193.632068649
;;;;30000;HMF;0.2;HK;70;1.5;55;480216.26567635406;5711201.131445515
;;;;30000;HMF;0.2;HK;70;1.5;55;480204.683185906;5711211.486328259
;;;;30000;HMF;0.2;HK;70;1.5;55;480191.4484598129;5711202.362702336
;;;;30000;HMF;0.2;HK;70;1.5;55;480170.88243111566;5711193.780588937
;;;;30000;HMF;0.2;HK;70;1.5;55;480155.03434728895;5711188.380639171
;;;;30000;HMF;0.2;HK;70;1.5;55;480161.0238830418;5711170.384753122
;;;;30000;HMF;0.2;HK;70;1.5;55;480165.4799248163;5711169.051803826
;;;;30000;HMF;0.2;HK;70;1.5;55;480151.32048684824;5711164.216881046
;;;;30000;HMF;0.2;HK;70;1.5;55;480206.86027806374;5711135.436246747
;;;;30000;HMF;0.2;HK;70;1.5;55;480283.2811126647;5711043.122205282
;;;;30000;HMF;0.2;HK;70;1.5;55;480287.678146294;5711314.58258752
;;;;30000;HMF;0.2;HK;70;1.5;55;480241.46907896304;5711295.477578227
;;;;30000;HMF;0.2;HK;70;1.5;55;480232.1466403313;5711269.556155627
;;;;30000;HMF;0.2;HK;70;1.5;55;480071.6320282194;5711398.705175398
;;;;30000;HMF;0.2;HK;70;1.5;55;480122.7329259113;5711356.976731519
;;;;30000;HMF;0.2;HK;70;1.5;55;480152.6422674369;5711353.167205636
;;;;30000;HMF;0.2;HK;70;1.5;55;480157.05523924995;5711300.878587918
;;;;30000;HMF;0.2;HK;70;1.5;55;480154.52288095036;5711277.399695735
;;;;30000;HMF;0.2;HK;70;1.5;55;480182.4576259086;5711275.62223977
;;;;30000;HMF;0.2;HK;70;1.5;55;480191.49850935006;5711247.137945926
;;;;30000;HMF;0.2;HK;70;1.5;55;480204.64556527155;5711236.78804707
;;;;30000;HMF;0.2;HK;70;1.5;55;480221.9191437036;5711249.821874569
;;;;30000;HMF;0.2;HK;70;1.5;55;480261.91159635206;5711249.888523004
;;;;30000;HMF;0.2;HK;70;1.5;55;480300.18425233697;5711117.771216622
;;;;30000;HMF;0.2;HK;70;1.5;55;480289.7788602527;5711077.240159959
;;;;30000;HMF;0.2;HK;70;1.5;55;479954.31022179034;5711416.962007872
;;;;30000;HMF;0.2;HK;70;1.5;55;479961.9167021749;5711409.149317861
;;;;30000;HMF;0.2;HK;70;1.5;55;479974.28581596893;5711425.980547679
;;;;30000;HMF;0.2;HK;70;1.5;55;480168.33557510545;5711242.268237526
;;;;30000;HMF;0.2;HK;70;1.5;55;480181.9973485501;5711226.263331862
;;;;30000;HMF;0.2;HK;70;1.5;55;480258.8920357825;5711307.776930757
;;;;30000;HMF;0.2;HK;70;1.5;55;480263.17172426573;5711235.180904733
;;;;30000;HMF;0.2;HK;70;1.5;55;480223.2349972183;5711210.312926412
