;waerme_ges_W_1;waerme_ges_W_2;waerme_ges_W_3;waerme_ges_W_4;waerme_ges_W_5;waerme_ges_W_6;waerme_ges_W_7;waerme_ges_W_8;waerme_ges_W_9;waerme_ges_W_10;waerme_ges_W_11;waerme_ges_W_12;waerme_ges_W_13;waerme_ges_W_14;waerme_ges_W_15;waerme_ges_W_16
2021-01-01T00:00:00;4492.074670371682;4085.850642007727;3972.897604865979;4353.523571279952;4108.183561898872;4342.249741527211;4790.980740663333;5009.445723275148;3396.2143705614762;3953.2489301540577;5085.141437329269;5136.970879737916;4497.399112886363;5016.424760741131;4371.346959270001;5064.8601437640555
2021-01-01T01:00:00;4301.990264888791;4287.421614806391;4168.896163112054;4568.299895294967;4310.856304875232;4556.469883481369;4588.247974047586;5256.581249288037;3563.7628921517035;4148.278142522638;5336.011328607911;4919.597365869522;4719.273379392318;5263.904589934548;4587.002580638372;4850.5380320611075
2021-01-01T02:00:00;4459.228085104238;3839.3300446128483;3733.1920510528366;4090.852875359152;3860.315503415588;4080.259254328922;4755.948518592132;4707.199836060784;3191.3031124493878;3714.728882971579;4778.3284344066105;5099.408736541458;4226.04765803065;4713.7577919366395;4107.6008857498;5027.825282861784
2021-01-01T03:00:00;4918.167873702129;4266.000309334754;4148.067048037121;4545.475233683615;4289.317912328964;4533.704328325961;5245.42651030919;5230.317717777954;3545.957213028003;4127.552041556639;5309.350939465059;5624.235348425311;4695.694406819385;5237.604468713645;4564.084474534763;5545.284589357381
2021-01-01T04:00:00;5854.599688873046;6198.131829087785;6026.784935615344;6604.184876071436;6232.010302321881;6587.082762179223;6244.169211765006;7599.20215004782;5151.971090709931;5996.978394260344;7714.030629038384;6695.104227146573;6822.440424791088;7609.789172933474;6631.222503748649;6601.121040450781
2021-01-01T05:00:00;6770.046185678649;8883.169560827459;8637.594998941968;9465.125247881191;8931.724227055765;9440.614478871707;7220.530215786444;10891.185132442472;7383.810805133055;8594.876230096865;11055.757438649007;7741.975069936764;9777.929347621268;10906.358465638818;9503.87560650571;7633.296330412178
2021-01-01T06:00:00;8141.086985545643;8848.755004495979;8604.131830460932;9428.456119390825;8897.121563620778;9404.04030829417;8682.801114832504;10848.99126214759;7355.2049599835045;8561.578559692474;11012.925993796556;9309.846750766723;9740.048375290984;10864.10581187409;9467.056354076965;9179.158857703196
2021-01-01T07:00:00;8558.968542559232;8616.281164787419;8378.084712762497;9180.752414690583;8663.377041233409;9156.97805398467;9128.488828960562;10563.96736280869;7161.969557034498;8336.64939838934;10723.595213262652;9787.720683655005;9484.15854179457;10578.684824198059;9218.338546854213;9650.324588070958
2021-01-01T08:00:00;8305.928181980407;8513.037495792978;8277.695207319386;9070.745029219477;8559.569050928443;9047.255542252053;8858.61097004168;10437.385751924037;7076.1520215858445;8236.756387176163;10595.100878705298;9498.353061993397;9370.515624803716;10451.926862903867;9107.880789567971;9365.018992971993
2021-01-01T09:00:00;7920.284940136721;8334.643673176743;8104.233068662584;8880.664240718384;8380.200142510343;8857.666984564405;8447.306733131652;10218.666505905667;6927.868661014704;8064.152136508501;10373.076654368102;9057.345677057197;9174.153033540608;10232.902902572412;8917.021807590392;8930.202292749053
2021-01-01T10:00:00;7723.205428532057;7694.81386056496;7482.091303637587;8198.917790621945;7736.873073341476;8177.685976479951;8237.113400704446;9434.204958178347;6396.033458336317;7445.087284704401;9576.761424560285;8831.972817878444;8469.876180624495;9447.348462171007;8232.484277741663;8707.993127335436
2021-01-01T11:00:00;7131.966893718073;7409.664679532706;7204.825050508994;7895.087868844606;7450.16529059443;7874.642848837486;7606.533403422825;9084.598604306459;6159.013598525753;7169.192301353727;9221.872310068547;8155.854240342189;8156.005267030707;9097.255045263248;7927.410471903482;8041.365631094589
2021-01-01T12:00:00;6750.5815425572;7221.438126536046;7021.802006571894;7694.530186489124;7260.909906909187;7674.604528127682;7199.770380484992;8853.823966775262;6002.557139340455;6987.074430570524;8987.610530059224;7719.7160221166405;7948.819540816088;8866.158898141866;7726.031703517689;7611.349746173794
2021-01-01T13:00:00;6418.161934248721;7013.194943836384;6819.315691171334;7472.644541644343;7051.528484287269;7453.293475551349;6845.231318227375;8598.507996521532;5829.462586547766;6785.589547409256;8728.436583145924;7339.5732210635915;7719.601004164466;8610.487227912434;7503.237655658031;7236.543237227681
2021-01-01T14:00:00;6333.308255641159;7812.104287245714;7596.139245195407;8323.892167313605;7854.804599742354;8302.33672110136;6754.731411210106;9578.00855693846;6493.526848948053;7558.571181796918;9722.737981506392;7242.537684472741;8598.98071897465;9591.352404593657;8357.97030132535;7140.869846563487
2021-01-01T15:00:00;6368.587921298782;7890.766130289095;7672.626487437777;8407.707318148734;7933.89640187947;8385.934825278593;6792.358612693986;9674.451689041049;6558.911637861313;7634.680142721243;9820.638426883424;7282.882208646713;8685.565798586727;9687.929898913038;8442.128592591054;7180.648030495551
2021-01-01T16:00:00;6490.850210905379;8233.858186777412;8006.233789539545;8773.276078710876;8278.863771022161;8750.556913587325;6922.756328181234;10095.098742899221;6844.09440021959;7966.63753032421;10247.641708728781;7422.696852766865;9063.21590028763;10109.162987975704;8809.193996906208;7318.5000127428875
2021-01-01T17:00:00;6411.470963175721;8523.22139511556;8287.59757350255;9081.596097854383;8569.808614597981;9058.07851109643;6838.095124842499;10449.87169313375;7084.61701657908;8246.609779438688;10607.775489937145;7331.921673375424;9381.72530028921;10464.430199222003;9118.776282633624;7228.999098895737
2021-01-01T18:00:00;6287.687998325265;8734.625098294646;8493.157037028921;9306.849315723786;8782.367832841483;9282.748416072738;6706.075547222325;10709.062610659457;7260.338636783464;8451.152611922807;10870.882936887916;7190.368041144326;9614.422701746671;10723.98221520534;9344.951690410206;7089.432539754779
2021-01-01T19:00:00;6213.783181473516;8742.350815022122;8500.66917689201;9315.081160895095;8790.135777694233;9290.958944161575;6627.253047562123;10718.534703990965;7266.760357123158;8458.627599156447;10880.49815920173;7105.853218952292;9622.926593494287;10733.467504825998;9353.217236873801;7006.104102724672
2021-01-01T20:00:00;6127.40882762209;8568.171019711777;8331.304569069618;9129.490469760167;8615.003930104904;9105.848856340559;6535.131278411926;10504.982054335225;7121.979753100941;8290.100614252586;10663.71860158116;7007.078694250493;9431.202488638968;10519.617338833075;9166.866734785453;6908.716135166852
2021-01-01T21:00:00;5798.638839898882;7809.294935708452;7593.407557972466;8320.898769069496;7851.979892523171;8299.351074523604;6184.484685273333;9574.564159363366;6491.191677915436;7555.853004621049;9719.241537028644;6631.1094646637175;8595.888394702788;9587.903208367963;8354.964648065861;6538.024610765436
2021-01-01T22:00:00;5043.167378747681;6667.293535810804;6482.9767018466255;7104.082382838091;6703.736407925396;7085.68574066486;5378.743577635706;8174.416545088268;5541.944653156871;6450.913982630421;8297.936856822818;5767.180171145166;7338.858578191707;8185.804942624076;7133.16659808339;5686.22281001324
2021-01-01T23:00:00;4446.150278007017;4888.622843780796;4753.477228821597;5208.88711953487;4915.343649780333;5195.398251121642;4742.000504248968;5993.68233035783;4063.4894931316126;4729.968058158542;6084.250446846648;5084.453438787312;5381.0307735703545;6002.032582232686;5230.212378169117;5013.079921576624
2021-01-02T00:00:00;5078.8978582579475;4351.88007064888;4231.572669736423;4636.98116425606;4375.667085277958;4624.973296294265;5416.851590469383;5335.610358337996;3617.341633328814;4210.644671288723;5416.234614652903;5808.040229410436;4790.22443157801;5343.043800409584;4655.965031700422;5726.509291175888
2021-01-02T01:00:00;4818.148030824219;4697.491291818726;4567.629494399445;5005.234125436848;4723.167388646872;4992.2726342495625;5138.751270898579;5759.346026990445;3904.618359476483;4545.039466901604;5846.373182105078;5509.856345856932;5170.647441541255;5767.369807249241;5025.725625790081;5432.511193331897
2021-01-02T02:00:00;5208.63679678595;4788.400365867936;4656.025393857293;5102.098849919777;4814.5733641362;5088.886519063201;5555.223456792418;5870.8048423276;3980.1832126128306;4632.9981886501155;5959.5162066503235;5956.404893422423;5270.713357994173;5878.9839042864305;5122.986915845413;5872.791271566556
2021-01-02T03:00:00;5584.498133403836;5188.4786615758885;5045.043554833422;5528.387141717493;5216.83845454398;5514.070900074947;5956.094893051796;6361.319714996705;4312.733708527537;5020.092390827838;6457.443051739518;6386.226052398323;5711.089654108089;6370.182150299233;5551.020438028569;6296.578773580699
2021-01-02T04:00:00;6184.222736501413;6491.3781064622135;6311.924441459895;6916.642352518088;6526.859439466474;6898.731102684206;6595.725628064648;7958.735926186499;5395.721366623909;6280.707691749413;8078.997175071132;7072.048984571382;7145.224017064768;7969.823842750329;6944.9591855887975;6972.774398621879
2021-01-02T05:00:00;7396.391446473822;9863.634534339419;9590.955091176413;10509.822606397758;9917.54834059218;10482.606502279777;7888.552967337707;12093.281464081043;8198.786565293798;9543.521309713644;12276.018163158911;8458.240404212791;10857.151935141512;12110.129528535026;10552.849971003332;8339.507019330777
2021-01-02T06:00:00;9040.387309684038;9863.242684882312;9590.574074368405;10509.405086033608;9917.154349318518;10482.190063121101;9641.941567558511;12092.801038152864;8198.460854719933;9543.142177292313;12275.530477708287;10338.253426129393;10856.720616536115;12109.64843328918;10552.43074130482;10193.129172810573
2021-01-02T07:00:00;8821.929832309681;9746.079697206818;9476.650048774025;10384.566497152595;9799.350958493913;10357.674754675938;9408.947763235166;11949.15368562783;8101.073393134724;9429.781583314705;12129.712527971098;10088.433513932736;10727.756353521363;11965.800954780041;10427.081061449027;9946.816132299815
2021-01-02T08:00:00;8654.986345233208;9484.324259858226;9222.130821024704;10105.662893900024;9536.164787688429;10079.493396678048;9230.895729363616;11628.229165605335;7883.49872979386;9176.521125866399;11803.938646952894;9897.52310068202;10439.635525113827;11644.42933055227;10147.035622841437;9758.58564282653
2021-01-02T09:00:00;8002.793789054456;9279.778843247503;9023.24004724455;9887.717263813434;9330.501342837439;9862.11215584736;8535.305783705418;11377.446831096742;7713.477810237076;8978.614001932247;11549.3668417261;9151.699752915878;10214.48721309476;11393.297612218597;9928.197720216942;9023.231863950887
2021-01-02T10:00:00;7669.860777684806;9036.04848092591;8786.2475926636;9628.019597311788;9085.43877062036;9603.086999148725;8180.2191561558675;11078.621903770414;7510.885833293936;8742.793635865115;11246.026491436696;8770.96984306159;9946.207040535648;11094.056369299926;9667.436847741013;8647.846487801304
2021-01-02T11:00:00;7417.06064011186;8679.465474957022;8439.522297376352;9248.076065934783;8726.906711588941;9224.127364750402;7910.597504864661;10641.434309128996;7214.489211078086;8397.783132454999;10802.232731366992;8481.876931567642;9553.707109621188;10656.259695576467;9285.937822092952;8362.811746598898
2021-01-02T12:00:00;6701.588552641264;8601.095583535287;8363.31893577476;9164.571993104673;8648.108456856757;9140.839533014505;7147.517359700868;10545.349123493517;7149.347096305372;8321.956648189038;10704.69564124178;7663.689446207419;9467.443388541089;10560.040646406478;9202.091882390081;7556.109648856238
2021-01-02T13:00:00;6216.657471133413;8670.844786900629;8431.139927600178;9238.890617923473;8718.238903568401;9214.965703259453;6630.318594645407;10630.864938709094;7207.323578453088;8389.442219185745;10791.503651453218;7109.14015057438;9544.218100302376;10645.67560016777;9276.714768725637;7009.344893719547
2021-01-02T14:00:00;6064.023425806353;8749.998377236581;8508.105322817784;9323.229731481882;8797.825140847901;9299.086413312707;6467.5281636771315;10727.910976200923;7273.117114373527;8466.02696829436;10890.01611247968;6934.593487030865;9631.344458593278;10742.856839829457;9361.399167825535;6837.248446201114
2021-01-02T15:00:00;6277.393101669807;8844.82594585688;8600.31139035571;9424.269659606316;8893.17102907384;9399.864689713138;6695.095620301533;10844.174050819849;7351.939073248511;8557.777014256171;11008.035991531182;7178.595177109403;9735.723561100202;10859.281889325146;9462.852754866008;7077.824938461256
2021-01-02T16:00:00;6566.443825007927;9242.55314482218;8987.043450483796;9848.052829219132;9293.072171839654;9822.55043577281;7003.379998947706;11331.806367919893;7682.535305720038;8942.596421905917;11503.036723916626;7509.142921194932;10173.511945581715;11347.59356386285;9888.370898858082;7403.73258594929
2021-01-02T17:00:00;6816.700061825423;9588.164365992025;9323.100275146817;10216.305790399922;9640.572475208568;10189.84977372811;7270.288476389443;11755.542036572344;7969.812031867706;9276.991217518796;11933.1752913688;7795.326721629821;10553.934955544963;11771.919570702514;10258.131492947743;7685.899053026392
2021-01-02T18:00:00;6819.561950175304;9863.634534339419;9590.955091176413;10509.822606397758;9917.54834059218;10482.606502279777;7273.3407969700975;12093.281464081043;8198.786565293798;9543.521309713644;12276.018163158911;7798.59947157126;10857.151935141512;12110.129528535026;10552.849971003332;7689.125861417361
2021-01-02T19:00:00;6514.293859521184;9872.64707185292;9599.718477760596;10519.425574773226;9926.610139886383;10492.184602929408;6947.759935033546;12104.331260429122;8206.277908492659;9552.241355404232;12287.23492852331;7449.506144484233;10867.072263065727;12121.194719189578;10562.492254069162;7344.932966380494
2021-01-02T20:00:00;6268.171461431297;9731.973116750905;9462.933443685737;10369.535764043172;9785.167272642117;10342.682944963475;6685.2603650972;11931.858352213441;8089.347812475636;9416.132816146832;12112.155851748557;7168.049649520316;10712.228883726944;11948.481525929441;10411.988792302505;7067.427444757018
2021-01-02T21:00:00;6471.683521867379;8870.688010026051;8625.458499684237;9451.826003640252;8919.174453135456;9427.349674185984;6902.314273054902;10875.882162079553;7373.435971123507;8582.799754063937;11040.2232312725;7400.778534245001;9764.190589056632;10891.034175551242;9490.521914967954;7296.889374781598
2021-01-02T22:00:00;5535.846031455836;7457.678867692191;7251.511890007528;7946.247570513354;7498.441920314253;7925.670067987794;5904.20544318066;9143.46626507192;6198.923641771473;7215.648242748692;9281.629496314968;6330.589303393831;8208.855697982415;9156.204719016314;7978.779622125195;6241.723030934199
2021-01-02T23:00:00;4954.246721240848;5463.948829923282;5312.8983708630185;5821.903957715332;5493.814319927594;5806.827628626618;5283.906071845291;6699.059142505404;4541.708241953626;5286.622483022686;6800.285923529631;5665.493787516565;6014.306633704643;6708.39210813175;5845.738916084159;5585.963859035834
2021-01-03T00:00:00;5692.9341047447215;4467.096415660949;4343.603867459044;4759.745581694552;4491.513193252199;4747.419804545122;6071.746276524084;5476.871035083756;3713.11101917726;4322.121798712894;5559.62982451564;6510.229429004736;4917.045975792036;5484.501278081019;4779.232048426032;6418.8414405433
2021-01-03T01:00:00;5811.259755181551;4898.774773946301;4763.348509632657;5219.704124643945;4925.5510695520425;5206.187244650664;6197.945405872574;6006.129075872147;4071.9279149286667;4739.79051878722;6096.885270112756;6645.542277793545;5392.205259796309;6014.49666824894;5241.073668252373;6552.254821855785
2021-01-03T02:00:00;6051.761890832739;5633.590990038248;5477.850786077555;6002.659743340538;5664.383729984849;5987.115331348263;6454.450736826456;6907.04843725297;4682.717102167967;5450.759096605305;7011.418060629672;6920.57164796488;6201.036048765757;6916.671168486282;6027.23471849023;6823.423440085601
2021-01-03T03:00:00;6590.528683798065;6083.692091063228;5915.508875637822;6482.247942827054;6116.945046204375;6465.46159527984;7029.067482587776;7458.893630121565;5056.84723110372;5886.252669912677;7571.60196365285;7536.685477213328;6696.473711524819;7469.285178603171;6508.786358949315;7430.888510617894
2021-01-03T04:00:00;7200.710958092128;7347.743462220824;7144.615640644743;7829.110058408255;7387.905617057164;7808.835893707221;7679.851750204396;9008.68026944276;6107.543844366083;7109.28066788008;9144.806803863996;8234.46741638165;8087.847017450036;9021.230942829116;7861.162547364178;8118.8752669127525
2021-01-03T05:00:00;10072.733550351735;10511.012130354526;10220.435981693863;11199.611311543727;10568.464448720895;11170.608939291473;10742.980913444071;12886.996950486699;8736.895587723866;10169.88899005422;13081.727164180393;11518.806503551425;11569.736824096286;12904.950799976186;11245.462681009192;11357.110119834733
2021-01-03T06:00:00;8508.244403007975;10531.947065285922;10240.792171905969;11221.917739426823;10589.513812265992;11192.857602730151;9074.389466525725;12912.664168759658;8754.296989069715;10190.144505091774;13107.782229437289;9729.714428885201;11592.780436317638;12930.653777190926;11267.86043172822;9593.132601830304
2021-01-03T07:00:00;8257.590066579662;10469.14226049174;10179.723601269654;11154.99845577754;10526.36572163071;11126.111612414119;8807.05639962182;12835.662513940788;8702.09278503217;10129.377959979118;13029.617033666615;9443.075376421331;11523.649599653587;12853.54484554671;11200.66717957114;9310.517273369534
