Land;Bundesland;Stadt;Adresse;Wärmebedarf;UTM_X;UTM_Y
Deutschland;Sachsen;Zittau;Uferweg 1;28739;487704.9466343716;5637709.937027926
Deutschland;Sachsen;Zittau;Uferweg 2;26028;487693.39675369835;5637697.648739788
Deutschland;Sachsen;Zittau;Uferweg 3;28096;487681.65995789925;5637685.160756725
Deutschland;Sachsen;Zittau;Uferweg 4;34139;487669.8878593239;5637672.639523359
Deutschland;Sachsen;Zittau;Uferweg 5;29777;487658.17916376947;5637660.184887347
Deutschland;Sachsen;Zittau;Uferweg 6;31742;487635.76755132695;5637649.596143559
Deutschland;Sachsen;Zittau;Uferweg 7;36806;487618.82248081965;5637646.60069212
Deutschland;Sachsen;Zittau;Uferweg 8;26924;487601.9653430884;5637643.621766321
Deutschland;Sachsen;Zittau;Uferweg 9;29652;487566.03706604394;5637629.451535779
Deutschland;Sachsen;Zittau;Uferweg 10;37456;487549.4317169607;5637626.366535331
Deutschland;Sachsen;Zittau;Uferweg 11;33709;487532.56041798944;5637623.232185339
Deutschland;Sachsen;Zittau;Uferweg 12;21062;487515.63998996315;5637620.098008181
Deutschland;Sachsen;Zittau;Uferweg 13;30611;487498.81086490216;5637616.969226423
Deutschland;Sachsen;Zittau;Uferweg 14;33628;487465.2756573347;5637603.689109797
Deutschland;Sachsen;Zittau;Uferweg 15;34689;487448.6698179085;5637600.609992362
Deutschland;Sachsen;Zittau;Uferweg 16;26995;487431.798373665;5637597.4759695865
Deutschland;Sachsen;Zittau;Uferweg 17;35125;487414.87885381;5637594.330997829
Deutschland;Sachsen;Zittau;Uferweg 18;31008;487398.04852753435;5637591.213665253
Deutschland;Sachsen;Zittau;Bogatyniaer Straße 2;20603;487489.2500241127;5637774.85492428
Deutschland;Sachsen;Zittau;Bogatyniaer Straße 4;26311;487503.10039256385;5637778.118723429
Deutschland;Sachsen;Zittau;Bogatyniaer Straße 6;32436;487518.0859636854;5637781.657836516
Deutschland;Sachsen;Zittau;Bogatyniaer Straße 8;37231;487532.6778452385;5637785.097855869
Deutschland;Sachsen;Zittau;Bogatyniaer Straße 10;32485;487529.89803876425;5637752.194229386
Deutschland;Sachsen;Zittau;Bogatyniaer Straße 12;22495;487532.46489980293;5637738.2377471
Deutschland;Sachsen;Zittau;Bogatyniaer Straße 14;28946;487535.244436766;5637723.129812973
Deutschland;Sachsen;Zittau;Bogatyniaer Straße 16;34729;487537.9497237972;5637708.422386915
Deutschland;Sachsen;Zittau;Bogatyniaer Straße 18;32859;487540.6648407032;5637693.664898083
Deutschland;Sachsen;Zittau;Bogatyniaer Straße 20;30667;487543.337390063;5637679.124357487
Deutschland;Sachsen;Zittau;Bogatyniaer Straße 22;32601;487545.8442761875;5637665.49607406
