Land;Bundesland;Stadt;Adresse;Wärmebedarf;UTM_X;UTM_Y
;;;;;487706.84690976597;5637710.466305107
;;;;;491200.82329229685;5644555.961130545
;;;;;491229.8604751671;5644590.009966104
;;;;;487531.0793734967;5637785.768911554
;;;;;487516.3151364566;5637782.312632024
;;;;;487501.43813338224;5637778.7677018475
;;;;;487487.68713531195;5637775.509227087
;;;;;487433.70279603434;5637596.7819146495
;;;;;487450.53472409735;5637599.921599037
;;;;;487416.772431574;5637593.664763456
;;;;;487399.9123282071;5637590.525256487
;;;;;487467.11320968455;5637602.972987674
;;;;;487530.6647731754;5637753.699180932
;;;;;487533.2198327423;5637739.859489685
;;;;;487541.3845104735;5637695.425729144
;;;;;487538.7185797479;5637709.977375483
;;;;;487544.1061363801;5637680.629306053
;;;;;487546.5915742802;5637667.0566755105
;;;;;487535.96906504966;5637724.862830897
;;;;;487551.2891799613;5637625.655955633
;;;;;487534.41530305165;5637622.5605266765
;;;;;487500.68128781195;5637616.258597411
;;;;;487517.499097835;5637619.420773134
;;;;;487567.8535091538;5637628.729939662
;;;;;487637.63204434665;5637648.891138216
;;;;;487603.82878934126;5637642.922311322
;;;;;487620.6881728123;5637645.884557542
;;;;;487683.57785430585;5637685.7011040505
;;;;;487671.81632497685;5637673.185401339
;;;;;487695.31108814257;5637698.172419501
;;;;;487660.0970983481;5637660.736346072
