Datum;Wassertemperatur [°C]
01.01.2021 0:00:00;2.8
01.01.2021 1:00:00;2.8
01.01.2021 2:00:00;2.8
01.01.2021 3:00:00;2.8
01.01.2021 4:00:00;2.8
01.01.2021 5:00:00;2.8
01.01.2021 6:00:00;2.8
01.01.2021 7:00:00;2.8
01.01.2021 8:00:00;2.8
01.01.2021 9:00:00;2.8
01.01.2021 10:00:00;2.8
01.01.2021 11:00:00;2.8
01.01.2021 12:00:00;2.8
01.01.2021 13:00:00;2.8
01.01.2021 14:00:00;2.8
01.01.2021 15:00:00;2.8
01.01.2021 16:00:00;2.8
01.01.2021 17:00:00;2.8
01.01.2021 18:00:00;2.8
01.01.2021 19:00:00;2.8
01.01.2021 20:00:00;2.8
01.01.2021 21:00:00;2.8
01.01.2021 22:00:00;2.8
01.01.2021 23:00:00;2.8
02.01.2021 0:00:00;3.3
02.01.2021 1:00:00;3.3
02.01.2021 2:00:00;3.3
02.01.2021 3:00:00;3.3
02.01.2021 4:00:00;3.3
02.01.2021 5:00:00;3.3
02.01.2021 6:00:00;3.3
02.01.2021 7:00:00;3.3
02.01.2021 8:00:00;3.3
02.01.2021 9:00:00;3.3
02.01.2021 10:00:00;3.3
02.01.2021 11:00:00;3.3
02.01.2021 12:00:00;3.3
02.01.2021 13:00:00;3.3
02.01.2021 14:00:00;3.3
02.01.2021 15:00:00;3.3
02.01.2021 16:00:00;3.3
02.01.2021 17:00:00;3.3
02.01.2021 18:00:00;3.3
02.01.2021 19:00:00;3.3
02.01.2021 20:00:00;3.3
02.01.2021 21:00:00;3.3
02.01.2021 22:00:00;3.3
02.01.2021 23:00:00;3.3
03.01.2021 0:00:00;3.3
03.01.2021 1:00:00;3.3
03.01.2021 2:00:00;3.3
03.01.2021 3:00:00;3.3
03.01.2021 4:00:00;3.3
03.01.2021 5:00:00;3.3
03.01.2021 6:00:00;3.3
03.01.2021 7:00:00;3.3
03.01.2021 8:00:00;3.3
03.01.2021 9:00:00;3.3
03.01.2021 10:00:00;3.3
03.01.2021 11:00:00;3.3
03.01.2021 12:00:00;3.3
03.01.2021 13:00:00;3.3
03.01.2021 14:00:00;3.3
03.01.2021 15:00:00;3.3
03.01.2021 16:00:00;3.3
03.01.2021 17:00:00;3.3
03.01.2021 18:00:00;3.3
03.01.2021 19:00:00;3.3
03.01.2021 20:00:00;3.3
03.01.2021 21:00:00;3.3
03.01.2021 22:00:00;3.3
03.01.2021 23:00:00;3.3
04.01.2021 0:00:00;3.6
04.01.2021 1:00:00;3.6
04.01.2021 2:00:00;3.6
04.01.2021 3:00:00;3.6
04.01.2021 4:00:00;3.6
04.01.2021 5:00:00;3.6
04.01.2021 6:00:00;3.6
04.01.2021 7:00:00;3.6
04.01.2021 8:00:00;3.6
04.01.2021 9:00:00;3.6
04.01.2021 10:00:00;3.6
04.01.2021 11:00:00;3.6
04.01.2021 12:00:00;3.6
04.01.2021 13:00:00;3.6
04.01.2021 14:00:00;3.6
04.01.2021 15:00:00;3.6
04.01.2021 16:00:00;3.6
04.01.2021 17:00:00;3.6
04.01.2021 18:00:00;3.6
04.01.2021 19:00:00;3.6
04.01.2021 20:00:00;3.6
04.01.2021 21:00:00;3.6
04.01.2021 22:00:00;3.6
04.01.2021 23:00:00;3.6
05.01.2021 0:00:00;3.8
05.01.2021 1:00:00;3.8
05.01.2021 2:00:00;3.8
05.01.2021 3:00:00;3.8
05.01.2021 4:00:00;3.8
05.01.2021 5:00:00;3.8
05.01.2021 6:00:00;3.8
05.01.2021 7:00:00;3.8
05.01.2021 8:00:00;3.8
05.01.2021 9:00:00;3.8
05.01.2021 10:00:00;3.8
05.01.2021 11:00:00;3.8
05.01.2021 12:00:00;3.8
05.01.2021 13:00:00;3.8
05.01.2021 14:00:00;3.8
05.01.2021 15:00:00;3.8
05.01.2021 16:00:00;3.8
05.01.2021 17:00:00;3.8
05.01.2021 18:00:00;3.8
05.01.2021 19:00:00;3.8
05.01.2021 20:00:00;3.8
05.01.2021 21:00:00;3.8
05.01.2021 22:00:00;3.8
05.01.2021 23:00:00;3.8
06.01.2021 0:00:00;3.6
06.01.2021 1:00:00;3.6
06.01.2021 2:00:00;3.6
06.01.2021 3:00:00;3.6
06.01.2021 4:00:00;3.6
06.01.2021 5:00:00;3.6
06.01.2021 6:00:00;3.6
06.01.2021 7:00:00;3.6
06.01.2021 8:00:00;3.6
06.01.2021 9:00:00;3.6
06.01.2021 10:00:00;3.6
06.01.2021 11:00:00;3.6
06.01.2021 12:00:00;3.6
06.01.2021 13:00:00;3.6
06.01.2021 14:00:00;3.6
06.01.2021 15:00:00;3.6
06.01.2021 16:00:00;3.6
06.01.2021 17:00:00;3.6
06.01.2021 18:00:00;3.6
06.01.2021 19:00:00;3.6
06.01.2021 20:00:00;3.6
06.01.2021 21:00:00;3.6
06.01.2021 22:00:00;3.6
06.01.2021 23:00:00;3.6
07.01.2021 0:00:00;3.5
07.01.2021 1:00:00;3.5
07.01.2021 2:00:00;3.5
07.01.2021 3:00:00;3.5
07.01.2021 4:00:00;3.5
07.01.2021 5:00:00;3.5
07.01.2021 6:00:00;3.5
07.01.2021 7:00:00;3.5
07.01.2021 8:00:00;3.5
07.01.2021 9:00:00;3.5
07.01.2021 10:00:00;3.5
07.01.2021 11:00:00;3.5
07.01.2021 12:00:00;3.5
07.01.2021 13:00:00;3.5
07.01.2021 14:00:00;3.5
07.01.2021 15:00:00;3.5
07.01.2021 16:00:00;3.5
07.01.2021 17:00:00;3.5
07.01.2021 18:00:00;3.5
07.01.2021 19:00:00;3.5
07.01.2021 20:00:00;3.5
07.01.2021 21:00:00;3.5
07.01.2021 22:00:00;3.5
07.01.2021 23:00:00;3.5
08.01.2021 0:00:00;3.2
08.01.2021 1:00:00;3.2
08.01.2021 2:00:00;3.2
08.01.2021 3:00:00;3.2
08.01.2021 4:00:00;3.2
08.01.2021 5:00:00;3.2
08.01.2021 6:00:00;3.2
08.01.2021 7:00:00;3.2
08.01.2021 8:00:00;3.2
08.01.2021 9:00:00;3.2
08.01.2021 10:00:00;3.2
08.01.2021 11:00:00;3.2
08.01.2021 12:00:00;3.2
08.01.2021 13:00:00;3.2
08.01.2021 14:00:00;3.2
08.01.2021 15:00:00;3.2
08.01.2021 16:00:00;3.2
08.01.2021 17:00:00;3.2
08.01.2021 18:00:00;3.2
08.01.2021 19:00:00;3.2
08.01.2021 20:00:00;3.2
08.01.2021 21:00:00;3.2
08.01.2021 22:00:00;3.2
08.01.2021 23:00:00;3.2
09.01.2021 0:00:00;3.2
09.01.2021 1:00:00;3.2
09.01.2021 2:00:00;3.2
09.01.2021 3:00:00;3.2
09.01.2021 4:00:00;3.2
09.01.2021 5:00:00;3.2
09.01.2021 6:00:00;3.2
09.01.2021 7:00:00;3.2
09.01.2021 8:00:00;3.2
09.01.2021 9:00:00;3.2
09.01.2021 10:00:00;3.2
09.01.2021 11:00:00;3.2
09.01.2021 12:00:00;3.2
09.01.2021 13:00:00;3.2
09.01.2021 14:00:00;3.2
09.01.2021 15:00:00;3.2
09.01.2021 16:00:00;3.2
09.01.2021 17:00:00;3.2
09.01.2021 18:00:00;3.2
09.01.2021 19:00:00;3.2
09.01.2021 20:00:00;3.2
09.01.2021 21:00:00;3.2
09.01.2021 22:00:00;3.2
09.01.2021 23:00:00;3.2
10.01.2021 0:00:00;3.3
10.01.2021 1:00:00;3.3
10.01.2021 2:00:00;3.3
10.01.2021 3:00:00;3.3
10.01.2021 4:00:00;3.3
10.01.2021 5:00:00;3.3
10.01.2021 6:00:00;3.3
10.01.2021 7:00:00;3.3
10.01.2021 8:00:00;3.3
10.01.2021 9:00:00;3.3
10.01.2021 10:00:00;3.3
10.01.2021 11:00:00;3.3
10.01.2021 12:00:00;3.3
10.01.2021 13:00:00;3.3
10.01.2021 14:00:00;3.3
10.01.2021 15:00:00;3.3
10.01.2021 16:00:00;3.3
10.01.2021 17:00:00;3.3
10.01.2021 18:00:00;3.3
10.01.2021 19:00:00;3.3
10.01.2021 20:00:00;3.3
10.01.2021 21:00:00;3.3
10.01.2021 22:00:00;3.3
10.01.2021 23:00:00;3.3
11.01.2021 0:00:00;2.4
11.01.2021 1:00:00;2.4
11.01.2021 2:00:00;2.4
11.01.2021 3:00:00;2.4
11.01.2021 4:00:00;2.4
11.01.2021 5:00:00;2.4
11.01.2021 6:00:00;2.4
11.01.2021 7:00:00;2.4
11.01.2021 8:00:00;2.4
11.01.2021 9:00:00;2.4
11.01.2021 10:00:00;2.4
11.01.2021 11:00:00;2.4
11.01.2021 12:00:00;2.4
11.01.2021 13:00:00;2.4
11.01.2021 14:00:00;2.4
11.01.2021 15:00:00;2.4
11.01.2021 16:00:00;2.4
11.01.2021 17:00:00;2.4
11.01.2021 18:00:00;2.4
11.01.2021 19:00:00;2.4
11.01.2021 20:00:00;2.4
11.01.2021 21:00:00;2.4
11.01.2021 22:00:00;2.4
11.01.2021 23:00:00;2.4
12.01.2021 0:00:00;1.8
12.01.2021 1:00:00;1.8
12.01.2021 2:00:00;1.8
12.01.2021 3:00:00;1.8
12.01.2021 4:00:00;1.8
12.01.2021 5:00:00;1.8
12.01.2021 6:00:00;1.8
12.01.2021 7:00:00;1.8
12.01.2021 8:00:00;1.8
12.01.2021 9:00:00;1.8
12.01.2021 10:00:00;1.8
12.01.2021 11:00:00;1.8
12.01.2021 12:00:00;1.8
12.01.2021 13:00:00;1.8
12.01.2021 14:00:00;1.8
12.01.2021 15:00:00;1.8
12.01.2021 16:00:00;1.8
12.01.2021 17:00:00;1.8
12.01.2021 18:00:00;1.8
12.01.2021 19:00:00;1.8
12.01.2021 20:00:00;1.8
12.01.2021 21:00:00;1.8
12.01.2021 22:00:00;1.8
12.01.2021 23:00:00;1.8
13.01.2021 0:00:00;2.1
13.01.2021 1:00:00;2.1
13.01.2021 2:00:00;2.1
13.01.2021 3:00:00;2.1
13.01.2021 4:00:00;2.1
13.01.2021 5:00:00;2.1
13.01.2021 6:00:00;2.1
13.01.2021 7:00:00;2.1
13.01.2021 8:00:00;2.1
13.01.2021 9:00:00;2.1
13.01.2021 10:00:00;2.1
13.01.2021 11:00:00;2.1
13.01.2021 12:00:00;2.1
13.01.2021 13:00:00;2.1
13.01.2021 14:00:00;2.1
13.01.2021 15:00:00;2.1
13.01.2021 16:00:00;2.1
13.01.2021 17:00:00;2.1
13.01.2021 18:00:00;2.1
13.01.2021 19:00:00;2.1
13.01.2021 20:00:00;2.1
13.01.2021 21:00:00;2.1
13.01.2021 22:00:00;2.1
13.01.2021 23:00:00;2.1
14.01.2021 0:00:00;2.4
14.01.2021 1:00:00;2.4
14.01.2021 2:00:00;2.4
14.01.2021 3:00:00;2.4
14.01.2021 4:00:00;2.4
14.01.2021 5:00:00;2.4
14.01.2021 6:00:00;2.4
14.01.2021 7:00:00;2.4
14.01.2021 8:00:00;2.4
14.01.2021 9:00:00;2.4
14.01.2021 10:00:00;2.4
14.01.2021 11:00:00;2.4
14.01.2021 12:00:00;2.4
14.01.2021 13:00:00;2.4
14.01.2021 14:00:00;2.4
14.01.2021 15:00:00;2.4
14.01.2021 16:00:00;2.4
14.01.2021 17:00:00;2.4
14.01.2021 18:00:00;2.4
14.01.2021 19:00:00;2.4
14.01.2021 20:00:00;2.4
14.01.2021 21:00:00;2.4
14.01.2021 22:00:00;2.4
14.01.2021 23:00:00;2.4
15.01.2021 0:00:00;2.4
15.01.2021 1:00:00;2.4
15.01.2021 2:00:00;2.4
15.01.2021 3:00:00;2.4
15.01.2021 4:00:00;2.4
15.01.2021 5:00:00;2.4
15.01.2021 6:00:00;2.4
15.01.2021 7:00:00;2.4
15.01.2021 8:00:00;2.4
15.01.2021 9:00:00;2.4
15.01.2021 10:00:00;2.4
15.01.2021 11:00:00;2.4
15.01.2021 12:00:00;2.4
15.01.2021 13:00:00;2.4
15.01.2021 14:00:00;2.4
15.01.2021 15:00:00;2.4
15.01.2021 16:00:00;2.4
15.01.2021 17:00:00;2.4
15.01.2021 18:00:00;2.4
15.01.2021 19:00:00;2.4
15.01.2021 20:00:00;2.4
15.01.2021 21:00:00;2.4
15.01.2021 22:00:00;2.4
15.01.2021 23:00:00;2.4
16.01.2021 0:00:00;1.8
16.01.2021 1:00:00;1.8
16.01.2021 2:00:00;1.8
16.01.2021 3:00:00;1.8
16.01.2021 4:00:00;1.8
16.01.2021 5:00:00;1.8
16.01.2021 6:00:00;1.8
16.01.2021 7:00:00;1.8
16.01.2021 8:00:00;1.8
16.01.2021 9:00:00;1.8
16.01.2021 10:00:00;1.8
16.01.2021 11:00:00;1.8
16.01.2021 12:00:00;1.8
16.01.2021 13:00:00;1.8
16.01.2021 14:00:00;1.8
16.01.2021 15:00:00;1.8
16.01.2021 16:00:00;1.8
16.01.2021 17:00:00;1.8
16.01.2021 18:00:00;1.8
16.01.2021 19:00:00;1.8
16.01.2021 20:00:00;1.8
16.01.2021 21:00:00;1.8
16.01.2021 22:00:00;1.8
16.01.2021 23:00:00;1.8
17.01.2021 0:00:00;1.4
17.01.2021 1:00:00;1.4
17.01.2021 2:00:00;1.4
17.01.2021 3:00:00;1.4
17.01.2021 4:00:00;1.4
17.01.2021 5:00:00;1.4
17.01.2021 6:00:00;1.4
17.01.2021 7:00:00;1.4
17.01.2021 8:00:00;1.4
17.01.2021 9:00:00;1.4
17.01.2021 10:00:00;1.4
17.01.2021 11:00:00;1.4
17.01.2021 12:00:00;1.4
17.01.2021 13:00:00;1.4
17.01.2021 14:00:00;1.4
17.01.2021 15:00:00;1.4
17.01.2021 16:00:00;1.4
17.01.2021 17:00:00;1.4
17.01.2021 18:00:00;1.4
17.01.2021 19:00:00;1.4
17.01.2021 20:00:00;1.4
17.01.2021 21:00:00;1.4
17.01.2021 22:00:00;1.4
17.01.2021 23:00:00;1.4
18.01.2021 0:00:00;1
18.01.2021 1:00:00;1
18.01.2021 2:00:00;1
18.01.2021 3:00:00;1
18.01.2021 4:00:00;1
18.01.2021 5:00:00;1
18.01.2021 6:00:00;1
18.01.2021 7:00:00;1
18.01.2021 8:00:00;1
18.01.2021 9:00:00;1
18.01.2021 10:00:00;1
18.01.2021 11:00:00;1
18.01.2021 12:00:00;1
18.01.2021 13:00:00;1
18.01.2021 14:00:00;1
18.01.2021 15:00:00;1
18.01.2021 16:00:00;1
18.01.2021 17:00:00;1
18.01.2021 18:00:00;1
18.01.2021 19:00:00;1
18.01.2021 20:00:00;1
18.01.2021 21:00:00;1
18.01.2021 22:00:00;1
18.01.2021 23:00:00;1
19.01.2021 0:00:00;1.4
19.01.2021 1:00:00;1.4
19.01.2021 2:00:00;1.4
19.01.2021 3:00:00;1.4
19.01.2021 4:00:00;1.4
19.01.2021 5:00:00;1.4
19.01.2021 6:00:00;1.4
19.01.2021 7:00:00;1.4
19.01.2021 8:00:00;1.4
19.01.2021 9:00:00;1.4
19.01.2021 10:00:00;1.4
19.01.2021 11:00:00;1.4
19.01.2021 12:00:00;1.4
19.01.2021 13:00:00;1.4
19.01.2021 14:00:00;1.4
19.01.2021 15:00:00;1.4
19.01.2021 16:00:00;1.4
19.01.2021 17:00:00;1.4
19.01.2021 18:00:00;1.4
19.01.2021 19:00:00;1.4
19.01.2021 20:00:00;1.4
19.01.2021 21:00:00;1.4
19.01.2021 22:00:00;1.4
19.01.2021 23:00:00;1.4
20.01.2021 0:00:00;2.6
20.01.2021 1:00:00;2.6
20.01.2021 2:00:00;2.6
20.01.2021 3:00:00;2.6
20.01.2021 4:00:00;2.6
20.01.2021 5:00:00;2.6
20.01.2021 6:00:00;2.6
20.01.2021 7:00:00;2.6
20.01.2021 8:00:00;2.6
20.01.2021 9:00:00;2.6
20.01.2021 10:00:00;2.6
20.01.2021 11:00:00;2.6
20.01.2021 12:00:00;2.6
20.01.2021 13:00:00;2.6
20.01.2021 14:00:00;2.6
20.01.2021 15:00:00;2.6
20.01.2021 16:00:00;2.6
20.01.2021 17:00:00;2.6
20.01.2021 18:00:00;2.6
20.01.2021 19:00:00;2.6
20.01.2021 20:00:00;2.6
20.01.2021 21:00:00;2.6
20.01.2021 22:00:00;2.6
20.01.2021 23:00:00;2.6
21.01.2021 0:00:00;3.3
21.01.2021 1:00:00;3.3
21.01.2021 2:00:00;3.3
21.01.2021 3:00:00;3.3
21.01.2021 4:00:00;3.3
21.01.2021 5:00:00;3.3
21.01.2021 6:00:00;3.3
21.01.2021 7:00:00;3.3
21.01.2021 8:00:00;3.3
21.01.2021 9:00:00;3.3
21.01.2021 10:00:00;3.3
21.01.2021 11:00:00;3.3
21.01.2021 12:00:00;3.3
21.01.2021 13:00:00;3.3
21.01.2021 14:00:00;3.3
21.01.2021 15:00:00;3.3
21.01.2021 16:00:00;3.3
21.01.2021 17:00:00;3.3
21.01.2021 18:00:00;3.3
21.01.2021 19:00:00;3.3
21.01.2021 20:00:00;3.3
21.01.2021 21:00:00;3.3
21.01.2021 22:00:00;3.3
21.01.2021 23:00:00;3.3
22.01.2021 0:00:00;3.8
22.01.2021 1:00:00;3.8
22.01.2021 2:00:00;3.8
22.01.2021 3:00:00;3.8
22.01.2021 4:00:00;3.8
22.01.2021 5:00:00;3.8
22.01.2021 6:00:00;3.8
22.01.2021 7:00:00;3.8
22.01.2021 8:00:00;3.8
22.01.2021 9:00:00;3.8
22.01.2021 10:00:00;3.8
22.01.2021 11:00:00;3.8
22.01.2021 12:00:00;3.8
22.01.2021 13:00:00;3.8
22.01.2021 14:00:00;3.8
22.01.2021 15:00:00;3.8
22.01.2021 16:00:00;3.8
22.01.2021 17:00:00;3.8
22.01.2021 18:00:00;3.8
22.01.2021 19:00:00;3.8
22.01.2021 20:00:00;3.8
22.01.2021 21:00:00;3.8
22.01.2021 22:00:00;3.8
22.01.2021 23:00:00;3.8
23.01.2021 0:00:00;3.9
23.01.2021 1:00:00;3.9
23.01.2021 2:00:00;3.9
23.01.2021 3:00:00;3.9
23.01.2021 4:00:00;3.9
23.01.2021 5:00:00;3.9
23.01.2021 6:00:00;3.9
23.01.2021 7:00:00;3.9
23.01.2021 8:00:00;3.9
23.01.2021 9:00:00;3.9
23.01.2021 10:00:00;3.9
23.01.2021 11:00:00;3.9
23.01.2021 12:00:00;3.9
23.01.2021 13:00:00;3.9
23.01.2021 14:00:00;3.9
23.01.2021 15:00:00;3.9
23.01.2021 16:00:00;3.9
23.01.2021 17:00:00;3.9
23.01.2021 18:00:00;3.9
23.01.2021 19:00:00;3.9
23.01.2021 20:00:00;3.9
23.01.2021 21:00:00;3.9
23.01.2021 22:00:00;3.9
