;waerme_ges_W_1;waerme_ges_W_2;waerme_ges_W_3;waerme_ges_W_4;waerme_ges_W_5;waerme_ges_W_6;waerme_ges_W_7;waerme_ges_W_8;waerme_ges_W_9
2021-01-01T00:00:00;24380.286099028133;5368.4903584481635;175878.5608175714;117386.56269902433;5368.4903584481635;10736.980716896327;293466.4067475608;10736.980716896327;104001.4357121277
2021-01-01T01:00:00;18956.157113488927;5633.33895885635;151693.91571064692;91270.38610198372;5633.33895885635;11266.6779177127;228175.9652549592;11266.6779177127;99120.60434992146
2021-01-01T02:00:00;16196.93539422217;5044.581442966375;140004.49150969903;77985.24449069932;5044.581442966375;10089.16288593275;194963.11122674827;10089.16288593275;106200.64751777294
2021-01-01T03:00:00;20273.4156403094;5605.193027454085;153219.5574721677;97612.74197186007;5605.193027454085;11210.38605490817;244031.85492965014;11210.38605490817;134513.72595754793
2021-01-01T04:00:00;20591.98890375684;8143.8637581959665;218102.308161069;99146.61324031069;8143.8637581959665;16287.727516391933;247866.53310077667;16287.727516391933;144367.61369316498
2021-01-01T05:00:00;22287.55318092114;11671.794766420688;225644.5653201365;107310.44124147212;11671.794766420688;23343.589532841375;268276.1031036803;23343.589532841375;157385.52873625868
2021-01-01T06:00:00;22629.18108843385;11626.576712692464;305708.52593177615;108955.31635171849;11626.576712692464;23253.153425384928;272388.2908792962;23253.153425384928;183371.69920102842
2021-01-01T07:00:00;24841.378980333626;11321.124145671178;319213.6787080551;119606.63953493966;11321.124145671178;22642.248291342356;299016.59883734916;22642.248291342356;195864.64110341974
2021-01-01T08:00:00;27414.067670344983;11185.469984486492;304698.59406147373;131993.65915351285;11185.469984486492;22370.939968972983;329984.1478837821;22370.939968972983;176845.00610040376
2021-01-01T09:00:00;27242.205778222014;10951.074359038137;287207.43358431995;131166.17596921712;10951.074359038137;21902.148718076274;327915.4399230427;21902.148718076274;162386.96203619393
2021-01-01T10:00:00;30346.19922010129;10110.387686662321;305848.19736064784;146111.32957826543;10110.387686662321;20220.775373324643;365278.32394566364;20220.775373324643;144076.7501962893
2021-01-01T11:00:00;25622.093063453165;9735.723812914157;279342.857743241;123365.63326847817;9735.723812914157;19471.447625828314;308414.08317119535;19471.447625828314;142594.05578538653
2021-01-01T12:00:00;26571.52522359584;9488.408743543449;258778.92583091164;127936.97329879478;9488.408743543449;18976.817487086897;319842.4332469869;18976.817487086897;143033.89814651557
2021-01-01T13:00:00;29872.53107839656;9214.793377616523;237967.8829290402;143830.7051922797;9214.793377616523;18429.586755233046;359576.7629806993;18429.586755233046;133052.31424153852
2021-01-01T14:00:00;19273.682438569762;10264.498196307504;221067.64003557418;92799.21174126178;10264.498196307504;20528.99639261501;231998.02935315442;20528.99639261501;139614.47850031877
2021-01-01T15:00:00;20309.04554477392;10367.853747686311;218961.8246464327;97784.29336372626;10367.853747686311;20735.707495372622;244460.7334093156;20735.707495372622;140040.13239818555
2021-01-01T16:00:00;25979.44004646492;10818.650058834044;202620.26746845318;125086.19281631257;10818.650058834044;21637.30011766809;312715.4820407814;21637.30011766809;146048.94658973895
2021-01-01T17:00:00;17447.12586558003;11198.85083712036;207390.58396222242;84004.68009353345;11198.85083712036;22397.70167424072;210011.7002338336;22397.70167424072;151901.6876854078
2021-01-01T18:00:00;11557.712245268915;11476.618881450895;198634.2597675785;55648.24414388736;11476.618881450895;22953.23776290179;139120.61035971835;22953.23776290179;156505.84401400064
2021-01-01T19:00:00;11010.688417901936;11486.769873104171;200052.46196842875;53014.42571582414;11486.769873104171;22973.539746208342;132536.0642895603;22973.539746208342;162074.8158444249
2021-01-01T20:00:00;21012.21218876479;11257.91115219396;194272.2136043571;101169.91053849715;11257.91115219396;22515.82230438792;252924.7763462428;22515.82230438792;167352.92417797356
2021-01-01T21:00:00;20451.565162631978;10260.806926615405;181615.83335737488;98470.498931191;10260.806926615405;20521.61385323081;246176.2473279775;20521.61385323081;157775.71147596996
2021-01-01T22:00:00;20302.7579145743;8760.305796776693;164296.57617729396;97754.01958869107;8760.305796776693;17520.611593553385;244385.0489717276;17520.611593553385;143530.49436069356
