
REM Knotendaten
REM;
REM;
REM FLDNAM KNO;

REM Knotendaten
REM;Koordinate x;Koordinate y;Knotenname;Zufluss;Fluss-Status;Messdruck;Druck-Status;Temperatur;Höhe;Ber.Druck;Sättigungsdampfdruck;Abs.Druck;Diff.Druck;Qualität 1;Druckhöhe;Symbol-Nr.;Abgänge;Teilnetz;Gebiet;Letzte Änderung;Ort;Sohlhöhe;Letzter Benutzer;Minimale Laufzeit;Maximale Laufzeit;Betriebsdichte;Medium-Zähigkeit;Qualität 2;Qualität 3;Messtemp.;Wärmeleistung;Trennt;Text Abstand x;Text Abstand y;Ergebnisdiagramm;Einfügen Status;Import Status;Normdichte;Mittlere Laufzeit;Anzahl Abnehmer;Sim. Status;Verbindungsfehler;Kondensat;Vorlauf;Knoten Gegenüber;Drucklimit unten;Drucklimit oben;Temp.limit unten;Temp.limit oben;In Längsschnitt nicht ausblenden;STANET-ID;Smallworld URN;Aktiv f.Berechnung;Anzahl Sätze*;Gelöscht*;Satz No*
REM;m;m;;t/h;?;bar;!;C;mNN;bar;bar abs.;bar;bar;;m;;;;;;;mNN;;h;h;kg/m3;E-6kg/ms;;;C;kW;[J/N];;;[+];[I/U/D/K];[I/U/M];kg/m3;h;;;[J/N];t/h;[J/N];;bar;bar;C;C;[J/N];;;;;*;
REM FLDNAM KNO;XRECHTS;YHOCH;KNAM;ZUFLUSS;FSTATUS;PMESS;DSTATUS;TEMP;GEOH;PRECH;PSTEAM;PABS;DP;HO;HP;SYMBOL;ABGAENGE;NETZNR;GEBIET;LASTMODI;LOCATION;INVERT;USERNAME;TMIN;TMAX;RHO;ETA;QUALI2;QUALI3;TMESS;WAERMEMENG;DISCONNECT;FLAGOFFX;FLAGOFFY;SWMMPRINT;PASTESTATE;IMEXSTATE;RHON;TMED;ABNCOUNT;CALCBAD;LINKERR;KONDENSAT;SUPPLY;OTHERNODE;PLIMITLOW;PLIMITHIGH;TLIMITLOW;TLIMITHIGH;NOHIDECHRT;STANETID;SWURN;ISACTIVE;!RECCOUNT;!DELETED;!RECNO
KNO; 5486293.87779; 5639032.34434;K1009;     0.000;;  0.0000;;  90.0;   0.00;  4.0580;  0.7008;  5.0710;  0.0000; -2.0000;    42.872;  0;  1;   1;;     20240103114936;;   0.00;jp66tyda;       0.00;       0.00;  965.20;  316.85;      0.0000;      0.0000;   0.0;      0.000;;     0;     0;;;;  1000.0000;       0.00; 0;0;;    0.0000;J;   63;  0.0000;  0.0000;   0.00;   0.00;;KNO000001659549D0F5FB;;1;     126;;       1;
KNO; 5486305.66680; 5639046.70814;K1010;     0.000;;  0.0000;;  90.0;   0.00;  4.0582;  0.7008;  5.0712;  0.0000;  0.0000;    42.874;  0;  1;   1;;     20240103114937;;   0.00;jp66tyda;       0.00;       0.00;  965.20;  316.85;      0.0000;      0.0000;   0.0;      0.000;;     0;     0;;;;  1000.0000;       0.00; 0;0;;    0.0000;J;   64;  0.0000;  0.0000;   0.00;   0.00;;KNO000002659549D1AE92;;1;     126;;       2;
KNO; 5486316.52646; 5639060.47463;K1011;     0.000;;  0.0000;;  90.0;   0.00;  4.0619;  0.7008;  5.0749;  0.0000;  0.0000;    42.913;  0;  1;   1;;     20240103114937;;   0.00;jp66tyda;       0.00;       0.00;  965.20;  316.85;      0.0000;      0.0000;   0.0;      0.000;;     0;     0;;;;  1000.0000;       0.00; 0;0;;    0.0000;J;   65;  0.0000;  0.0000;   0.00;   0.00;;KNO000003659549D11B9E;;1;     126;;       3;
KNO; 5486328.31138; 5639073.33900;K1012;     0.000;;  0.0000;;  90.0;   0.00;  4.0625;  0.7008;  5.0755;  0.0000;  0.0000;    42.919;  0;  1;   1;;     20240103114938;;   0.00;jp66tyda;       0.00;       0.00;  965.20;  316.85;      0.0000;      0.0000;   0.0;      0.000;;     0;     0;;;;  1000.0000;       0.00; 0;0;;    0.0000;J;   66;  0.0000;  0.0000;   0.00;   0.00;;KNO000004659549D299C1;;1;     126;;       4;
KNO; 5486348.77130; 5639092.47831;K1013;     0.000;;  0.0000;;  90.0;   0.00;  4.0686;  0.7008;  5.0816;  0.0000;  0.0000;    42.984;  0;  1;   1;;     20240103114938;;   0.00;jp66tyda;       0.00;       0.00;  965.20;  316.85;      0.0000;      0.0000;   0.0;      0.000;;     0;     0;;;;  1000.0000;       0.00; 0;0;;    0.0000;J;   67;  0.0000;  0.0000;   0.00;   0.00;;KNO000005659549D22ACD;;1;     126;;       5;
KNO; 5486356.83978; 5639103.25329;K1014;     0.000;;  0.0000;;  90.0;   0.00;  4.0703;  0.7008;  5.0833;  0.0000;  0.0000;    43.002;  0;  1;   1;;     20240103114939;;   0.00;jp66tyda;       0.00;       0.00;  965.20;  316.85;      0.0000;      0.0000;   0.0;      0.000;;     0;     0;;;;  1000.0000;       0.00; 0;0;;    0.0000;J;   68;  0.0000;  0.0000;   0.00;   0.00;;KNO000006659549D3B49B;;1;     126;;       6;
KNO; 5486366.15147; 5639116.42418;K1015;     0.000;;  0.0000;;  90.0;   0.00;  4.0742;  0.7008;  5.0872;  0.0000;  0.0000;    43.044;  0;  1;   1;;     20240103114939;;   0.00;jp66tyda;       0.00;       0.00;  965.20;  316.85;      0.0000;      0.0000;   0.0;      0.000;;     0;     0;;;;  1000.0000;       0.00; 0;0;;    0.0000;J;   69;  0.0000;  0.0000;   0.00;   0.00;;KNO000007659549D35D55;;1;     126;;       7;
KNO; 5486376.39950; 5639132.89148;K1016;     0.000;;  0.0000;;  90.0;   0.00;  4.0765;  0.7008;  5.0895;  0.0000;  0.0000;    43.067;  0;  1;   1;;     20240103114940;;   0.00;jp66tyda;       0.00;       0.00;  965.20;  316.85;      0.0000;      0.0000;   0.0;      0.000;;     0;     0;;;;  1000.0000;       0.00; 0;0;;    0.0000;J;   70;  0.0000;  0.0000;   0.00;   0.00;;KNO000008659549D42DD0;;1;     126;;       8;
KNO; 5486383.84861; 5639143.36824;K1017;     0.000;;  0.0000;;  90.0;   0.00;  4.0768;  0.7008;  5.0898;  0.0000;  0.0000;    43.071;  0;  1;   1;;     20240103114941;;   0.00;jp66tyda;       0.00;       0.00;  965.20;  316.85;      0.0000;      0.0000;   0.0;      0.000;;     0;     0;;;;  1000.0000;       0.00; 0;0;;    0.0000;J;   71;  0.0000;  0.0000;   0.00;   0.00;;KNO000009659549D5A418;;1;     126;;       9;
KNO; 5486393.77466; 5639155.03807;K1018;     0.000;;  0.0000;;  90.0;   0.00;  4.0732;  0.7008;  5.0862;  0.0000;  0.0000;    43.032;  0;  1;   1;;     20240103114941;;   0.00;jp66tyda;       0.00;       0.00;  965.20;  316.85;      0.0000;      0.0000;   0.0;      0.000;;     0;     0;;;;  1000.0000;       0.00; 0;0;;    0.0000;J;   72;  0.0000;  0.0000;   0.00;   0.00;;KNO00000A659549D51A98;;1;     126;;      10;
