
REM Leitungsdaten
REM;
REM;
REM FLDNAM LEI;

REM Leitungsdaten
REM;Anfang;Ende;Anf.Nr.;End.Nr.;Parallel;STANET-ID;WD-Zahl;L‰nge;Innendurchm.;Rauhigkeit;Durchfluss;Geschw.;Delta p;Teilnetz;Verlustfaktor;Strassenname;Material;Strassennummer;Baujahr;Reibungsverl./km;Rohrtyp;StrangNo;Druckhˆhendiff.;Nennweite;Gebiet;Letzte ƒnderung;Temp.Soll (ext. Einfluss);Optimieren;Preis konst.;Preis/mm;Kond.abl.;Koordinate x Anfang;Koordinate y Anfang;Koordinate x Ende;Koordinate y Ende;Verlegeart;Freileitung;Textfahne;Letzter Benutzer;W‰rmeverl.leist.;Gef‰lle;Druckstufe;Ergebnisdiagramm;Druckklasse;Einf¸gen Status;Import Status;Rauheitsklasse;Ort;Ortsteil;PLZ;Geocode Qualit‰t;Widerstandszahl;Reynoldszahl;Text Abstand x;Text Abstand y;Reibungsverlust;Routing Mengenanteil;Wanddicke;Aussendurchmessser;Batches (DQ);Layer;Rohrvolumen;Reduziert zu ID;Trassennummer;Verlustleistung;Wiederbeschaf.wert;Sim. Status;Durchm. Alt;Sanierung verboten;Einzug verboten;Erneuerungsart;Erneuerungspreis;Prognostizierte Schadensrate;Eintrittswahrscheinlichkeit;Schadensausmaﬂ;Risiko;Qualit‰ts-Abfallzeit;Qualit‰t-Endwert;In L‰ngsschnitt nicht ausblenden;Hydraulische Weiche;E(t) Verkehrslast;E(t) Max. Druck/Ruhedruck;E(t) Boden/Bettung/GW;E(t) Anzahl Sch‰den;E(t) Weitere Zustandsdaten;SA Gef.Geb‰ude/Infrastr;SA Folgekosten;SA Bruchpotenzial;SA Erosionsradius;SA Druck;SA Menge;SA Besondere Anforderung;SA Tr¸bungsgrad;Brownfield Benutzer 1;Brownfield Benutzer 2;Anlagenklasse;Rehabilitationsjahr;Temperatursonde Name;Temperatursonde No;Fl‰chentyp;EBENE;SMALLWORLD TYP;Smallworld URN;ROHRTYP;SMALLWORLD VERBINDUN;SMALLWORLD INNENBESCH;SMALLWORLD AUSSENSCHU;DRUCKKLASSE;SANIERUNGSNENNWEITE;Aktiv f.Berechnung;Anzahl S‰tze*;Gelˆscht*;Satz No*
REM;;;;;;;W/K*m2;m;mm;mm;t/h;m/s;bar;;;;;;;mbar/km;;;m;;;;C;?;Ä/m;Ä/m/mm;[J/N];;;;;;[J/N];[0-5];;kW;0/00;bar;[+];;[I/U/D/K];[I/U/M];;;;;;;;;;bar;%;mm;mm;;;m3;;;kW;Ä;;mm;[J/N];[J/N];;;#/km/Jahr;;;;;;[J/N];[J/N];S1;S2;S3;S4 [S/m];S5;G1;G2;BP;ER [m]/PW;VS1;VS2;V3;TR [NTU];U1;U2;;;;;1-7;;;;;;;;;mm;;;*;
REM FLDNAM LEI;ANFNAM;ENDNAM;ANFNR;ENDNR;PARALLEL;STANETID;WDZAHL;RORL;DM;RAU;FLUSS;VM;DP;NETZNR;ZETA;STRASSE;MATERIAL;STRANUM;BAUJAHR;DPREL;ROHRTYP;STRANGNR;DPM;DN;GEBIET;LASTMODI;TU;DIASTATUS;CONPRICE;DIAPRICE;CONDIVERS;XRA;YHA;XRB;YHB;VERLEGEART;OVRHEADLIN;TXROTATE;USERNAME;WAERMEMENG;RAISE;PN;SWMMPRINT;PZONE;PASTESTATE;IMEXSTATE;RAUZONE;STRORT;STROTEIL;AREACODE;GEOQUALITY;LAMBDA;RE;FLAGOFFX;FLAGOFFY;PLOSS;PATHPART;WANDDICKE;OUTERDM;BATCHES;LAYER;PIPEVOL;NEWID;TRASSE;MECHANLOSS;WBWERT;CALCBAD;DMOLD;NORESTAUR;NORELINE;RSTAURTYP;BROWNPRICE;BROWNST;VIRTAGE;BROWNRISK;BFRISKALL;QUALDECAY;QUALFINAL;NOHIDECHRT;HYDSWITCH;BFPROBS1;BFPROBS2;BFPROBS3;BFPROBS4;BFPROBS5;BFRISKG1;BFRISKG2;BFRISKBP;BFRISKER;BFRISKVS1;BFRISKVS2;BFRISKV3;BFRISKTR;BFUSERU1;BFUSERU2;ANKLASSE;REHAJAHR;TPROBEID;TPROBENO;GROUNDTYP;TYP;SW_TYP;SWURN;ROHRTYP1;VERBINDART;INBESCH;AUSSCHUTZ;PDRUCK;SW_SAN_DN;ISACTIVE;!RECCOUNT;!DELETED;!RECNO
LEI;K1029;K1070;     21;     62;0;LEI00000165954A11A0BB;   1.58;    12.6;  21.7;   0.0470;    -0.171; -0.1333; -0.0017;   1;         0.000;Albert-Schweitzer-Straﬂe;;1704282982_0;   0;       -134.84;KMR 20/125-2v;;    -0.017;20;;     20240104090245;   0.0;?;   0.00000;   0.00000;; 5486560.27844; 5638971.06511; 5486560.31123; 5638983.66070;;;0;jp66tyda;      0.000;   0.00000;;;;;;  0;Zittau;;02763;; 0.0341;      8810;     0;     0;     -0.0017;  0.0;   2.6;  26.9;     1;$PIPE_0;     0.005;;    0;      0.0000;       0.00;0;   0.0;;;;      0.00;  0.00000;   0.000;  0.00;  0.00;    0.00;      0.0000;;;;;;;;;;;;;;;;;;;   0;;      0;0;;;;;;;;;     0;1;     124;;       1;
LEI;K1028;K1070;     20;     62;0;LEI00000265954A126864;   1.58;    36.6;  21.7;   0.0470;    -0.086; -0.0666; -0.0014;   1;         0.000;Albert-Schweitzer-Straﬂe;;1704282982_0;   0;        -39.19;KMR 20/125-2v;;    -0.015;20;;     20240104090245;   0.0;?;   0.00000;   0.00000;; 5486559.16954; 5639020.25111; 5486560.31123; 5638983.66070;;;0;jp66tyda;      0.000;   0.00000;;;;;;  0;Zittau;;02763;; 0.0397;      4405;     0;     0;     -0.0014;  0.0;   2.6;  26.9;     1;$PIPE_0;     0.014;;    0;      0.0000;       0.00;0;   0.0;;;;      0.00;  0.00000;   0.000;  0.00;  0.00;    0.00;      0.0000;;;;;;;;;;;;;;;;;;;   0;;      0;0;;;;;;;;;     0;1;     124;;       2;
LEI;K1030;K1069;     22;     61;0;LEI00000365954A14A51E;   1.58;    11.1;  21.7;   0.0470;    -0.086; -0.0666; -0.0004;   1;         0.000;Albert-Schweitzer-Straﬂe;;1704282982_0;   0;        -39.19;KMR 20/125-2v;;    -0.004;20;;     20240104090245;   0.0;?;   0.00000;   0.00000;; 5486545.74903; 5638972.90232; 5486545.77795; 5638983.99843;;;0;jp66tyda;      0.000;   0.00000;;;;;;  0;Zittau;;02763;; 0.0397;      4405;     0;     0;     -0.0004;  0.0;   2.6;  26.9;     1;$PIPE_0;     0.004;;    0;      0.0000;       0.00;0;   0.0;;;;      0.00;  0.00000;   0.000;  0.00;  0.00;    0.00;      0.0000;;;;;;;;;;;;;;;;;;;   0;;      0;0;;;;;;;;;     0;1;     124;;       3;
LEI;K1027;K1069;     19;     61;0;LEI00000465954A15130C;   1.58;    40.2;  21.7;   0.0470;    -0.171; -0.1333; -0.0054;   1;         0.000;Albert-Schweitzer-Straﬂe;;1704282982_0;   0;       -134.84;KMR 20/125-2v;;    -0.055;20;;     20240104090245;   0.0;?;   0.00000;   0.00000;; 5486538.76875; 5639023.60311; 5486545.77795; 5638983.99843;;;0;jp66tyda;      0.000;   0.00000;;;;;;  0;Zittau;;02763;; 0.0341;      8810;     0;     0;     -0.0054;  0.0;   2.6;  26.9;     1;$PIPE_0;     0.015;;    0;      0.0000;       0.00;0;   0.0;;;;      0.00;  0.00000;   0.000;  0.00;  0.00;    0.00;      0.0000;;;;;;;;;;;;;;;;;;;   0;;      0;0;;;;;;;;;     0;1;     124;;       4;
LEI;K1031;K1068;     23;     60;0;LEI00000565954A16591F;   1.58;    13.1;  21.7;   0.0470;    -0.171; -0.1333; -0.0018;   1;         0.000;Albert-Schweitzer-Straﬂe;;1704282982_0;   0;       -134.84;KMR 20/125-2v;;    -0.018;20;;     20240104090245;   0.0;?;   0.00000;   0.00000;; 5486526.57797; 5638973.55208; 5486530.32166; 5638986.13800;;;0;jp66tyda;      0.000;   0.00000;;;;;;  0;Zittau;;02763;; 0.0341;      8810;     0;     0;     -0.0018;  0.0;   2.6;  26.9;     1;$PIPE_0;     0.005;;    0;      0.0000;       0.00;0;   0.0;;;;      0.00;  0.00000;   0.000;  0.00;  0.00;    0.00;      0.0000;;;;;;;;;;;;;;;;;;;   0;;      0;0;;;;;;;;;     0;1;     124;;       5;
LEI;K1026;K1068;     18;     60;0;LEI00000665954A180FF6;   1.58;    39.7;  21.7;   0.0470;    -0.086; -0.0666; -0.0016;   1;         0.000;Albert-Schweitzer-Straﬂe;;1704282982_0;   0;        -39.19;KMR 20/125-2v;;    -0.016;20;;     20240104090245;   0.0;?;   0.00000;   0.00000;; 5486524.54874; 5639025.43957; 5486530.32166; 5638986.13800;;;0;jp66tyda;      0.000;   0.00000;;;;;;  0;Zittau;;02763;; 0.0397;      4405;     0;     0;     -0.0016;  0.0;   2.6;  26.9;     1;$PIPE_0;     0.015;;    0;      0.0000;       0.00;0;   0.0;;;;      0.00;  0.00000;   0.000;  0.00;  0.00;    0.00;      0.0000;;;;;;;;;;;;;;;;;;;   0;;      0;0;;;;;;;;;     0;1;     124;;       6;
LEI;K1032;K1067;     24;     59;0;LEI00000765954A195D1A;   1.58;    13.5;  21.7;   0.0470;    -0.086; -0.0666; -0.0005;   1;         0.000;Albert-Schweitzer-Straﬂe;;1704282982_0;   0;        -39.19;KMR 20/125-2v;;    -0.005;20;;     20240104090245;   0.0;?;   0.00000;   0.00000;; 5486509.88629; 5638976.29473; 5486517.95461; 5638987.06995;;;0;jp66tyda;      0.000;   0.00000;;;;;;  0;Zittau;;02763;; 0.0397;      4405;     0;     0;     -0.0005;  0.0;   2.6;  26.9;     1;$PIPE_0;     0.005;;    0;      0.0000;       0.00;0;   0.0;;;;      0.00;  0.00000;   0.000;  0.00;  0.00;    0.00;      0.0000;;;;;;;;;;;;;;;;;;;   0;;      0;0;;;;;;;;;     0;1;     124;;       7;
LEI;K1033;K1066;     25;     58;0;LEI00000865954A1B8602;   1.58;    11.6;  21.7;   0.0470;    -0.171; -0.1333; -0.0016;   1;         0.000;Albert-Schweitzer-Straﬂe;;1704282982_0;   0;       -134.84;KMR 20/125-2v;;    -0.016;20;;     20240104090245;   0.0;?;   0.00000;   0.00000;; 5486499.37619; 5638977.82167; 5486504.35140; 5638988.30507;;;0;jp66tyda;      0.000;   0.00000;;;;;;  0;Zittau;;02763;; 0.0341;      8810;     0;     0;     -0.0016;  0.0;   2.6;  26.9;     1;$PIPE_0;     0.004;;    0;      0.0000;       0.00;0;   0.0;;;;      0.00;  0.00000;   0.000;  0.00;  0.00;    0.00;      0.0000;;;;;;;;;;;;;;;;;;;   0;;      0;0;;;;;;;;;     0;1;     124;;       8;
LEI;K1034;K1065;     26;     57;0;LEI00000965954A1D3801;   1.58;    14.2;  21.7;   0.0470;    -0.086; -0.0666; -0.0006;   1;         0.000;Albert-Schweitzer-Straﬂe;;1704282982_0;   0;        -39.19;KMR 20/125-2v;;    -0.006;20;;     20240104090245;   0.0;?;   0.00000;   0.00000;; 5486481.75840; 5638981.16662; 5486491.98906; 5638991.03646;;;0;jp66tyda;      0.000;   0.00000;;;;;;  0;Zittau;;02763;; 0.0397;      4405;     0;     0;     -0.0006;  0.0;   2.6;  26.9;     1;$PIPE_0;     0.005;;    0;      0.0000;       0.00;0;   0.0;;;;      0.00;  0.00000;   0.000;  0.00;  0.00;    0.00;      0.0000;;;;;;;;;;;;;;;;;;;   0;;      0;0;;;;;;;;;     0;1;     124;;       9;
LEI;K1035;K1064;     27;     56;0;LEI00000A65954A1E4A52;   1.58;    17.6;  21.7;   0.0470;    -0.171; -0.1333; -0.0024;   1;         0.000;Albert-Schweitzer-Straﬂe;;1704282982_0;   0;       -134.84;KMR 20/125-2v;;    -0.024;20;;     20240104090245;   0.0;?;   0.00000;   0.00000;; 5486466.94418; 5638992.30160; 5486483.35011; 5638998.55648;;;0;jp66tyda;      0.000;   0.00000;;;;;;  0;Zittau;;02763;; 0.0341;      8810;     0;     0;     -0.0024;  0.0;   2.6;  26.9;     1;$PIPE_0;     0.007;;    0;      0.0000;       0.00;0;   0.0;;;;      0.00;  0.00000;   0.000;  0.00;  0.00;    0.00;      0.0000;;;;;;;;;;;;;;;;;;;   0;;      0;0;;;;;;;;;     0;1;     124;;      10;
