Land;Bundesland;Stadt;Adresse;Wärmebedarf;Gebäudetyp;WW_Anteil;Typ_Heizflächen;VLT_max;Steigung_Heizkurve;RLT_max
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 1;25557;HMF;0.2;HK;70;1.5;55
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 2;21531;HMF;0.3;HK;70;1.5;55
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 3;27331;HMF;0.4;HK;70;1.5;55
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 4;26698;HMF;0.2;HK;70;1.5;55
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 5;31157;HMF;0.3;HK;70;1.5;55
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 6;38115;HMF;0.4;HK;70;1.5;55
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 7;35157;HMF;0.2;HK;70;1.5;55
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 8;31204;HMF;0.3;HK;70;1.5;55
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 10;23511;HMF;0.4;HK;70;1.5;55
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 12;38188;HMF;0.2;HK;70;1.5;55
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 14;28694;HMF;0.3;HK;70;1.5;55
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 16;23655;HMF;0.4;HK;70;1.5;55
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 18;25190;HMF;0.2;HK;70;1.5;55
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 20;20334;HMF;0.3;HK;70;1.5;55
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 1;32674;HMF;0.4;HK;70;1.5;55
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 2;32624;HMF;0.2;HK;70;1.5;55
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 3;34060;HMF;0.3;HK;70;1.5;55
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 4;30067;HMF;0.4;HK;70;1.5;55
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 5;22440;HMF;0.2;HK;70;1.5;55
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 6;32726;HMF;0.3;HK;70;1.5;55
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 7;20476;HMF;0.4;HK;70;1.5;55
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 8;22437;HMF;0.2;HK;70;1.5;55
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 9;25617;HMF;0.3;HK;70;1.5;55
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 10;37383;HMF;0.4;HK;70;1.5;55
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 11;24665;HMF;0.2;HK;70;1.5;55
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 12;25257;HMF;0.3;HK;70;1.5;55
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 13;24993;HMF;0.4;HK;70;1.5;55
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 14;22080;HMF;0.2;HK;70;1.5;55
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 15;25145;HMF;0.3;HK;70;1.5;55
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 16;28435;HMF;0.4;HK;70;1.5;55
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 17;25286;HMF;0.2;HK;70;1.5;55
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 18;27714;HMF;0.3;HK;70;1.5;55
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 19;33899;HMF;0.4;HK;70;1.5;55
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 20;24900;HMF;0.2;HK;70;1.5;55
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 22;31863;HMF;0.3;HK;70;1.5;55
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 24;37737;HMF;0.4;HK;70;1.5;55
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 26;29653;HMF;0.2;HK;70;1.5;55
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 28;20926;HMF;0.3;HK;70;1.5;55
