Land;Bundesland;Stadt;Adresse;Wärmebedarf;Gebäudetyp;WW_Anteil;Typ_Heizflächen;VLT_max;Steigung_Heizkurve;RLT_max;UTM_X;UTM_Y
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 1;25557;HMF;0.2;HK;70;1.5;55;486229.8294;5637230.27
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 2;21531;HMF;0.3;HK;70;1.5;55;486263.1295;5637343.158
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 3;27331;HMF;0.4;HK;70;1.5;55;486221.2976;5637218.272
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 4;26698;HMF;0.2;HK;70;1.5;55;486254.208;5637331.238
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 5;31157;HMF;0.3;HK;70;1.5;55;486212.781;5637206.301
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 6;38115;HMF;0.4;HK;70;1.5;55;486244.4244;5637318.165
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 7;35157;HMF;0.2;HK;70;1.5;55;486204.2776;5637194.353
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 8;31204;HMF;0.3;HK;70;1.5;55;486234.8714;5637305.402
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 10;23511;HMF;0.4;HK;70;1.5;55;486225.6852;5637293.122
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 12;38188;HMF;0.2;HK;70;1.5;55;486216.2114;5637280.459
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 14;28694;HMF;0.3;HK;70;1.5;55;486190.378;5637262.635
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 16;23655;HMF;0.4;HK;70;1.5;55;486180.1077;5637249.073
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 18;25190;HMF;0.2;HK;70;1.5;55;486170.1462;5637235.928
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 20;20334;HMF;0.3;HK;70;1.5;55;486160.9227;5637223.433
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 1;32674;HMF;0.4;HK;70;1.5;55;486286.0191;5637283.093
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 2;32624;HMF;0.2;HK;70;1.5;55;486253.9238;5637243.573
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 3;34060;HMF;0.3;HK;70;1.5;55;486299.5187;5637272.91
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 4;30067;HMF;0.4;HK;70;1.5;55;486265.6472;5637234.74
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 5;22440;HMF;0.2;HK;70;1.5;55;486312.7936;5637262.894
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 6;32726;HMF;0.3;HK;70;1.5;55;486277.3922;5637225.885
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 7;20476;HMF;0.4;HK;70;1.5;55;486326.3073;5637252.695
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 8;22437;HMF;0.2;HK;70;1.5;55;486289.1542;5637217.025
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 9;25617;HMF;0.3;HK;70;1.5;55;486339.8492;5637242.473
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 10;37383;HMF;0.4;HK;70;1.5;55;486301.0916;5637208.036
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 11;24665;HMF;0.2;HK;70;1.5;55;486353.1734;5637232.419
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 12;25257;HMF;0.3;HK;70;1.5;55;486311.5608;5637203.449
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 13;24993;HMF;0.4;HK;70;1.5;55;486366.5574;5637222.325
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 14;22080;HMF;0.2;HK;70;1.5;55;486322.7841;5637194.99
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 15;25145;HMF;0.3;HK;70;1.5;55;486390.3814;5637214.54
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 16;28435;HMF;0.4;HK;70;1.5;55;486335.3296;5637182.236
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 17;25286;HMF;0.2;HK;70;1.5;55;486407.0143;5637212.984
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 18;27714;HMF;0.3;HK;70;1.5;55;486346.8672;5637173.543
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 19;33899;HMF;0.4;HK;70;1.5;55;486423.721;5637211.423
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 20;24900;HMF;0.2;HK;70;1.5;55;486369.0365;5637167.185
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 22;31863;HMF;0.3;HK;70;1.5;55;486383.6054;5637165.712
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 24;37737;HMF;0.4;HK;70;1.5;55;486397.6088;5637164.297
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 26;29653;HMF;0.2;HK;70;1.5;55;486411.7317;5637162.87
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 28;20926;HMF;0.3;HK;70;1.5;55;486426.1213;5637161.414
