Land;Bundesland;Stadt;Adresse;Wärmebedarf;Gebäudetyp;WW_Anteil;Typ_Heizflächen;VLT_max;Steigung_Heizkurve;RLT_max;UTM_X;UTM_Y
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 1;33690;HMF;0.2;HK;70;1.5;55;486229.8294;5637230.27
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 2;22309;HMF;0.3;HK;70;1.5;55;486263.1295;5637343.158
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 3;20247;HMF;0.4;HK;70;1.5;55;486221.2976;5637218.272
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 4;34757;HMF;0.2;HK;70;1.5;55;486254.208;5637331.238
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 5;23551;HMF;0.3;HK;70;1.5;55;486212.781;5637206.301
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 6;36856;HMF;0.4;HK;70;1.5;55;486244.4244;5637318.165
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 7;23631;HMF;0.2;HK;70;1.5;55;486204.2776;5637194.353
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 8;37231;HMF;0.3;HK;70;1.5;55;486234.8714;5637305.402
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 10;27769;HMF;0.4;HK;70;1.5;55;486225.6852;5637293.122
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 12;31010;HMF;0.2;HK;70;1.5;55;486216.2114;5637280.459
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 14;27437;HMF;0.3;HK;70;1.5;55;486190.378;5637262.635
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 16;37351;HMF;0.4;HK;70;1.5;55;486180.1077;5637249.073
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 18;27418;HMF;0.2;HK;70;1.5;55;486170.1462;5637235.928
Deutschland;Sachsen;Zittau;Lisa-Tetzner-Straße 20;33790;HMF;0.3;HK;70;1.5;55;486160.9227;5637223.433
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 1;21605;HMF;0.4;HK;70;1.5;55;486286.0191;5637283.093
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 2;38428;HMF;0.2;HK;70;1.5;55;486253.9238;5637243.573
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 3;29783;HMF;0.3;HK;70;1.5;55;486299.5187;5637272.91
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 4;21178;HMF;0.4;HK;70;1.5;55;486265.6472;5637234.74
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 5;38057;HMF;0.2;HK;70;1.5;55;486312.7936;5637262.894
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 6;20452;HMF;0.3;HK;70;1.5;55;486277.3922;5637225.885
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 7;37652;HMF;0.4;HK;70;1.5;55;486326.3073;5637252.695
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 8;22933;HMF;0.2;HK;70;1.5;55;486289.1542;5637217.025
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 9;37846;HMF;0.3;HK;70;1.5;55;486339.8492;5637242.473
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 10;25885;HMF;0.4;HK;70;1.5;55;486301.0916;5637208.036
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 11;31411;HMF;0.2;HK;70;1.5;55;486353.1734;5637232.419
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 12;36978;HMF;0.3;HK;70;1.5;55;486311.5608;5637203.449
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 13;33436;HMF;0.4;HK;70;1.5;55;486366.5574;5637222.325
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 14;25098;HMF;0.2;HK;70;1.5;55;486322.7841;5637194.99
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 15;31900;HMF;0.3;HK;70;1.5;55;486390.3814;5637214.54
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 16;27362;HMF;0.4;HK;70;1.5;55;486335.3296;5637182.236
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 17;21689;HMF;0.2;HK;70;1.5;55;486407.0143;5637212.984
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 18;29751;HMF;0.3;HK;70;1.5;55;486346.8672;5637173.543
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 19;21223;HMF;0.4;HK;70;1.5;55;486423.721;5637211.423
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 20;28944;HMF;0.2;HK;70;1.5;55;486369.0365;5637167.185
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 22;30359;HMF;0.3;HK;70;1.5;55;486383.6054;5637165.712
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 24;29557;HMF;0.4;HK;70;1.5;55;486397.6088;5637164.297
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 26;34496;HMF;0.2;HK;70;1.5;55;486411.7317;5637162.87
Deutschland;Sachsen;Zittau;Albert-Schweitzer-Straße 28;20926;HMF;0.3;HK;70;1.5;55;486426.1213;5637161.414
