;waerme_ges_W_1;waerme_ges_W_2;waerme_ges_W_3;waerme_ges_W_4;waerme_ges_W_5;waerme_ges_W_6;waerme_ges_W_7;waerme_ges_W_8
2021-01-01T00:00:00;1788.0251039924583;1932.9496486149098;1118.6946104780016;1427.393543069488;844.6170722081475;1482.4076848667214;1758.0259798694499;1758.0259798694499
2021-01-01T01:00:00;1876.2353669655288;2028.3096054954392;1173.8841855888202;1497.812442400978;886.285331722327;1555.5406467157545;1844.7562688634393;1844.7562688634393
2021-01-01T02:00:00;1680.1442597292264;1816.3247536146807;1051.197952415642;1341.2714745490944;793.6569360078796;1392.966327344037;1651.9551386259302;1651.9551386259302
2021-01-01T03:00:00;1866.8611055694355;2018.1755334227694;1168.019091369726;1490.3289008343909;881.8571717391126;1547.7686769025295;1835.539286932022;1835.539286932022
2021-01-01T04:00:00;2712.3887482137416;2932.235607911745;1697.0313601148887;2165.319813938673;1281.26268366771;2248.774872187162;2666.8808375329427;2666.8808375329427
2021-01-01T05:00:00;3887.398627468261;4202.483395905694;2432.1872682983694;3103.338810957092;1836.3071300882941;3222.946695005465;3822.1766383135027;3822.1766383135027
2021-01-01T06:00:00;3872.338338667981;4186.2024276577995;2422.764657913596;3091.3160720468377;1829.1930370005075;3210.4605795678253;3807.3690279974558;3807.3690279974558
2021-01-01T07:00:00;3770.6045510579256;4076.2228258199766;2359.1139632735926;3010.101243897976;1781.136612264642;3126.1155956931575;3707.3421093319143;3707.3421093319143
2021-01-01T08:00:00;3725.423684657084;4027.3799210762895;2330.846132119271;2974.0330271672133;1759.794333001282;3088.6572493802373;3662.9192783837734;3662.9192783837734
2021-01-01T09:00:00;3647.3560651617545;3942.9846979137324;2282.002396655341;2911.7110744487513;1722.917197403367;3023.9333040504316;3586.1614616434485;3586.1614616434485
2021-01-01T10:00:00;3367.3576346096042;3640.2915943661274;2106.8187627669936;2688.186275525451;1590.6531401998218;2791.793484383292;3310.860788216535;3310.860788216535
2021-01-01T11:00:00;3242.5723845501393;3505.392143169282;2028.745705293153;2588.5692959833423;1531.7077974724461;2688.337099328562;3188.1691598835746;3188.1691598835746
2021-01-01T12:00:00;3160.201825397586;3416.345214793039;1977.2097954335734;2522.8122750048083;1492.7980638494496;2620.045692445145;3107.180597338665;3107.180597338665
2021-01-01T13:00:00;3069.071710514257;3317.8287436603664;1920.1933876971354;2450.0624364968407;1449.750541389679;2544.4919531133046;3017.5794451201364;3017.5794451201364
2021-01-01T14:00:00;3418.685557663621;3695.7797922722198;2138.932557343672;2729.161732627746;1614.8991309275848;2834.348204344227;3361.3275417426535;3361.3275417426535
2021-01-01T15:00:00;3453.109074921404;3732.993433981695;2160.4699525088695;2756.6422787083275;1631.15991512824;2862.887896773118;3395.173508179333;3395.173508179333
2021-01-01T16:00:00;3603.250933675218;3895.304719473467;2254.407609099932;2876.5016247830067;1702.0830676462772;2987.366823125915;3542.796317146454;3542.796317146454
2021-01-01T17:00:00;3729.880300730637;4032.197758619036;2333.6344556004797;2977.5907764365743;1761.899523812974;3092.3521202750494;3667.301122252808;3667.301122252808
2021-01-01T18:00:00;3822.393503360929;4132.209420713249;2391.5162051069474;3051.4447440281365;1805.600381352235;3169.052543677693;3758.2621570513816;3758.2621570513816
2021-01-01T19:00:00;3825.774384520176;4135.864331952572;2393.6314849892433;3054.1437262324803;1807.1974226576563;3171.8555491841025;3761.58631446927;3761.58631446927
2021-01-01T20:00:00;3749.550882020798;4053.462696738735;2345.9415385520206;2993.2939456254776;1771.1914004990626;3108.6605159487012;3686.641674502338;3686.641674502338
2021-01-01T21:00:00;3417.456146332985;3694.4507336397382;2138.163364659201;2728.180284553439;1614.3183886347044;2833.328929614624;3360.1187572270583;3360.1187572270583
2021-01-01T22:00:00;2917.7004404298073;3154.188399536113;1825.4865384216018;2329.221642347856;1378.2466465787616;2418.9937520309045;2868.7478516374194;2868.7478516374194
2021-01-01T23:00:00;2139.3293917214446;2312.728152846425;1338.4914200656863;1707.8423303025645;1010.5641823987642;1773.665438850849;2103.4361552009113;2103.4361552009113
