Land;Bundesland;Stadt;Adresse;Wärmebedarf;UTM_X;UTM_Y
;;;;;486212.10101693054;5638443.549523592
;;;;;486477.66716446244;5638278.674946018
;;;;;486382.5091177549;5638329.491950343
;;;;;486404.1932479347;5638319.936052566
;;;;;486426.92867661314;5638325.308899067
;;;;;486414.13576261664;5638320.473983915
;;;;;486395.09541998134;5638322.889979366
;;;;;486523.66680619086;5638497.003204502
;;;;;486552.51359621016;5638403.121606119
;;;;;486555.41931805166;5638440.222157374
;;;;;486530.6657254228;5638374.1178655345
;;;;;486490.17228385346;5638154.464162974
;;;;;486518.5156067341;5638013.0178337945
;;;;;486136.7228268656;5638374.184090652
;;;;;486173.86602133216;5638408.965558081
;;;;;486149.31946342275;5638411.222201301
;;;;;486315.9120655947;5638319.7743374035
;;;;;486558.946343746;5638214.263005598
;;;;;486603.39125296846;5638340.3044964075
;;;;;486705.1906075346;5638308.265371561
;;;;;486361.9980281838;5638407.842500942
;;;;;486328.827424563;5638240.209575094
;;;;;486666.2791486414;5638269.601393035
;;;;;486478.753403066;5638283.340425653
;;;;;486386.3156424397;5638365.653779844
;;;;;486177.425066335;5638566.235108407
;;;;;486454.1146075895;5638471.595316534
;;;;;486526.0797751312;5638490.372061116
;;;;;486495.9799003965;5638463.425959812
;;;;;486392.08123781753;5638495.040742231
;;;;;486665.7727072481;5638233.977139215
;;;;;486613.8312952212;5638515.849528639
;;;;;486269.4495611243;5638588.559008119
;;;;;486174.4956299009;5638168.536787266
;;;;;486174.15215039207;5638265.806473671
;;;;;486645.52456978295;5638417.517799478
;;;;;486571.0791090581;5637977.244514257
;;;;;486494.86651140335;5637954.89929153
;;;;;486524.6684502727;5637942.1409440115
;;;;;486570.3429301192;5637934.598878877
;;;;;486306.825522381;5638410.429521679
;;;;;486211.8098942361;5638443.255876619
;;;;;486284.7788762397;5638408.741828885
;;;;;486259.1881940836;5638420.0763249835
;;;;;486224.1516944658;5638431.390502238
;;;;;486200.3461246981;5638436.12277349
;;;;;486192.16664492636;5638440.666089983
;;;;;486178.8125087478;5638447.52976796
;;;;;486161.6290888448;5638448.693733309
;;;;;486151.3758942323;5638460.160099555
;;;;;486139.143314955;5638456.334012164
;;;;;486132.9411550923;5638464.40163215
;;;;;486124.19129602204;5638461.200137195
;;;;;486112.99627277855;5638471.193810133
;;;;;486105.66891664034;5638469.847209235
;;;;;486096.4477582014;5638474.104651049
;;;;;486295.0147447184;5638412.3196150875
;;;;;486272.1102354373;5638411.5553748235
;;;;;486242.8683275877;5638431.004891341
;;;;;486119.02492492594;5638466.507184885
;;;;;486212.392139625;5638443.843170566
;;;;;486455.7342549701;5638528.274337189
;;;;;486457.8029267007;5638544.899885241
;;;;;486431.38941124215;5638553.587039739
;;;;;486252.3538015179;5638435.972099672
;;;;;486206.6186914419;5638478.666644577
;;;;;486251.1028908169;5638486.3787258165
;;;;;486196.59870295716;5638480.583714429
;;;;;486241.939580992;5638489.754957944
;;;;;486176.515486648;5638491.352121653
;;;;;486233.5880512478;5638492.382408755
;;;;;486124.9021801077;5638507.120821277
;;;;;486155.80442575255;5638497.879288206
;;;;;486225.15083035565;5638493.758279832
;;;;;486217.08122627344;5638497.753329113
;;;;;486208.43933882803;5638502.212021533
;;;;;486199.2532588623;5638507.340931068
;;;;;486192.83870129206;5638507.610971305
;;;;;486183.09553884977;5638512.522387717
;;;;;486172.98275283986;5638516.451985047
;;;;;486166.209431683;5638519.408949599
;;;;;486256.02749650215;5638452.951333169
;;;;;486215.060535515;5638466.325464729
;;;;;486377.17470176006;5638461.430960024
;;;;;486271.9024873968;5638478.530689476
;;;;;486266.1634181538;5638478.5891127065
;;;;;486387.99025951023;5638436.7409209395
;;;;;486387.79813360015;5638457.099559697
;;;;;486398.3102464915;5638435.39741854
;;;;;486299.7017252142;5638469.2362850895
;;;;;486263.8735815406;5638490.252895892
;;;;;486395.09650618926;5638461.377787633
;;;;;486404.28285615717;5638457.3677364895
;;;;;486280.6715034524;5638475.1294288365
;;;;;486250.0513047735;5638543.096757993
;;;;;486341.33696585364;5638107.667867755
;;;;;486704.4427022892;5638249.286925239
;;;;;486381.29222395347;5638113.53449448
;;;;;486128.4040073417;5638356.305185424
;;;;;486714.43303952675;5638264.551688887
;;;;;486058.0662375332;5638300.886163019
;;;;;486034.28435907536;5638287.883783343
;;;;;486121.9729099294;5638344.004733335
;;;;;486150.11779871926;5638306.045490202
;;;;;486181.00136539614;5638291.559404507
;;;;;486102.56516507425;5638331.929512882
;;;;;486691.9446387862;5638192.86307994
;;;;;486703.6968782402;5638410.265428204
;;;;;486695.7942266495;5638217.034436573
;;;;;486047.947943859;5638236.953396338
;;;;;486190.9283849642;5638092.934726362
;;;;;486711.2637673238;5638235.291336286
;;;;;486706.6091341235;5638310.551125741
;;;;;486213.1636741079;5638064.055689606
;;;;;486177.63729899947;5638070.025327586
;;;;;486664.02712856716;5638382.640704717
;;;;;486701.2867875756;5638321.376407022
;;;;;486328.2634000126;5638190.703750079
;;;;;486338.00947172823;5638191.367548531
;;;;;486271.9580525877;5638316.3108836375
;;;;;486348.19053196476;5638205.307795157
;;;;;486208.44012334826;5638186.622556748
;;;;;486205.30315336335;5638174.655005879
;;;;;486356.2918161506;5638463.037577524
;;;;;486192.9719701503;5638131.924274214
;;;;;486324.5952789395;5638129.755031013
;;;;;486317.0754923046;5638293.04316102
;;;;;486220.56234926614;5638557.408857131
;;;;;486594.97470558825;5638453.913928984
;;;;;486290.848525733;5638446.923843707
;;;;;486801.18315847276;5638259.761425396
;;;;;486762.4727792436;5638269.844544669
;;;;;486300.9762522289;5638439.529949979
;;;;;486541.14857421094;5638402.7147219945
;;;;;486552.06811241497;5638404.5080250455
;;;;;486172.0829958354;5638540.73782588
;;;;;486170.37652265356;5638533.711196476
;;;;;486547.93951999024;5638451.230802821
;;;;;486525.2641223449;5638395.946623065
;;;;;486558.51572205854;5638475.454370484
;;;;;486575.2250762289;5638409.669326942
;;;;;486609.05397022894;5638456.768861934
;;;;;486322.51188140566;5638439.24825566
;;;;;486418.437867689;5638404.452083527
;;;;;486450.87970626506;5638398.0639914125
;;;;;486369.22258856276;5638442.60302042
;;;;;486459.859472768;5638395.851470881
;;;;;486442.1267621089;5638398.135028936
;;;;;486257.24873347953;5638126.094796942
;;;;;486267.68573972106;5638228.410473875
;;;;;486255.9435688203;5638224.633478618
;;;;;486146.7215422027;5638331.422303339
;;;;;486231.12105042516;5638245.249448351
;;;;;486153.6838419977;5638374.505802332
;;;;;486273.22601982526;5638119.59044774
;;;;;486205.35556436406;5638328.846748875
;;;;;486114.27951602655;5638297.380924593
;;;;;486247.81063044653;5638213.734932394
;;;;;486183.57715333026;5638367.571333486
;;;;;486207.4690739899;5638353.887501137
;;;;;486143.46858490893;5638375.422672432
;;;;;486280.2069996233;5638238.780980737
;;;;;486291.66559825925;5638251.412966474
;;;;;486171.58648709;5638364.462708976
;;;;;486136.1404955459;5638374.697177922
;;;;;486160.39425592887;5638126.106150156
;;;;;486142.919278338;5638126.75695179
;;;;;486731.04491676606;5638193.712214027
;;;;;486647.06904891087;5638020.535188357
;;;;;486701.6079349052;5638125.481459722
;;;;;486606.0786790378;5638389.292555498
;;;;;486594.52775920386;5638405.189884306
;;;;;486556.06705430197;5638412.447054506
;;;;;486607.11601091886;5638311.610232429
;;;;;486614.2742383913;5638325.550450842
;;;;;486621.06214493193;5638336.342751242
;;;;;486604.56148283853;5638341.852757293
;;;;;486616.6617538273;5638249.390967189
;;;;;486625.087272263;5638272.5604535695
;;;;;486629.1019804931;5638242.7359559005
;;;;;486629.7840446325;5638259.535028048
;;;;;486706.4834581382;5638189.346793235
;;;;;486695.7255673902;5638202.436213065
;;;;;486692.5732420219;5638211.552999623
;;;;;486727.02728706977;5638275.047163218
;;;;;486712.5075906266;5638276.132786173
;;;;;486705.2815971015;5638291.7701582825
;;;;;486692.89720673603;5638355.037852635
;;;;;486708.9729576992;5638330.176082289
;;;;;486689.34191958356;5638324.583687662
;;;;;486686.09511127236;5638333.692074108
;;;;;486690.0563896725;5638343.590055753
;;;;;486681.6671867878;5638348.419214926
;;;;;486680.85048989253;5638365.880086902
;;;;;486580.69386722916;5638326.809380636
;;;;;486392.5533305928;5638319.836103859
;;;;;486544.78276472574;5638269.71462239
;;;;;486586.92970654217;5638329.632636356
;;;;;486381.4611482572;5638328.110233827
;;;;;486550.20700972556;5638281.365707852
;;;;;486591.60515421093;5638337.024170084
;;;;;486367.8340488908;5638335.6021092
;;;;;486538.6146851733;5638306.174419148
;;;;;486550.21873338625;5638314.978985259
;;;;;486427.6392420171;5638326.181658408
;;;;;486561.7574335085;5638319.574597423
;;;;;486566.2768416077;5638324.926565277
;;;;;486413.59185856645;5638316.872449407
;;;;;486572.1776059318;5638327.802564742
;;;;;486403.8036380293;5638320.396180851
;;;;;486546.02668314613;5638261.237775689
;;;;;486340.5930257503;5638268.6686748015
;;;;;486324.5913964229;5638262.472342384
;;;;;486535.1617131964;5638335.447477697
;;;;;486535.15315560077;5638355.988175829
;;;;;486544.0991857498;5638342.442768613
;;;;;486527.29401726526;5638365.171639827
;;;;;486528.9232274153;5638374.336849378
;;;;;486527.42504263844;5638383.747048808
;;;;;486556.1138745863;5638272.087243077
;;;;;486549.2932973816;5638256.361825265
;;;;;486588.5227444758;5638213.066167413
;;;;;486574.0806212143;5638248.743851941
;;;;;486590.671045771;5638238.986658591
;;;;;486575.81353704835;5638238.972094565
;;;;;486568.0347212182;5638194.325915962
;;;;;486568.0943163469;5638234.453939759
;;;;;486559.04693588155;5638222.219273297
;;;;;486582.9332843361;5638232.958030499
;;;;;486562.8824337315;5638251.55287972
;;;;;486563.2323673291;5638256.247750067
;;;;;486555.266457421;5638239.04997292
;;;;;486554.0163855741;5638224.789953797
;;;;;486556.8795430873;5638213.565005042
;;;;;486555.0690786806;5638203.561472736
;;;;;486556.0262269796;5638196.3586405935
;;;;;486549.27058480564;5638250.179560875
;;;;;486580.63309536426;5638198.074223756
;;;;;486508.6289772709;5638327.033191619
;;;;;486503.94642633136;5638378.212376929
;;;;;486442.33981444465;5638377.6083572395
;;;;;486436.3420971632;5638327.142090687
;;;;;486505.74140914186;5638338.2721448075
;;;;;486442.7760980795;5638348.7557475595
;;;;;486505.493540555;5638354.522245115
;;;;;486503.3614655031;5638364.87794967
;;;;;486478.03134773794;5638314.009434453
;;;;;486464.27998107515;5638361.192444296
;;;;;486470.6068963197;5638334.570338754
;;;;;486435.2996527523;5638339.91985539
;;;;;486495.0783408725;5638322.086551772
;;;;;486470.08581446356;5638344.884178966
;;;;;486499.7633602964;5638395.612531916
;;;;;486465.50929026987;5638379.929494235
;;;;;486475.6925738894;5638321.499460747
;;;;;486461.6194712645;5638373.447532339
;;;;;486472.7848097944;5638384.716950815
;;;;;486483.075584429;5638390.658017394
;;;;;486443.3104851893;5638359.4965069145
;;;;;486233.13781647116;5638344.547875499
;;;;;486323.1475019104;5638360.718557788
;;;;;486286.569758235;5638376.766396248
;;;;;486175.24653242104;5638411.237826767
;;;;;486279.9303875382;5638361.437996296
;;;;;486334.5817915678;5638330.779930441
;;;;;486138.26882451796;5638350.997286759
;;;;;486307.43348612526;5638368.074609935
;;;;;486223.75252729346;5638302.023933459
;;;;;486169.0494922064;5638418.3342202315
;;;;;486167.37324278324;5638324.995342509
;;;;;486161.43347555964;5638413.781312662
;;;;;486192.33448742016;5638411.695416435
;;;;;486237.92631000094;5638400.002967882
;;;;;486267.6759614424;5638363.583242637
;;;;;486058.6311537282;5638323.573653592
;;;;;486297.70119213365;5638371.028617638
;;;;;486213.17491345736;5638349.35783797
;;;;;486225.60996241966;5638397.198372743
;;;;;486331.4686175925;5638344.999800241
;;;;;486147.7902288512;5638412.290650885
;;;;;486223.11916635913;5638344.463250208
;;;;;486203.0429045121;5638406.252451695
;;;;;486248.40753276326;5638390.434025929
;;;;;486047.23219812143;5638321.296202686
;;;;;486319.38995705725;5638317.511580151
;;;;;486266.0142052168;5638377.2337634135
;;;;;486214.40928827465;5638400.773338795
;;;;;486036.6251304269;5638317.983700669
;;;;;486636.884881432;5638166.681287484
;;;;;486624.95210935455;5638118.672583957
;;;;;486621.73195947305;5638112.787152619
;;;;;486594.6707982799;5638161.595357759
;;;;;486617.7347893691;5638105.5851856
;;;;;486608.7971676996;5638165.657511413
;;;;;486617.08312216407;5638098.326939503
;;;;;486618.9178539891;5638168.302922559
;;;;;486614.76166795404;5638092.899891437
;;;;;486631.03465653065;5638148.891610001
;;;;;486608.9025462596;5638087.478438855
;;;;;486606.86882796447;5638077.620649513
;;;;;486606.5430617554;5638069.47591775
;;;;;486606.23878276383;5638064.209417388
;;;;;486602.80208351277;5638059.695125532
;;;;;486599.8348541255;5638052.238324082
;;;;;486596.9479784027;5638045.873022147
;;;;;486599.6407591205;5638035.749100466
;;;;;486596.7291291082;5638026.322286149
;;;;;486593.8108529293;5638017.027432913
;;;;;486632.6952585542;5638140.11470177
;;;;;486629.6914113821;5638133.164347152
;;;;;486626.3762037537;5638124.173434465
;;;;;486683.8758479219;5638094.456955236
;;;;;486686.76978383533;5638084.819414555
;;;;;486670.79652236344;5638139.038183054
;;;;;486666.47933766263;5638127.684383602
;;;;;486661.07601309987;5638122.182622099
;;;;;486661.64374602865;5638114.781442131
;;;;;486661.26325350587;5638104.419422827
;;;;;486683.637034912;5638171.365142608
;;;;;486706.9736924733;5638170.22667317
;;;;;486733.7334410638;5638173.150894453
;;;;;486686.63461075444;5638153.0373696415
;;;;;486721.7797042731;5638153.564034569
;;;;;486655.4397998239;5638063.593454361
;;;;;486643.1017061567;5638051.7710037995
;;;;;486616.2923945195;5638021.519915092
;;;;;486681.81743181194;5638053.584245345
;;;;;486632.6788622395;5638030.608215273
;;;;;486612.6425318185;5638009.739888604
;;;;;486647.94021946564;5638095.464800443
;;;;;486647.9916939214;5638085.39714677
;;;;;486642.2968741319;5638081.041537563
;;;;;486642.01478772215;5638071.464961566
;;;;;486638.08898755367;5638066.13271531
;;;;;486633.9855162614;5638062.1362826135
;;;;;486635.3802244668;5638055.468891726
;;;;;486630.4441491982;5638052.470793561
;;;;;486629.56593785033;5638047.361452732
;;;;;486628.0008706479;5638042.39579589
;;;;;486624.85215167515;5638036.954988918
;;;;;486622.3562012115;5638031.4013006855
;;;;;486612.12671924557;5638018.356619606
;;;;;486246.8187030793;5638095.90006546
;;;;;486317.67702631827;5638075.758229702
;;;;;486264.1741126809;5638089.886267091
;;;;;486427.50952188775;5638117.805982397
;;;;;486313.00713431486;5638056.186558439
;;;;;486259.3129661538;5638057.465095882
;;;;;486103.9708326826;5638092.462417605
;;;;;486297.2320706226;5638081.575247404
;;;;;486369.7893133174;5638048.253041986
;;;;;486284.972546993;5638084.578305603
;;;;;486257.21963507106;5638095.613059547
;;;;;486095.50526275224;5638441.660760619
;;;;;486388.93193350174;5638041.844530726
;;;;;486098.8874776036;5638121.611057885
;;;;;486499.9366031063;5638358.563137509
;;;;;486488.62909273553;5638363.170383212
;;;;;486513.7192790069;5638326.53067725
;;;;;486485.93875416735;5638341.631915066
;;;;;486494.4131254079;5638375.467914706
;;;;;486518.0109255841;5638331.0756548075
;;;;;486528.0518408187;5638190.547522462
;;;;;486509.51551553525;5638229.751022273
;;;;;486479.58659280173;5638230.078458844
;;;;;486510.896527146;5638241.579369927
