Zeit;Heizlast_Netz_kW;Gesamtwärmebedarf_Gebäude_kW;Vorlauftemperatur_Netz_°C;Rücklauftemperatur_Netz_°C;Massenstrom_Netzpumpe_kg_s;Delta_p_Netzpumpe_bar;Rücklaufdruck_Netzpumpe_bar;Vorlaufdruck_Netzpumpe_bar
2021-01-01 00:00:00;541.7841355;541.7841355;77.8;60;8.086583307;1.209736883;2.5;3.709736883
2021-01-01 01:00:00;421.2479359;421.2479359;77.32;60;6.328523689;1.209736883;2.5;3.709736883
2021-01-01 02:00:00;359.9318976;359.9318976;77.08;60;5.594941606;1.209736883;2.5;3.709736883
2021-01-01 03:00:00;450.5203476;450.5203476;77.32;60;5.761781128;1.209736883;2.5;3.709736883
2021-01-01 04:00:00;457.5997534;457.5997534;77.5;60;6.011978848;1.209736883;2.5;3.709736883
2021-01-01 05:00:00;495.2789596;495.2789596;77.56;60;6.160142557;1.209736883;2.5;3.709736883
2021-01-01 06:00:00;502.8706909;502.8706909;77.62;60;6.474106614;1.209736883;2.5;3.709736883
2021-01-01 07:00:00;552.030644;552.030644;77.68;60;7.092376213;1.209736883;2.5;3.709736883
2021-01-01 08:00:00;609.2015038;609.2015038;77.74;60;7.780823251;1.209736883;2.5;3.709736883
2021-01-01 09:00:00;605.3823506;605.3823506;77.74;60;8.010670033;1.209736883;2.5;3.709736883
2021-01-01 10:00:00;674.3599827;674.3599827;77.44;60;8.695571321;1.209736883;2.5;3.709736883
2021-01-01 11:00:00;569.3798459;569.3798459;77.5;60;8.374790622;1.209736883;2.5;3.709736883
2021-01-01 12:00:00;590.4783383;590.4783383;77.26;60;8.081634334;1.209736883;2.5;3.709736883
2021-01-01 13:00:00;663.834024;663.834024;77.44;60;8.64506197;1.209736883;2.5;3.709736883
2021-01-01 14:00:00;428.3040542;428.3040542;78.46;60;5.977905552;1.209736883;2.5;3.709736883
2021-01-01 15:00:00;451.3121232;451.3121232;78.7;60;5.76677475;1.209736883;2.5;3.709736883
2021-01-01 16:00:00;577.3208899;577.3208899;78.76;60;6.991695935;1.209736883;2.5;3.709736883
2021-01-01 17:00:00;387.7139081;387.7139081;78.64;60;5.530818946;1.209736883;2.5;3.709736883
2021-01-01 18:00:00;256.8380499;256.8380499;78.76;60;3.55694842;1.209736883;2.5;3.709736883
2021-01-01 19:00:00;244.6819648;244.6819648;78.88;60;3.436187766;1.16964382;2.5;3.66964382
2021-01-01 20:00:00;466.9380486;466.9380486;78.76;60;5.634242004;1.16964382;2.5;3.66964382
2021-01-01 21:00:00;454.4792258;454.4792258;78.58;60;5.804266332;1.16964382;2.5;3.66964382
2021-01-01 22:00:00;451.1723981;451.1723981;78.58;60;5.841834354;1.16964382;2.5;3.66964382
2021-01-01 23:00:00;401.1042317;401.1042317;78.76;60;5.489983613;1.16964382;2.5;3.66964382
2021-01-02 00:00:00;591.4892066;591.4892066;79.18;60;6.865460042;1.16964382;2.5;3.66964382
2021-01-02 01:00:00;252.0409342;252.0409342;79.42;60;3.369312669;1.16964382;2.5;3.66964382
2021-01-02 02:00:00;467.4220863;467.4220863;79.3;60;5.493679354;1.16964382;2.5;3.66964382
