Zeitpunkt;Heizlast_Netz_kW;Vorlauftemperatur_Netz_°C;Rücklauftemperatur_Netz_°C
2019-01-01 00:00:00;167.10444464879188;90.0;64.38500268890647
2019-01-01 01:00:00;174.08609844266203;90.0;63.43049640722552
2019-01-01 02:00:00;158.5584110955859;90.0;65.50267663575278
2019-01-01 03:00:00;173.34103484538517;90.0;63.52241648956772
2019-01-01 04:00:00;240.25565316284894;90.0;54.80825113429671
2019-01-01 05:00:00;333.24046696068876;90.0;43.40563360843845
2019-01-01 06:00:00;332.0501518712344;90.0;43.57206590852877
2019-01-01 07:00:00;324.0094519791361;90.0;44.696333078821795
2019-01-01 08:00:00;320.4385067102173;90.0;45.19562997917046
2019-01-01 09:00:00;314.2683019595107;90.0;46.05836067777824
2019-01-01 10:00:00;292.10599164665933;90.0;48.66510713390676
2019-01-01 11:00:00;282.2212066204215;90.0;49.72575774067718
2019-01-01 12:00:00;275.7121560602856;90.0;50.654628686543674
2019-01-01 13:00:00;268.4875542685218;90.0;51.36304197688975
2019-01-01 14:00:00;296.14047131496187;90.0;47.764119741691445
2019-01-01 15:00:00;298.86069450844616;90.0;47.37615851313757
2019-01-01 16:00:00;310.7366382959199;90.0;45.86706310570378
2019-01-01 17:00:00;320.7617276135154;90.0;44.686369441002796
2019-01-01 18:00:00;328.0859157318139;90.0;43.87127069985701
2019-01-01 19:00:00;328.35311579595077;90.0;43.833702493370424
2019-01-01 20:00:00;322.3289688932238;90.0;44.68069478537524
2019-01-01 21:00:00;296.0733222118117;90.0;48.21301585145079
2019-01-01 22:00:00;256.5153189001175;90.0;52.915852586260996
2019-01-01 23:00:00;194.91387353651518;90.0;60.718476775326565
