Zeitpunkt;Heizlast_Netz_kW;Vorlauftemperatur_Netz_°C;Rücklauftemperatur_Netz_°C
2021-01-01 00:00:00;140.0845592865989;85.0;64.71977648883029
2021-01-01 01:00:00;145.86288571668172;85.0;63.768610090067114
2021-01-01 02:00:00;132.87572053671772;85.0;65.00291483505549
2021-01-01 03:00:00;145.1541693077993;85.0;63.28231737137753
2021-01-01 04:00:00;201.61264280591385;85.0;60.73974557052219
2021-01-01 05:00:00;280.3314737284231;85.0;59.50480648855148
2021-01-01 06:00:00;279.3859118995116;85.0;59.946938601386535
2021-01-01 07:00:00;272.65554660084933;85.0;60.62341091943097
2021-01-01 08:00:00;269.6589289940784;85.0;60.86973408595526
2021-01-01 09:00:00;264.46645572015075;85.0;61.19821809563393
2021-01-01 10:00:00;245.84041841909198;85.0;62.36813122389378
2021-01-01 11:00:00;237.49647912149342;85.0;62.59400008182541
2021-01-01 12:00:00;231.9682381713991;85.0;62.60475829384683
2021-01-01 13:00:00;225.86253632271826;85.0;62.69115763102809
2021-01-01 14:00:00;249.03423617304387;85.0;60.63184410436605
2021-01-01 15:00:00;251.34423879377707;85.0;60.62247513073498
2021-01-01 16:00:00;261.34372756614584;85.0;60.06986103292451
2021-01-01 17:00:00;269.8014682635165;85.0;59.772028706329536
2021-01-01 18:00:00;276.0008782840874;85.0;59.696964834059315
2021-01-01 19:00:00;276.2734798273834;85.0;60.01409834400022
2021-01-01 20:00:00;271.2375485503799;85.0;60.573911479061906
2021-01-01 21:00:00;249.169662251722;85.0;62.128740930070364
2021-01-01 22:00:00;215.7382403630793;85.0;62.959397719211495
2021-01-01 23:00:00;163.59447215036133;85.0;63.960336315270695
2021-01-02 00:00:00;147.8746822069472;85.0;64.41107381739079
2021-01-02 01:00:00;157.82650063948356;85.0;63.05607416216492
2021-01-02 02:00:00;160.46062262094654;85.0;62.80304721179351
2021-01-02 03:00:00;172.05842634881228;85.0;61.701925181350305
2021-01-02 04:00:00;210.22583417160143;85.0;60.72256103917954
