Haustyp;Zone;Typtag;Profiltag;Fheiz,TT;Fel,TT;FTWW,TT;;;;;;;;
MFH;1;ÜWH;MFH1ÜWH;0.00189960;0.00001368;0.00001382;;Typtag;Fheiz,TT;Fel,TT;FTWW,TT;QHeiz,TT;WTT;Qtww,tt
MFH;1;ÜWB;MFH1ÜWB;0.00252730;0.00000369;0.00000490;;ÜWH;0.0016358;0.000010598;0.000010283;19.6296;5.543040055;4.155862541
MFH;1;ÜSH;MFH1ÜSH;0.00216630;-0.00001329;0.00000490;;ÜWB;0.0019625;7.2746E-07;0.000001477;23.55;5.483816815;4.116235541
MFH;1;ÜSB;MFH1ÜSB;0.00205900;-0.00001329;0.00001779;;ÜSH;0.001606;-0.000016053;0.000001477;19.272;5.383134055;4.116235541
MFH;1;SWX;MFH1SWX;0.00037422;-0.00003826;-0.00005263;;ÜSB;0.0016983;-0.000016053;0.000014197;20.3796;5.383134055;4.173475541
MFH;1;SSX;MFH1SSX;0.00030230;-0.00004026;-0.00004370;;SWX;0.00024096;-0.000040729;-0.000055272;2.89152;5.235078055;3.860865041
MFH;1;WWH;MFH1WWH;0.00592410;0.00005263;0.00002969;;SSX;0.00023233;-0.000042704;-0.000046466;2.78796;5.223228055;3.900492041
MFH;1;WWB;MFH1WWB;0.00499800;0.00001967;0.00002870;;WWH;0.0054139;0.000049094;0.000025938;64.9668;5.774016055;4.226310041
MFH;1;WSH;MFH1WSH;0.00579940;0.00003266;0.00002176;;WWB;0.0048892;0.000016521;0.000024959;58.6704;5.578578055;4.221904541
MFH;1;WSB;MFH1WSB;0.00408130;0.00000070;0.00001581;;WSH;0.0051799;0.000029352;0.00001811;62.1588;5.655564055;4.191084041
;;;;;;;;WSB;0.0039814;-2.2337E-06;0.00001224;47.7768;5.466049855;4.164669041
MFH;2;ÜWH;MFH2ÜWH;0.00191550;0.00001352;0.00001345;;;;;;;;
MFH;2;ÜWB;MFH2ÜWB;0.00237660;0.00000354;0.00000453;;;;;;;;
MFH;2;ÜSH;MFH2ÜSH;0.00191610;-0.00001343;0.00000453;;;;;;;;
MFH;2;ÜSB;MFH2ÜSB;0.00209430;-0.00001343;0.00001741;;;;;;;;
