ID;Zeit;Strombedarf normiert;Heizwärme normiert;Warmwasser normiert
EFH;00:00;0.004143646;0.010909091;0
EFH;00:15;0.006422652;0.009090909;0
EFH;00:30;0.005248619;0.010909091;0
EFH;00:45;0.005593923;0.007272727;0
EFH;01:00;0.005110497;0.012727273;0
EFH;01:15;0.005179558;0.009090909;0
EFH;01:30;0.004212707;0.009090909;0
EFH;01:45;0.004143646;0.010909091;0
EFH;02:00;0.005524862;0.007272727;0
EFH;02:15;0.00531768;0.010909091;0
EFH;02:30;0.005593923;0.010909091;0
EFH;02:45;0.005179558;0.009090909;0
EFH;03:00;0.00538674;0.009090909;0
EFH;03:15;0.004143646;0.010909091;0
EFH;03:30;0.004212707;0.009090909;0
EFH;03:45;0.005110497;0.010909091;0
EFH;04:00;0.005455801;0.010909091;0
EFH;04:15;0.005593923;0.007272727;0
EFH;04:30;0.004765193;0.010909091;0
EFH;04:45;0.00531768;0.007272727;0
EFH;05:00;0.00441989;0.009090909;0
EFH;05:15;0.004350829;0.010909091;0
EFH;05:30;0.00531768;0.010909091;0
EFH;05:45;0.005662983;0.007272727;0
EFH;06:00;0.005593923;0.009090909;0
EFH;06:15;0.004834254;0.010909091;0
EFH;06:30;0.008839779;0.009090909;0
EFH;06:45;0.015953039;0.014545455;0
EFH;07:00;0.014433702;0.007272727;0
EFH;07:15;0.015055249;0.010909091;0
EFH;07:30;0.014709945;0.014545455;0.333333333
EFH;07:45;0.01429558;0.010909091;0
EFH;08:00;0.014709945;0.014545455;0
EFH;08:15;0.014019337;0.012727273;0
EFH;08:30;0.013950276;0.012727273;0
EFH;08:45;0.012845304;0.014545455;0
EFH;09:00;0.012845304;0.014545455;0
EFH;09:15;0.027140884;0.014545455;0.111111111
EFH;09:30;0.024792818;0.012727273;0
EFH;09:45;0.011049724;0.007272727;0
EFH;10:00;0.011325967;0.018181818;0
EFH;10:15;0.010359116;0.009090909;0
EFH;10:30;0.010497238;0.014545455;0
EFH;10:45;0.01070442;0.014545455;0
EFH;11:00;0.011533149;0.012727273;0
EFH;11:15;0.010359116;0.014545455;0
EFH;11:30;0.009599448;0.014545455;0
EFH;11:45;0.009530387;0.012727273;0
EFH;12:00;0.008149171;0.014545455;0
EFH;12:15;0.008356354;0.010909091;0
EFH;12:30;0.012914365;0.005454545;0
EFH;12:45;0.010842541;0.014545455;0
EFH;13:00;0.010635359;0.010909091;0
EFH;13:15;0.01070442;0.009090909;0
EFH;13:30;0.014019337;0.009090909;0
EFH;13:45;0.013466851;0.009090909;0
EFH;14:00;0.005248619;0.010909091;0
EFH;14:15;0.003936464;0.014545455;0
EFH;14:30;0.00628453;0.009090909;0
EFH;14:45;0.008839779;0.012727273;0.111111111
EFH;15:00;0.026588398;0.005454545;0
EFH;15:15;0.02941989;0.012727273;0
EFH;15:30;0.015676796;0.007272727;0
EFH;15:45;0.008494475;0.014545455;0
EFH;16:00;0.007734807;0.007272727;0
EFH;16:15;0.009668508;0.012727273;0
EFH;16:30;0.01160221;0.009090909;0
EFH;16:45;0.010428177;0.010909091;0
EFH;17:00;0.011325967;0.010909091;0
EFH;17:15;0.01160221;0.005454545;0.222222222
EFH;17:30;0.011878453;0.016363636;0
EFH;17:45;0.012361878;0.007272727;0
EFH;18:00;0.0125;0.007272727;0
EFH;18:15;0.011740331;0.009090909;0
EFH;18:30;0.012016575;0.009090909;0
EFH;18:45;0.01070442;0.007272727;0
EFH;19:00;0.010773481;0.009090909;0
EFH;19:15;0.010359116;0.007272727;0
EFH;19:30;0.011187845;0.009090909;0
EFH;19:45;0.011395028;0.005454545;0
EFH;20:00;0.011533149;0.009090909;0
EFH;20:15;0.012638122;0.007272727;0
EFH;20:30;0.012016575;0.007272727;0
EFH;20:45;0.011878453;0.009090909;0
EFH;21:00;0.015953039;0.016363636;0.222222222
EFH;21:15;0.015953039;0.009090909;0
EFH;21:30;0.015607735;0.009090909;0
EFH;21:45;0.015607735;0.009090909;0
EFH;22:00;0.013121547;0.007272727;0
EFH;22:15;0.014088398;0.007272727;0
EFH;22:30;0.015676796;0.010909091;0
EFH;22:45;0.012292818;0.010909091;0
EFH;23:00;0.007665746;0.007272727;0
EFH;23:15;0.007458564;0.010909091;0
EFH;23:30;0.009185083;0.010909091;0
EFH;23:45;0.00808011;0.009090909;0
