ID;Zeit;Strombedarf normiert;Heizwärme normiert;Warmwasser normiert
EFH;00:00;0.003401557;0.013435701;0
EFH;00:15;0.004865956;0.009596929;0
EFH;00:30;0.005050447;0.003838772;0
EFH;00:45;0.005454021;0.017274472;0
EFH;01:00;0.004416258;0.015355086;0
EFH;01:15;0.003332372;0.009596929;0
EFH;01:30;0.003263188;0.003838772;0
EFH;01:45;0.003643701;0.017274472;0
EFH;02:00;0.003586048;0.013435701;0
EFH;02:15;0.00526953;0.015355086;0
EFH;02:30;0.005004324;0.003838772;0
EFH;02:45;0.005477083;0.015355086;0
EFH;03:00;0.00411646;0.015355086;0
EFH;03:15;0.004646872;0.015355086;0
EFH;03:30;0.003666763;0.003838772;0
EFH;03:45;0.003839723;0.017274472;0
EFH;04:00;0.00362064;0.017274472;0
EFH;04:15;0.005304122;0.015355086;0
EFH;04:30;0.005061978;0.003838772;0
EFH;04:45;0.005465552;0.013435701;0
EFH;05:00;0.0039435;0.015355086;0
EFH;05:15;0.003493802;0.013435701;0
EFH;05:30;0.016269818;0.003838772;0.055555556
EFH;05:45;0.006434131;0.019193858;0
EFH;06:00;0.006641683;0.024952015;0
EFH;06:15;0.014851542;0.017274472;0.018518519
EFH;06:30;0.012211012;0.003838772;0.018518519
EFH;06:45;0.005788412;0.017274472;0
EFH;07:00;0.005154223;0.017274472;0.092592593
EFH;07:15;0.005384837;0.026871401;0.074074074
EFH;07:30;0.006238109;0.003838772;0
EFH;07:45;0.005027385;0.009596929;0
EFH;08:00;0.007425771;0.009596929;0.018518519
EFH;08:15;0.016315941;0.007677543;0.055555556
EFH;08:30;0.005707697;0.003838772;0
EFH;08:45;0.005442491;0.011516315;0
EFH;09:00;0.005257999;0.013435701;0
EFH;09:15;0.004946671;0.007677543;0
EFH;09:30;0.004600749;0.003838772;0
EFH;09:45;0.014102047;0.009596929;0.018518519
EFH;10:00;0.007321995;0.011516315;0
EFH;10:15;0.023245892;0.009596929;0
EFH;10:30;0.025367541;0.003838772;0.018518519
EFH;10:45;0.005892188;0.011516315;0.018518519
EFH;11:00;0.007529547;0.024952015;0.018518519
EFH;11:15;0.005776881;0.001919386;0
EFH;11:30;0.004992793;0.009596929;0
EFH;11:45;0.025425195;0.015355086;0.12962963
EFH;12:00;0.035214759;0;0.018518519
EFH;12:15;0.01629288;0.013435701;0
EFH;12:30;0.005684635;0.011516315;0
EFH;12:45;0.00526953;0.007677543;0
EFH;13:00;0.005961372;0.017274472;0.148148148
EFH;13:15;0.006791583;0.015355086;0
EFH;13:30;0.005995964;0.007677543;0
EFH;13:45;0.005995964;0.001919386;0
EFH;14:00;0.007956183;0.007677543;0
EFH;14:15;0.009339867;0.005758157;0
EFH;14:30;0.009005477;0.003838772;0
EFH;14:45;0.007149034;0.009596929;0
EFH;15:00;0.007298933;0.009596929;0.018518519
EFH;15:15;0.004139521;0.005758157;0.018518519
EFH;15:30;0.004658403;0.005758157;0
EFH;15:45;0.00575382;0.009596929;0
EFH;16:00;0.010354569;0.007677543;0
EFH;16:15;0.006238109;0.007677543;0
EFH;16:30;0.008613433;0.003838772;0
EFH;16:45;0.006388008;0.009596929;0
EFH;17:00;0.004889017;0.009596929;0
EFH;17:15;0.007160565;0.007677543;0
EFH;17:30;0.007621793;0.005758157;0
EFH;17:45;0.007287403;0.009596929;0
EFH;18:00;0.006768521;0.009596929;0
EFH;18:15;0.006733929;0.005758157;0
EFH;18:30;0.006687806;0.005758157;0
EFH;18:45;0.008036898;0.009596929;0
EFH;19:00;0.047102912;0.009596929;0
EFH;19:15;0.025932545;0.030710173;0.240740741
EFH;19:30;0.01646584;0.007677543;0
EFH;19:45;0.020259441;0.011516315;0
EFH;20:00;0.02007495;0.009596929;0
EFH;20:15;0.020443932;0.005758157;0
EFH;20:30;0.020305564;0.005758157;0
EFH;20:45;0.019025656;0.011516315;0
EFH;21:00;0.019106371;0.009596929;0
EFH;21:15;0.021331796;0.003838772;0.018518519
EFH;21:30;0.020478524;0.013435701;0
EFH;21:45;0.020536178;0.011516315;0
EFH;22:00;0.021954454;0.007677543;0
EFH;22:15;0.021666186;0.003838772;0
EFH;22:30;0.020766792;0.013435701;0
EFH;22:45;0.018080138;0.011516315;0
EFH;23:00;0.017699625;0.009596929;0
EFH;23:15;0.019786682;0.003838772;0
EFH;23:30;0.014344191;0.015355086;0
EFH;23:45;0.016073796;0.011516315;0
