ID;Zeit;Strombedarf normiert;Heizwärme normiert;Warmwasser normiert
MFH;00:00;0.006474;0.010736;0
MFH;00:15;0.006117;0.007443;0
MFH;00:30;0.006474;0.008311;0
MFH;00:45;0.006045;0.00845;0
MFH;01:00;0.006153;0.008335;0
MFH;01:15;0.005115;0.008331;0
MFH;01:30;0.005974;0.00846;0
MFH;01:45;0.006904;0.008363;0.000036
MFH;02:00;0.00651;0.008364;0
MFH;02:15;0.005616;0.008405;0
MFH;02:30;0.006188;0.009284;0
MFH;02:45;0.006689;0.014639;0
MFH;03:00;0.007118;0.014295;0
MFH;03:15;0.006224;0.006874;0
MFH;03:30;0.007583;0.008492;0
MFH;03:45;0.007047;0.008358;0
MFH;04:00;0.007583;0.008207;0
MFH;04:15;0.00651;0.008186;0
MFH;04:30;0.006689;0.008307;0
MFH;04:45;0.005974;0.008182;0
MFH;05:00;0.005616;0.008185;0
MFH;05:15;0.005974;0.008178;0.004648
MFH;05:30;0.007583;0.011205;0.009039
MFH;05:45;0.006868;0.00883;0
MFH;06:00;0.005509;0.011828;0
MFH;06:15;0.004471;0.008216;0
MFH;06:30;0.005222;0.008222;0
MFH;06:45;0.004686;0.008214;0
MFH;07:00;0.006009;0.008455;0
MFH;07:15;0.00719;0.00832;0
MFH;07:30;0.00812;0.008198;0
MFH;07:45;0.006832;0.008311;0.029445
MFH;08:00;0.008656;0.008218;0.003471
MFH;08:15;0.013092;0.008682;0.000761
MFH;08:30;0.009694;0.015788;0.040419
MFH;08:45;0.009336;0.016474;0.051074
MFH;09:00;0.009694;0.017593;0.041868
MFH;09:15;0.00812;0.018784;0.055111
MFH;09:30;0.008978;0.006884;0.078571
MFH;09:45;0.008013;0.008884;0.009056
MFH;10:00;0.011339;0.0197;0.009177
MFH;10:15;0.011876;0.017807;0.000535
MFH;10:30;0.01996;0.01534;0.023418
MFH;10:45;0.025111;0.016303;0.051354
MFH;11:00;0.0137;0.014155;0.003325
MFH;11:15;0.00905;0.015048;0.00098
MFH;11:30;0.011375;0.014272;0.007574
MFH;11:45;0.012484;0.013612;0
MFH;12:00;0.014237;0.015457;0
MFH;12:15;0.00905;0.0094;0.001816
MFH;12:30;0.013128;0.006977;0.000039
MFH;12:45;0.019888;0.010631;0.000039
MFH;13:00;0.012234;0.009889;0.008776
MFH;13:15;0.016204;0.009165;0.004389
MFH;13:30;0.013378;0.009082;0.00676
MFH;13:45;0.00812;0.008731;0.001108
MFH;14:00;0.008692;0.007963;0.007528
MFH;14:15;0.008156;0.007974;0
MFH;14:30;0.008299;0.007599;0
MFH;14:45;0.007583;0.007885;0.043798
MFH;15:00;0.007941;0.011621;0.00294
MFH;15:15;0.008692;0.011681;0.007827
MFH;15:30;0.00812;0.010699;0.000311
MFH;15:45;0.009336;0.015719;0
MFH;16:00;0.010874;0.013924;0.014207
MFH;16:15;0.014237;0.013213;0.009929
MFH;16:30;0.020675;0.014257;0.098833
MFH;16:45;0.019781;0.014912;0.020452
MFH;17:00;0.020675;0.014086;0
MFH;17:15;0.014416;0.013054;0.003374
MFH;17:30;0.01835;0.014564;0.0011
MFH;17:45;0.018171;0.015822;0.001234
MFH;18:00;0.014237;0.010899;0.069203
MFH;18:15;0.011089;0.003465;0.00035
MFH;18:30;0.014594;0.008424;0.006
MFH;18:45;0.013843;0.009836;0.020667
MFH;19:00;0.018171;0.008768;0.001606
MFH;19:15;0.011518;0.008461;0.013024
MFH;19:30;0.010302;0.009649;0.010009
MFH;19:45;0.010338;0.010594;0.03248
MFH;20:00;0.010445;0.010963;0.011678
MFH;20:15;0.011375;0.011343;0
MFH;20:30;0.012055;0.011645;0
MFH;20:45;0.026577;0.012547;0
MFH;21:00;0.022464;0.009846;0
MFH;21:15;0.01717;0.008584;0.01118
MFH;21:30;0.02021;0.007184;0.018273
MFH;21:45;0.012198;0.00704;0.147482
MFH;22:00;0.01066;0.00821;0.000566
MFH;22:15;0.009765;0.008497;0.002316
MFH;22:30;0.008513;0.008316;0.000844
MFH;22:45;0.006725;0.008319;0
MFH;23:00;0.005652;0.008202;0
MFH;23:15;0.005652;0.009058;0
MFH;23:30;0.006188;0.006933;0
MFH;23:45;0.006474;0.005185;0
