ID;Zeit;Strombedarf normiert;Heizwärme normiert;Warmwasser normiert
MFH;00:00;0.008014;0.008708;0.013287
MFH;00:15;0.006023;0.005976;0.003216
MFH;00:30;0.006751;0.013891;0.000024
MFH;00:45;0.006071;0.011162;0.004277
MFH;01:00;0.006265;0.012473;0.000952
MFH;01:15;0.00578;0.009298;0
MFH;01:30;0.006023;0.012534;0
MFH;01:45;0.006994;0.009476;0
MFH;02:00;0.006703;0.01265;0
MFH;02:15;0.006168;0.008564;0
MFH;02:30;0.00612;0.012506;0
MFH;02:45;0.005925;0.006878;0.005171
MFH;03:00;0.006023;0.013512;0.002588
MFH;03:15;0.00578;0.007136;0
MFH;03:30;0.005828;0.013422;0
MFH;03:45;0.00578;0.009795;0
MFH;04:00;0.005828;0.008896;0
MFH;04:15;0.006557;0.015064;0
MFH;04:30;0.006508;0.007332;0.004507
MFH;04:45;0.006314;0.013894;0.001608
MFH;05:00;0.005343;0.008968;0
MFH;05:15;0.0051;0.008274;0.000256
MFH;05:30;0.006023;0.015178;0.000336
MFH;05:45;0.005585;0.00293;0.000185
MFH;06:00;0.00544;0.001014;0.027973
MFH;06:15;0.005391;0.00221;0.003262
MFH;06:30;0.006557;0.018094;0.007867
MFH;06:45;0.012871;0.02345;0.000477
MFH;07:00;0.007528;0.013455;0.0015
MFH;07:15;0.009228;0.012692;0.008309
MFH;07:30;0.010928;0.011659;0.03794
MFH;07:45;0.008014;0.005683;0.048645
MFH;08:00;0.007771;0.014139;0.016226
MFH;08:15;0.009228;0.012062;0.016311
MFH;08:30;0.011171;0.011957;0.010822
MFH;08:45;0.008014;0.009501;0.011929
MFH;09:00;0.008985;0.011738;0.033195
MFH;09:15;0.011899;0.012469;0.05142
MFH;09:30;0.012142;0.008126;0.009557
MFH;09:45;0.021126;0.012544;0.038126
MFH;10:00;0.009082;0.006816;0.039988
MFH;10:15;0.00816;0.01205;0.005824
MFH;10:30;0.006023;0.010639;0.014132
MFH;10:45;0.013356;0.01015;0.020774
MFH;11:00;0.008014;0.012686;0.014038
MFH;11:15;0.017728;0.010044;0.028208
MFH;11:30;0.018699;0.003224;0.014868
MFH;11:45;0.018462;0.013642;0.021405
MFH;12:00;0.018219;0.006834;0.014901
MFH;12:15;0.019433;0.010799;0.003418
MFH;12:30;0.014085;0.01158;0.00305
MFH;12:45;0.014571;0.008359;0.000255
MFH;13:00;0.0085;0.010636;0.00527
MFH;13:15;0.011899;0.006083;0.010561
MFH;13:30;0.007528;0.013337;0.003717
MFH;13:45;0.007528;0.006043;0.01114
MFH;14:00;0.010199;0.013693;0.018303
MFH;14:15;0.0085;0.009767;0.016673
MFH;14:30;0.0068;0.00987;0.01417
MFH;14:45;0.0068;0.00507;0.00087
MFH;15:00;0.005828;0.014448;0.016161
MFH;15:15;0.009957;0.006718;0.007814
MFH;15:30;0.010928;0.011908;0.007289
MFH;15:45;0.007285;0.01075;0.010231
MFH;16:00;0.005828;0.006542;0.023351
MFH;16:15;0.006314;0.009324;0.010397
MFH;16:30;0.009471;0.014044;0.003451
MFH;16:45;0.015056;0.009259;0.015056
MFH;17:00;0.018213;0.012504;0.012106
MFH;17:15;0.013842;0.007358;0.014945
MFH;17:30;0.011171;0.009668;0.00771
MFH;17:45;0.015785;0.012852;0.001199
MFH;18:00;0.01797;0.007517;0.00521
MFH;18:15;0.017485;0.013994;0.00346
MFH;18:30;0.020885;0.009073;0.017782
MFH;18:45;0.020399;0.01033;0.019293
MFH;19:00;0.017728;0.012895;0.006951
MFH;19:15;0.012628;0.009301;0.007367
MFH;19:30;0.013599;0.012796;0.014146
MFH;19:45;0.013114;0.007393;0.009595
MFH;20:00;0.011657;0.010604;0.00165
MFH;20:15;0.010928;0.012663;0.006951
MFH;20:30;0.012385;0.011371;0.018866
MFH;20:45;0.012628;0.012573;0.006042
MFH;21:00;0.014085;0.00596;0.003607
MFH;21:15;0.014328;0.013691;0.0035
MFH;21:30;0.013114;0.009818;0.004209
MFH;21:45;0.013356;0.011725;0.009557
MFH;22:00;0.013356;0.00956;0.012614
MFH;22:15;0.013842;0.005511;0.007621
MFH;22:30;0.011657;0.01483;0.013392
MFH;22:45;0.014814;0.009554;0.018725
MFH;23:00;0.011899;0.012993;0.012737
MFH;23:15;0.012871;0.009398;0.017248
MFH;23:30;0.009471;0.006769;0.016917
MFH;23:45;0.008742;0.013677;0.011315
