ID;Zeit;Strombedarf normiert;Heizwärme normiert;Warmwasser normiert
MFH;00:00;0.006871;0.000144;0
MFH;00:15;0.006663;0.0006;0.000171
MFH;00:30;0.006246;0.011238;0
MFH;00:45;0.005205;0.009518;0
MFH;01:00;0.006871;0.00952;0.000667
MFH;01:15;0.005621;0.00892;0.000095
MFH;01:30;0.006663;0.020014;0
MFH;01:45;0.006454;0.002102;0
MFH;02:00;0.006454;0.000234;0
MFH;02:15;0.006454;0;0
MFH;02:30;0.006454;0.006763;0
MFH;02:45;0.006871;0.009039;0
MFH;03:00;0.007079;0.008537;0
MFH;03:15;0.006454;0.007037;0
MFH;03:30;0.00583;0.008288;0
MFH;03:45;0.005205;0.00907;0
MFH;04:00;0.005205;0.008807;0
MFH;04:15;0.006454;0.009199;0
MFH;04:30;0.006246;0.012043;0
MFH;04:45;0.006454;0.014193;0
MFH;05:00;0.005621;0.016323;0
MFH;05:15;0.005205;0.014467;0
MFH;05:30;0.00583;0.016246;0
MFH;05:45;0.006663;0.01174;0.003159
MFH;06:00;0.005205;0.002004;0
MFH;06:15;0.00583;0.01134;0
MFH;06:30;0.006663;0.019836;0.000527
MFH;06:45;0.007287;0.020081;0.003098
MFH;07:00;0.007704;0.015195;0.032558
MFH;07:15;0.009786;0.018191;0.002585
MFH;07:30;0.007495;0.01891;0.059996
MFH;07:45;0.007704;0.016827;0.001462
MFH;08:00;0.007287;0.011955;0.000343
MFH;08:15;0.006663;0.010436;0.089123
MFH;08:30;0.007079;0.011711;0.058098
MFH;08:45;0.008745;0.005136;0
MFH;09:00;0.00812;0;0.012637
MFH;09:15;0.009161;0.000193;0.015722
MFH;09:30;0.008953;0.000193;0.023789
MFH;09:45;0.011035;0.009784;0.01187
MFH;10:00;0.02207;0.011173;0.00242
MFH;10:15;0.021445;0.010039;0.006874
MFH;10:30;0.023943;0.010696;0.01218
MFH;10:45;0.019571;0.010174;0.007687
MFH;11:00;0.012284;0.011686;0.000707
MFH;11:15;0.014366;0.008993;0.074124
MFH;11:30;0.013533;0.00646;0.016076
MFH;11:45;0.01041;0.022012;0.000177
MFH;12:00;0.01041;0.000221;0.022142
MFH;12:15;0.009786;0.013129;0.035671
MFH;12:30;0.014158;0.013695;0.009422
MFH;12:45;0.014574;0.013723;0.000416
MFH;13:00;0.01041;0.014258;0.00133
MFH;13:15;0.012076;0.017146;0.009689
MFH;13:30;0.015615;0.016553;0.005714
MFH;13:45;0.01624;0.01308;0.008262
MFH;14:00;0.013325;0.012285;0
MFH;14:15;0.010827;0.012352;0.048992
MFH;14:30;0.011035;0.022793;0.004198
MFH;14:45;0.012284;0.012694;0.022572
MFH;15:00;0.011868;0;0.004266
MFH;15:15;0.010827;0.00458;0.001635
MFH;15:30;0.011451;0.009489;0.108755
MFH;15:45;0.011243;0.008688;0.058817
MFH;16:00;0.011868;0.00971;0.015415
MFH;16:15;0.01041;0;0.00838
MFH;16:30;0.009369;0.002382;0
MFH;16:45;0.008536;0.002906;0.001292
MFH;17:00;0.009577;0.007698;0
MFH;17:15;0.009786;0.008076;0
MFH;17:30;0.011451;0.006567;0.000177
MFH;17:45;0.015199;0.006002;0.00401
MFH;18:00;0.009577;0.00844;0.003023
MFH;18:15;0.011659;0.008258;0.004163
MFH;18:30;0.012492;0.007512;0.000072
MFH;18:45;0.019155;0.007483;0.033288
MFH;19:00;0.019988;0.010711;0.063737
MFH;19:15;0.01853;0.018247;0.008906
MFH;19:30;0.014574;0.009827;0.002655
MFH;19:45;0.01395;0.006034;0.001536
MFH;20:00;0.013117;0.012646;0.000554
MFH;20:15;0.013117;0.017163;0.011349
MFH;20:30;0.010202;0.015974;0.006205
MFH;20:45;0.008745;0.017148;0
MFH;21:00;0.009161;0.017163;0
MFH;21:15;0.009786;0.014296;0.002781
MFH;21:30;0.016032;0.019831;0.025606
MFH;21:45;0.018738;0.013602;0
MFH;22:00;0.017073;0.01577;0
MFH;22:15;0.015823;0.015523;0
MFH;22:30;0.014366;0.017335;0.015391
MFH;22:45;0.009369;0.019105;0.006479
MFH;23:00;0.008328;0.010503;0.006613
MFH;23:15;0.007912;0.011804;0
MFH;23:30;0.007495;0.000295;0.000341
MFH;23:45;0.007079;0.000239;0
