Typ;Wochentag;Temperatur;Stunde;Stundenfaktor
HEF;1;-17.5;0;2.96
HEF;1;-17.5;1;2.94
HEF;1;-17.5;2;3
HEF;1;-17.5;3;3.07
HEF;1;-17.5;4;3.21
HEF;1;-17.5;5;3.8
HEF;1;-17.5;6;5.77
HEF;1;-17.5;7;5.25
HEF;1;-17.5;8;4.98
HEF;1;-17.5;9;4.76
HEF;1;-17.5;10;4.66
HEF;1;-17.5;11;4.37
HEF;1;-17.5;12;4.23
HEF;1;-17.5;13;4.22
HEF;1;-17.5;14;4.18
HEF;1;-17.5;15;4.38
HEF;1;-17.5;16;4.72
HEF;1;-17.5;17;4.82
HEF;1;-17.5;18;4.72
HEF;1;-17.5;19;4.69
HEF;1;-17.5;20;4.61
HEF;1;-17.5;21;4.23
HEF;1;-17.5;22;3.45
HEF;1;-17.5;23;2.98
HEF;1;-12.5;0;2.92
HEF;1;-12.5;1;2.89
HEF;1;-12.5;2;2.96
HEF;1;-12.5;3;3.03
HEF;1;-12.5;4;3.18
HEF;1;-12.5;5;3.79
HEF;1;-12.5;6;5.73
HEF;1;-12.5;7;5.3
HEF;1;-12.5;8;5.01
HEF;1;-12.5;9;4.79
HEF;1;-12.5;10;4.69
HEF;1;-12.5;11;4.38
HEF;1;-12.5;12;4.24
HEF;1;-12.5;13;4.22
HEF;1;-12.5;14;4.18
HEF;1;-12.5;15;4.39
HEF;1;-12.5;16;4.75
HEF;1;-12.5;17;4.85
HEF;1;-12.5;18;4.75
HEF;1;-12.5;19;4.71
HEF;1;-12.5;20;4.63
HEF;1;-12.5;21;4.24
HEF;1;-12.5;22;3.43
HEF;1;-12.5;23;2.94
HEF;1;-7.5;0;2.81
HEF;1;-7.5;1;2.79
HEF;1;-7.5;2;2.86
HEF;1;-7.5;3;2.94
HEF;1;-7.5;4;3.1
HEF;1;-7.5;5;3.78
HEF;1;-7.5;6;6.02
HEF;1;-7.5;7;5.37
HEF;1;-7.5;8;5.07
HEF;1;-7.5;9;4.83
HEF;1;-7.5;10;4.72
HEF;1;-7.5;11;4.38
HEF;1;-7.5;12;4.24
HEF;1;-7.5;13;4.22
HEF;1;-7.5;14;4.18
HEF;1;-7.5;15;4.39
HEF;1;-7.5;16;4.78
HEF;1;-7.5;17;4.89
HEF;1;-7.5;18;4.78
HEF;1;-7.5;19;4.75
HEF;1;-7.5;20;4.65
HEF;1;-7.5;21;4.24
HEF;1;-7.5;22;3.37
HEF;1;-7.5;23;2.84
HEF;1;-2.5;0;2.62
HEF;1;-2.5;1;2.66
HEF;1;-2.5;2;2.74
HEF;1;-2.5;3;2.89
HEF;1;-2.5;4;3.33
HEF;1;-2.5;5;4.3
HEF;1;-2.5;6;5.51
HEF;1;-2.5;7;5.1
HEF;1;-2.5;8;4.97
HEF;1;-2.5;9;4.82
HEF;1;-2.5;10;4.67
HEF;1;-2.5;11;4.46
HEF;1;-2.5;12;4.39
HEF;1;-2.5;13;4.35
HEF;1;-2.5;14;4.48
HEF;1;-2.5;15;4.56
HEF;1;-2.5;16;4.81
HEF;1;-2.5;17;4.89
HEF;1;-2.5;18;4.91
HEF;1;-2.5;19;4.84
HEF;1;-2.5;20;4.66
HEF;1;-2.5;21;4.14
HEF;1;-2.5;22;3.18
HEF;1;-2.5;23;2.72
HEF;1;2.5;0;2.3
HEF;1;2.5;1;2.37
HEF;1;2.5;2;2.43
HEF;1;2.5;3;2.62
HEF;1;2.5;4;3.12
HEF;1;2.5;5;4.49
HEF;1;2.5;6;5.77
HEF;1;2.5;7;5.37
HEF;1;2.5;8;5.1
HEF;1;2.5;9;4.88
HEF;1;2.5;10;4.65
HEF;1;2.5;11;4.48
HEF;1;2.5;12;4.38
HEF;1;2.5;13;4.37
HEF;1;2.5;14;4.46
HEF;1;2.5;15;4.58
HEF;1;2.5;16;4.81
HEF;1;2.5;17;5.01
HEF;1;2.5;18;5.06
HEF;1;2.5;19;5.05
HEF;1;2.5;20;4.85
HEF;1;2.5;21;4.3
HEF;1;2.5;22;3.09
HEF;1;2.5;23;2.46
HEF;1;7.5;0;1.96
HEF;1;7.5;1;2.08
HEF;1;7.5;2;2.17
HEF;1;7.5;3;2.49
HEF;1;7.5;4;3.26
HEF;1;7.5;5;4.81
HEF;1;7.5;6;6.19
HEF;1;7.5;7;5.78
HEF;1;7.5;8;5.27
HEF;1;7.5;9;4.86
HEF;1;7.5;10;4.52
HEF;1;7.5;11;4.3
HEF;1;7.5;12;4.24
HEF;1;7.5;13;4.22
HEF;1;7.5;14;4.33
HEF;1;7.5;15;4.52
HEF;1;7.5;16;4.78
HEF;1;7.5;17;5.09
HEF;1;7.5;18;5.23
HEF;1;7.5;19;5.27
HEF;1;7.5;20;5.04
HEF;1;7.5;21;4.4
HEF;1;7.5;22;3.01
HEF;1;7.5;23;2.18
HEF;1;12.5;0;1.42
HEF;1;12.5;1;1.55
HEF;1;12.5;2;1.67
HEF;1;12.5;3;2
HEF;1;12.5;4;2.98
HEF;1;12.5;5;5.4
HEF;1;12.5;6;6.85
HEF;1;12.5;7;6.79
HEF;1;12.5;8;5.78
HEF;1;12.5;9;5.27
HEF;1;12.5;10;4.78
HEF;1;12.5;11;4.35
HEF;1;12.5;12;4.15
HEF;1;12.5;13;4.02
HEF;1;12.5;14;3.99
HEF;1;12.5;15;4.14
HEF;1;12.5;16;4.41
HEF;1;12.5;17;4.77
HEF;1;12.5;18;5.15
HEF;1;12.5;19;5.52
HEF;1;12.5;20;5.35
HEF;1;12.5;21;4.74
HEF;1;12.5;22;3.15
HEF;1;12.5;23;1.77
HEF;1;17.5;0;0.96
HEF;1;17.5;1;1.05
HEF;1;17.5;2;1.12
HEF;1;17.5;3;1.62
HEF;1;17.5;4;2.89
HEF;1;17.5;5;6.62
HEF;1;17.5;6;8.21
HEF;1;17.5;7;7.57
HEF;1;17.5;8;6.09
HEF;1;17.5;9;6.01
HEF;1;17.5;10;5.13
HEF;1;17.5;11;4.83
HEF;1;17.5;12;4.42
HEF;1;17.5;13;3.97
HEF;1;17.5;14;3.78
HEF;1;17.5;15;3.59
HEF;1;17.5;16;4
HEF;1;17.5;17;4.28
HEF;1;17.5;18;4.56
HEF;1;17.5;19;5.13
HEF;1;17.5;20;5.19
HEF;1;17.5;21;4.42
HEF;1;17.5;22;3.09
HEF;1;17.5;23;1.47
HEF;1;22.5;0;0.45
HEF;1;22.5;1;0.54
HEF;1;22.5;2;0.44
HEF;1;22.5;3;0.81
HEF;1;22.5;4;1.91
HEF;1;22.5;5;6.01
HEF;1;22.5;6;9.39
HEF;1;22.5;7;8.09
HEF;1;22.5;8;6.14
HEF;1;22.5;9;5.87
HEF;1;22.5;10;5.33
HEF;1;22.5;11;5.41
HEF;1;22.5;12;5.21
HEF;1;22.5;13;4.2
HEF;1;22.5;14;4.03
HEF;1;22.5;15;3.6
HEF;1;22.5;16;4.23
HEF;1;22.5;17;4.98
HEF;1;22.5;18;4.82
HEF;1;22.5;19;5.08
HEF;1;22.5;20;5.26
HEF;1;22.5;21;4.5
HEF;1;22.5;22;2.62
HEF;1;22.5;23;1.08
HEF;1;27.5;0;0.45
HEF;1;27.5;1;0.54
HEF;1;27.5;2;0.44
HEF;1;27.5;3;0.81
HEF;1;27.5;4;1.91
HEF;1;27.5;5;6.01
HEF;1;27.5;6;9.39
HEF;1;27.5;7;8.09
HEF;1;27.5;8;6.14
HEF;1;27.5;9;5.87
HEF;1;27.5;10;5.33
HEF;1;27.5;11;5.41
HEF;1;27.5;12;5.21
HEF;1;27.5;13;4.2
HEF;1;27.5;14;4.03
HEF;1;27.5;15;3.6
HEF;1;27.5;16;4.23
HEF;1;27.5;17;4.98
HEF;1;27.5;18;4.82
HEF;1;27.5;19;5.08
HEF;1;27.5;20;5.26
HEF;1;27.5;21;4.5
HEF;1;27.5;22;2.62
HEF;1;27.5;23;1.08
HEF;2;-17.5;0;2.96
HEF;2;-17.5;1;2.94
HEF;2;-17.5;2;3
HEF;2;-17.5;3;3.07
HEF;2;-17.5;4;3.21
HEF;2;-17.5;5;3.8
HEF;2;-17.5;6;5.77
HEF;2;-17.5;7;5.25
HEF;2;-17.5;8;4.98
HEF;2;-17.5;9;4.76
HEF;2;-17.5;10;4.66
HEF;2;-17.5;11;4.37
HEF;2;-17.5;12;4.23
HEF;2;-17.5;13;4.22
HEF;2;-17.5;14;4.18
HEF;2;-17.5;15;4.38
HEF;2;-17.5;16;4.72
HEF;2;-17.5;17;4.82
HEF;2;-17.5;18;4.72
HEF;2;-17.5;19;4.69
HEF;2;-17.5;20;4.61
HEF;2;-17.5;21;4.23
HEF;2;-17.5;22;3.45
HEF;2;-17.5;23;2.98
HEF;2;-12.5;0;2.92
HEF;2;-12.5;1;2.89
HEF;2;-12.5;2;2.96
HEF;2;-12.5;3;3.03
HEF;2;-12.5;4;3.18
HEF;2;-12.5;5;3.79
HEF;2;-12.5;6;5.73
HEF;2;-12.5;7;5.3
HEF;2;-12.5;8;5.01
HEF;2;-12.5;9;4.79
HEF;2;-12.5;10;4.69
HEF;2;-12.5;11;4.38
HEF;2;-12.5;12;4.24
HEF;2;-12.5;13;4.22
HEF;2;-12.5;14;4.18
HEF;2;-12.5;15;4.39
HEF;2;-12.5;16;4.75
HEF;2;-12.5;17;4.85
HEF;2;-12.5;18;4.75
HEF;2;-12.5;19;4.71
HEF;2;-12.5;20;4.63
HEF;2;-12.5;21;4.24
HEF;2;-12.5;22;3.43
HEF;2;-12.5;23;2.94
HEF;2;-7.5;0;2.81
HEF;2;-7.5;1;2.79
HEF;2;-7.5;2;2.86
HEF;2;-7.5;3;2.94
HEF;2;-7.5;4;3.1
HEF;2;-7.5;5;3.78
HEF;2;-7.5;6;6.02
HEF;2;-7.5;7;5.37
HEF;2;-7.5;8;5.07
HEF;2;-7.5;9;4.83
HEF;2;-7.5;10;4.72
HEF;2;-7.5;11;4.38
HEF;2;-7.5;12;4.24
HEF;2;-7.5;13;4.22
HEF;2;-7.5;14;4.18
HEF;2;-7.5;15;4.39
HEF;2;-7.5;16;4.78
HEF;2;-7.5;17;4.89
HEF;2;-7.5;18;4.78
HEF;2;-7.5;19;4.75
HEF;2;-7.5;20;4.65
HEF;2;-7.5;21;4.24
HEF;2;-7.5;22;3.37
HEF;2;-7.5;23;2.84
HEF;2;-2.5;0;2.62
HEF;2;-2.5;1;2.66
HEF;2;-2.5;2;2.74
HEF;2;-2.5;3;2.89
HEF;2;-2.5;4;3.33
HEF;2;-2.5;5;4.3
HEF;2;-2.5;6;5.51
HEF;2;-2.5;7;5.1
HEF;2;-2.5;8;4.97
HEF;2;-2.5;9;4.82
HEF;2;-2.5;10;4.67
HEF;2;-2.5;11;4.46
HEF;2;-2.5;12;4.39
HEF;2;-2.5;13;4.35
HEF;2;-2.5;14;4.48
HEF;2;-2.5;15;4.56
HEF;2;-2.5;16;4.81
HEF;2;-2.5;17;4.89
HEF;2;-2.5;18;4.91
HEF;2;-2.5;19;4.84
HEF;2;-2.5;20;4.66
HEF;2;-2.5;21;4.14
HEF;2;-2.5;22;3.18
HEF;2;-2.5;23;2.72
HEF;2;2.5;0;2.3
HEF;2;2.5;1;2.37
HEF;2;2.5;2;2.43
HEF;2;2.5;3;2.62
HEF;2;2.5;4;3.12
HEF;2;2.5;5;4.49
HEF;2;2.5;6;5.77
HEF;2;2.5;7;5.37
HEF;2;2.5;8;5.1
HEF;2;2.5;9;4.88
HEF;2;2.5;10;4.65
HEF;2;2.5;11;4.48
HEF;2;2.5;12;4.38
HEF;2;2.5;13;4.37
HEF;2;2.5;14;4.46
HEF;2;2.5;15;4.58
HEF;2;2.5;16;4.81
HEF;2;2.5;17;5.01
HEF;2;2.5;18;5.06
HEF;2;2.5;19;5.05
HEF;2;2.5;20;4.85
HEF;2;2.5;21;4.3
HEF;2;2.5;22;3.09
HEF;2;2.5;23;2.46
HEF;2;7.5;0;1.96
HEF;2;7.5;1;2.08
HEF;2;7.5;2;2.17
HEF;2;7.5;3;2.49
HEF;2;7.5;4;3.26
HEF;2;7.5;5;4.81
HEF;2;7.5;6;6.19
HEF;2;7.5;7;5.78
HEF;2;7.5;8;5.27
HEF;2;7.5;9;4.86
HEF;2;7.5;10;4.52
HEF;2;7.5;11;4.3
HEF;2;7.5;12;4.24
HEF;2;7.5;13;4.22
HEF;2;7.5;14;4.33
HEF;2;7.5;15;4.52
HEF;2;7.5;16;4.78
HEF;2;7.5;17;5.09
HEF;2;7.5;18;5.23
HEF;2;7.5;19;5.27
HEF;2;7.5;20;5.04
HEF;2;7.5;21;4.4
HEF;2;7.5;22;3.01
HEF;2;7.5;23;2.18
HEF;2;12.5;0;1.42
HEF;2;12.5;1;1.55
HEF;2;12.5;2;1.67
HEF;2;12.5;3;2
HEF;2;12.5;4;2.98
HEF;2;12.5;5;5.4
HEF;2;12.5;6;6.85
HEF;2;12.5;7;6.79
HEF;2;12.5;8;5.78
HEF;2;12.5;9;5.27
HEF;2;12.5;10;4.78
HEF;2;12.5;11;4.35
HEF;2;12.5;12;4.15
HEF;2;12.5;13;4.02
HEF;2;12.5;14;3.99
HEF;2;12.5;15;4.14
HEF;2;12.5;16;4.41
HEF;2;12.5;17;4.77
HEF;2;12.5;18;5.15
HEF;2;12.5;19;5.52
HEF;2;12.5;20;5.35
HEF;2;12.5;21;4.74
HEF;2;12.5;22;3.15
HEF;2;12.5;23;1.77
HEF;2;17.5;0;0.96
HEF;2;17.5;1;1.05
HEF;2;17.5;2;1.12
HEF;2;17.5;3;1.62
HEF;2;17.5;4;2.89
HEF;2;17.5;5;6.62
HEF;2;17.5;6;8.21
HEF;2;17.5;7;7.57
HEF;2;17.5;8;6.09
HEF;2;17.5;9;6.01
HEF;2;17.5;10;5.13
HEF;2;17.5;11;4.83
HEF;2;17.5;12;4.42
HEF;2;17.5;13;3.97
HEF;2;17.5;14;3.78
HEF;2;17.5;15;3.59
HEF;2;17.5;16;4
HEF;2;17.5;17;4.28
HEF;2;17.5;18;4.56
HEF;2;17.5;19;5.13
HEF;2;17.5;20;5.19
HEF;2;17.5;21;4.42
HEF;2;17.5;22;3.09
HEF;2;17.5;23;1.47
HEF;2;22.5;0;0.45
HEF;2;22.5;1;0.54
HEF;2;22.5;2;0.44
HEF;2;22.5;3;0.81
HEF;2;22.5;4;1.91
HEF;2;22.5;5;6.01
HEF;2;22.5;6;9.39
HEF;2;22.5;7;8.09
HEF;2;22.5;8;6.14
HEF;2;22.5;9;5.87
HEF;2;22.5;10;5.33
HEF;2;22.5;11;5.41
HEF;2;22.5;12;5.21
HEF;2;22.5;13;4.2
HEF;2;22.5;14;4.03
HEF;2;22.5;15;3.6
HEF;2;22.5;16;4.23
HEF;2;22.5;17;4.98
HEF;2;22.5;18;4.82
HEF;2;22.5;19;5.08
HEF;2;22.5;20;5.26
HEF;2;22.5;21;4.5
HEF;2;22.5;22;2.62
HEF;2;22.5;23;1.08
HEF;2;27.5;0;0.45
HEF;2;27.5;1;0.54
HEF;2;27.5;2;0.44
HEF;2;27.5;3;0.81
HEF;2;27.5;4;1.91
HEF;2;27.5;5;6.01
