ID;Zeit;Strombedarf normiert;Heizwärme normiert;Warmwasser normiert
EFH;00:00;0.005525676;0.013315579;0
EFH;00:15;0.006630811;0.014647137;0
EFH;00:30;0.006630811;0.013315579;0
EFH;00:45;0.006557135;0.003994674;0
EFH;01:00;0.007072865;0.014647137;0
EFH;01:15;0.005599352;0.014647137;0
EFH;01:30;0.006041406;0.014647137;0
EFH;01:45;0.005525676;0.013315579;0
EFH;02:00;0.006409784;0.010652463;0
EFH;02:15;0.007146541;0.009320905;0
EFH;02:30;0.006630811;0.014647137;0
EFH;02:45;0.006336108;0.010652463;0
EFH;03:00;0.005525676;0.013315579;0
EFH;03:15;0.005525676;0.014647137;0
EFH;03:30;0.006557135;0.003994674;0
EFH;03:45;0.006630811;0.014647137;0
EFH;04:00;0.007072865;0.014647137;0
EFH;04:15;0.006262433;0.013315579;0
EFH;04:30;0.005525676;0.014647137;0
EFH;04:45;0.00596773;0.009320905;0
EFH;05:00;0.005673027;0.014647137;0
EFH;05:15;0.006925514;0.010652463;0
EFH;05:30;0.006778163;0.013315579;0
EFH;05:45;0.006630811;0.014647137;0
EFH;06:00;0.006115081;0.013315579;0
EFH;06:15;0.005525676;0.007989348;0
EFH;06:30;0.005673027;0.011984021;0
EFH;06:45;0.006409784;0.014647137;0
EFH;07:00;0.006630811;0.014647137;0
EFH;07:15;0.007146541;0.014647137;0
EFH;07:30;0.005673027;0.013315579;0
EFH;07:45;0.005599352;0.014647137;0
EFH;08:00;0.009872541;0.009320905;0
EFH;08:15;0.006115081;0.014647137;0
EFH;08:30;0.007883298;0.014647137;0
EFH;08:45;0.006262433;0.009320905;0
EFH;09:00;0.007588595;0.005326232;0
EFH;09:15;0.007293892;0.014647137;0.142857143
EFH;09:30;0.007146541;0.014647137;0.047619048
EFH;09:45;0.010314595;0.009320905;0
EFH;10:00;0.03138584;0.010652463;0.047619048
EFH;10:15;0.020039785;0.009320905;0
EFH;10:30;0.011567082;0.00665779;0
EFH;10:45;0.025491785;0.010652463;0.047619048
EFH;11:00;0.02335519;0.015978695;0.047619048
EFH;11:15;0.007735946;0.014647137;0
EFH;11:30;0.008178;0.009320905;0
EFH;11:45;0.00972519;0.010652463;0.047619048
EFH;12:00;0.019524055;0.010652463;0
EFH;12:15;0.038900759;0.007989348;0
EFH;12:30;0.016577028;0.009320905;0
EFH;12:45;0.008325352;0.014647137;0
EFH;13:00;0.008546379;0.010652463;0
EFH;13:15;0.00972519;0.010652463;0
EFH;13:30;0.010388271;0.011984021;0
EFH;13:45;0.008030649;0.009320905;0.095238095
EFH;14:00;0.007883298;0.00665779;0
EFH;14:15;0.007367568;0.009320905;0
EFH;14:30;0.007441244;0.003994674;0
EFH;14:45;0.008546379;0.007989348;0
EFH;15:00;0.009577838;0.00665779;0
EFH;15:15;0.008988433;0.005326232;0
EFH;15:30;0.008546379;0.00665779;0
EFH;15:45;0.006630811;0.00665779;0
EFH;16:00;0.007588595;0.00665779;0
EFH;16:15;0.007441244;0.00665779;0
EFH;16:30;0.007146541;0.005326232;0.047619048
EFH;16:45;0.008841082;0.00665779;0.047619048
EFH;17:00;0.011051352;0.003994674;0.285714286
EFH;17:15;0.007367568;0.010652463;0
EFH;17:30;0.00699919;0.009320905;0
EFH;17:45;0.00972519;0.00665779;0
EFH;18:00;0.014514109;0.00665779;0
EFH;18:15;0.013335298;0.005326232;0
EFH;18:30;0.011861784;0.007989348;0
EFH;18:45;0.015913947;0.003994674;0
EFH;19:00;0.012524866;0.013315579;0
EFH;19:15;0.012082811;0.007989348;0
EFH;19:30;0.011640757;0.010652463;0
EFH;19:45;0.012819568;0.005326232;0
EFH;20:00;0.012524866;0.007989348;0
EFH;20:15;0.011567082;0.007989348;0
EFH;20:30;0.014219406;0.00665779;0
EFH;20:45;0.011788109;0.010652463;0
EFH;21:00;0.015103514;0.011984021;0.142857143
EFH;21:15;0.015029839;0.007989348;0
EFH;21:30;0.033743461;0.014647137;0
EFH;21:45;0.021955353;0.010652463;0
EFH;22:00;0.019303028;0.010652463;0
EFH;22:15;0.035290651;0.009320905;0
EFH;22:30;0.012377514;0.010652463;0
EFH;22:45;0.011125028;0.010652463;0
EFH;23:00;0.011198703;0.009320905;0
EFH;23:15;0.007809622;0.010652463;0
EFH;23:30;0.005525676;0.007989348;0
EFH;23:45;0.005673027;0.011984021;0
