ID;Zeit;Strombedarf normiert;Heizwärme normiert;Warmwasser normiert
MFH;00:00;0.006284;0.001488;0
MFH;00:15;0.006123;0;0
MFH;00:30;0.005962;0.000442;0
MFH;00:45;0.006123;0.000278;0
MFH;01:00;0.006123;0.000202;0
MFH;01:15;0.005156;0.000218;0.00277
MFH;01:30;0.004512;0.000217;0.000319
MFH;01:45;0.004834;0.003469;0
MFH;02:00;0.005479;0.001901;0.002262
MFH;02:15;0.004995;0.004432;0
MFH;02:30;0.00564;0.001852;0
MFH;02:45;0.004834;0.004749;0
MFH;03:00;0.004512;0.00473;0
MFH;03:15;0.004834;0.001338;0
MFH;03:30;0.004512;0.010343;0
MFH;03:45;0.004351;0.009921;0
MFH;04:00;0.005156;0.006334;0
MFH;04:15;0.006284;0.013441;0
MFH;04:30;0.005801;0.004333;0
MFH;04:45;0.00564;0.006686;0
MFH;05:00;0.005962;0.008699;0
MFH;05:15;0.005317;0.003325;0
MFH;05:30;0.005479;0.009028;0
MFH;05:45;0.004834;0.009731;0
MFH;06:00;0.004512;0.00567;0
MFH;06:15;0.004995;0.005212;0.000046
MFH;06:30;0.005962;0.038805;0.007685
MFH;06:45;0.005479;0.02587;0.000046
MFH;07:00;0.004834;0.030353;0.000092
MFH;07:15;0.005156;0.023319;0
MFH;07:30;0.005801;0.012311;0
MFH;07:45;0.00564;0.026899;0.003022
MFH;08:00;0.009668;0.013966;0.00508
MFH;08:15;0.008218;0.028804;0.007346
MFH;08:30;0.008218;0.013564;0.007808
MFH;08:45;0.008379;0.019929;0.016138
MFH;09:00;0.011279;0.023137;0.004876
MFH;09:15;0.013535;0.010198;0.003968
MFH;09:30;0.011441;0.023689;0.005358
MFH;09:45;0.012246;0.017871;0.113202
MFH;10:00;0.013052;0.011677;0.050092
MFH;10:15;0.016919;0.014425;0.025045
MFH;10:30;0.020464;0.003205;0.041001
MFH;10:45;0.014019;0.002089;0.007436
MFH;11:00;0.017564;0.01839;0.009085
MFH;11:15;0.024009;0.01764;0.006769
MFH;11:30;0.02417;0.022334;0.002548
MFH;11:45;0.013696;0.008279;0.022231
MFH;12:00;0.019658;0.013272;0.066666
MFH;12:15;0.014502;0.019316;0.009102
MFH;12:30;0.010957;0.012516;0.037587
MFH;12:45;0.009668;0.01374;0.0266
MFH;13:00;0.008057;0.007796;0.024487
MFH;13:15;0.009829;0.006676;0.118331
MFH;13:30;0.012407;0.008196;0.026969
MFH;13:45;0.009346;0.008675;0.004646
MFH;14:00;0.016113;0.003407;0
MFH;14:15;0.013535;0.004179;0.00005
MFH;14:30;0.010313;0.005013;0.000198
MFH;14:45;0.011441;0.004805;0.008321
MFH;15:00;0.009024;0.004223;0.005138
MFH;15:15;0.006768;0.005903;0.000691
MFH;15:30;0.008701;0.005842;0
MFH;15:45;0.014663;0.006476;0.002012
MFH;16:00;0.012246;0.007868;0.000209
MFH;16:15;0.011118;0.008036;0.007793
MFH;16:30;0.01273;0.017725;0.000826
MFH;16:45;0.011441;0.012771;0.003148
MFH;17:00;0.011602;0.004107;0.000556
MFH;17:15;0.009346;0.008255;0.007004
MFH;17:30;0.007734;0.017748;0.040029
MFH;17:45;0.00854;0.011653;0.014323
MFH;18:00;0.01273;0.007918;0.002853
MFH;18:15;0.012407;0.01799;0.009918
MFH;18:30;0.020464;0.014477;0.014325
MFH;18:45;0.032549;0.0096;0.071347
MFH;19:00;0.023848;0.011725;0.026815
MFH;19:15;0.017725;0.007709;0.00318
MFH;19:30;0.013858;0.004234;0.013239
MFH;19:45;0.009829;0.017009;0.002997
MFH;20:00;0.010957;0.014907;0.01173
MFH;20:15;0.010796;0.007928;0.000814
MFH;20:30;0.012407;0.011168;0.004639
MFH;20:45;0.011602;0.015362;0.00412
MFH;21:00;0.009346;0.005886;0.040843
MFH;21:15;0.010313;0.011734;0.041494
MFH;21:30;0.012568;0.019904;0.001016
MFH;21:45;0.019981;0.01169;0
MFH;22:00;0.014824;0.010464;0.000476
MFH;22:15;0.013858;0.015993;0
MFH;22:30;0.013535;0.020725;0.000074
MFH;22:45;0.012891;0.006951;0.000464
MFH;23:00;0.009668;0.00515;0.000695
MFH;23:15;0.009507;0.005777;0
MFH;23:30;0.009507;0.002544;0.000047
MFH;23:45;0.00709;0.000165;0
