ID;Zeit;Strombedarf normiert;Heizwärme normiert;Warmwasser normiert
MFH;00:00;0.007782;0.007347;0.003845
MFH;00:15;0.007688;0.013816;0.023092
MFH;00:30;0.007735;0.007214;0.006899
MFH;00:45;0.009206;0.008002;0.000031
MFH;01:00;0.009253;0.006291;0.00003
MFH;01:15;0.009206;0.013613;0.00006
MFH;01:30;0.009111;0.012965;0
MFH;01:45;0.00821;0.008909;0
MFH;02:00;0.008494;0.006257;0
MFH;02:15;0.007925;0.011582;0
MFH;02:30;0.008779;0.013848;0
MFH;02:45;0.007877;0.008399;0
MFH;03:00;0.007593;0.006211;0.006698
MFH;03:15;0.007735;0.009868;0.020238
MFH;03:30;0.009111;0.017316;0
MFH;03:45;0.008399;0.008808;0
MFH;04:00;0.007593;0.00979;0
MFH;04:15;0.00764;0.00789;0
MFH;04:30;0.007593;0.00978;0
MFH;04:45;0.007593;0.00646;0
MFH;05:00;0.007593;0.012583;0.00012
MFH;05:15;0.007593;0.012443;0
MFH;05:30;0.00802;0.009571;0.006784
MFH;05:45;0.007877;0.014291;0.03546
MFH;06:00;0.007545;0.005491;0.020575
MFH;06:15;0.00821;0.006694;0.002149
MFH;06:30;0.010013;0.006121;0.000247
MFH;06:45;0.009728;0.015833;0.000913
MFH;07:00;0.00987;0.012869;0.030289
MFH;07:15;0.010155;0.012582;0.001541
MFH;07:30;0.009111;0.007022;0.013888
MFH;07:45;0.008921;0.004422;0.000458
MFH;08:00;0.007735;0.016649;0.013291
MFH;08:15;0.00802;0.009364;0.00577
MFH;08:30;0.009111;0.011609;0.009905
MFH;08:45;0.009681;0.013207;0.016469
MFH;09:00;0.010582;0.011548;0.008473
MFH;09:15;0.009633;0.007078;0.000317
MFH;09:30;0.009823;0.004757;0.003098
MFH;09:45;0.009491;0.01391;0.000808
MFH;10:00;0.009016;0.009731;0.035687
MFH;10:15;0.010155;0.001483;0.055969
MFH;10:30;0.009633;0.015715;0.009958
MFH;10:45;0.007498;0.012039;0.053858
MFH;11:00;0.01025;0.011768;0.009295
MFH;11:15;0.012765;0.003433;0.044046
MFH;11:30;0.016523;0.006581;0.01271
MFH;11:45;0.019454;0.013887;0.006917
MFH;12:00;0.01025;0.008195;0.034329
MFH;12:15;0.009206;0.009641;0.028148
MFH;12:30;0.007877;0.021189;0.002743
MFH;12:45;0.010535;0.017428;0.003226
MFH;13:00;0.010819;0.004572;0
MFH;13:15;0.013002;0.006808;0.007352
MFH;13:30;0.013145;0.00603;0.004128
MFH;13:45;0.017131;0.00685;0.006684
MFH;14:00;0.019171;0.019333;0.000762
MFH;14:15;0.015328;0.014469;0.001085
MFH;14:30;0.011579;0.008329;0
MFH;14:45;0.013429;0.007963;0.009337
MFH;15:00;0.011341;0.006222;0.006489
MFH;15:15;0.007498;0.005721;0.009439
MFH;15:30;0.012196;0.00681;0.065898
MFH;15:45;0.016704;0.018429;0.05726
MFH;16:00;0.012148;0.011616;0.017147
MFH;16:15;0.008779;0.007496;0.000089
MFH;16:30;0.015422;0.005942;0.001385
MFH;16:45;0.009965;0.007877;0.00017
MFH;17:00;0.008304;0.0062;0.00924
MFH;17:15;0.008874;0.006022;0.008915
MFH;17:30;0.009111;0.013825;0.019305
MFH;17:45;0.01025;0.015696;0.010929
MFH;18:00;0.010487;0.006682;0.020465
MFH;18:15;0.012575;0.009617;0.010273
MFH;18:30;0.007735;0.00614;0.000336
MFH;18:45;0.013002;0.01443;0.003382
MFH;19:00;0.016799;0.017983;0.002357
MFH;19:15;0.017416;0.009603;0.025497
MFH;19:30;0.020975;0.014907;0.019299
MFH;19:45;0.012765;0.007614;0.00986
MFH;20:00;0.012623;0.00763;0.001956
MFH;20:15;0.01286;0.018595;0.008269
MFH;20:30;0.015755;0.012726;0.017421
MFH;20:45;0.011104;0.009991;0.007022
MFH;21:00;0.016087;0.018046;0
MFH;21:15;0.010962;0.008152;0.000058
MFH;21:30;0.008921;0.007228;0.0497
MFH;21:45;0.008304;0.01902;0.007176
MFH;22:00;0.009064;0.011255;0.000081
MFH;22:15;0.008162;0.006911;0.000079
MFH;22:30;0.009396;0.012615;0.012442
MFH;22:45;0.009159;0.017653;0.011707
MFH;23:00;0.008779;0.005966;0.024542
MFH;23:15;0.008779;0.006249;0.000028
MFH;23:30;0.008826;0.017667;0.004017
MFH;23:45;0.008874;0.013609;0.000081
