std_type;nominal_width_mm;outer_diameter_mm;inner_diameter_mm;standard_dimension_ratio;material;insulation;RAU;WDZAHL
80_GGG;80;98;86;16.33;GGG;0;0;0
100_GGG;100;118;105.8;19.34;GGG;0;0;0
125_GGG;125;144;131.6;23.23;GGG;0;0;0
150_GGG;150;170;157;26.15;GGG;0;0;0
200_GGG;200;222;208;31.71;GGG;0;0;0
250_GGG;250;274;259;36.53;GGG;0;0;0
300_GGG;300;326;310;40.75;GGG;0;0;0
350_GGG;350;378;361;44.47;GGG;0;0;0
400_GGG;400;429;411;47.67;GGG;0;0;0
500_GGG;500;532;512;53.2;GGG;0;0;0
600_GGG;600;635;613;57.73;GGG;0;0;0
20_PE_100_SDR_11;20;20;16.2;10.53;PE 100;0;0;0
25_PE_100_SDR_11;25;25;20.4;10.87;PE 100;0;0;0
32_PE_100_SDR_11;32;32;26.2;11.03;PE 100;0;0;0
40_PE_100_SDR_11;40;40;32.6;10.81;PE 100;0;0;0
50_PE_100_SDR_11;50;50;40.8;10.87;PE 100;0;0;0
63_PE_100_SDR_11;63;63;51.4;10.86;PE 100;0;0;0
75_PE_100_SDR_11;75;75;61.4;11.03;PE 100;0;0;0
90_PE_100_SDR_11;90;90;73.6;10.98;PE 100;0;0;0
90_PE_100_SDR_17;90;90;79.2;16.67;PE 100;0;0;0
110_PE_100_SDR_11;110;110;90;11;PE 100;0;0;0
110_PE_100_SDR_17;110;110;96.8;16.67;PE 100;0;0;0
125_PE_100_SDR_11;125;125;102.2;10.96;PE 100;0;0;0
125_PE_100_SDR_17;125;125;110.2;16.89;PE 100;0;0;0
140_PE_100_SDR_17;140;140;123.4;16.87;PE 100;0;0;0
160_PE_100_SDR_11;160;160;130.8;10.96;PE 100;0;0;0
160_PE_100_SDR_17;160;160;141;16.84;PE 100;0;0;0
180_PE_100_SDR_17;180;180;158.6;16.82;PE 100;0;0;0
180_PE_100_SDR_11;180;180;147.2;10.98;PE 100;0;0;0
200_PE_100_SDR_17;200;200;176.2;16.81;PE 100;0;0;0
225_PE_100_SDR_11;225;225;184;10.98;PE 100;0;0;0
225_PE_100_SDR_17;225;225;198.2;16.79;PE 100;0;0;0
250_PE_100_SDR_11;250;250;204.6;11.01;PE 100;0;0;0
250_PE_100_SDR_17;250;250;220.4;16.89;PE 100;0;0;0
280_PE_100_SDR_11;280;280;229.2;11.02;PE 100;0;0;0
280_PE_100_SDR_17;280;280;246.8;16.87;PE 100;0;0;0
315_PE_100_SDR_17;315;315;277.6;16.84;PE 100;0;0;0
315_PE_100_SDR_11;315;315;257.8;11.01;PE 100;0;0;0
355_PE_100_SDR_11;355;355;290.6;11.02;PE 100;0;0;0
355_PE_100_SDR_17;355;355;312.8;16.82;PE 100;0;0;0
400_PE_100_SDR_11;400;400;327.4;11.02;PE 100;0;0;0
400_PE_100_SDR_17;400;400;352.6;16.88;PE 100;0;0;0
450_PE_100_SDR_17;450;450;396.6;16.85;PE 100;0;0;0
450_PE_100_SDR_11;450;450;368;10.98;PE 100;0;0;0
500_PE_100_SDR_17;500;500;440.6;16.84;PE 100;0;0;0
560_PE_100_SDR_17;560;560;493.6;16.87;PE 100;0;0;0
630_PE_100_SDR_17;630;630;555.2;16.84;PE 100;0;0;0
710_PE_100_SDR_17;710;710;625.8;16.86;PE 100;0;0;0
800_PE_100_SDR_17;800;800;705.2;16.88;PE 100;0;0;0
900_PE_100_SDR_17;900;900;793.4;16.89;PE 100;0;0;0
20_PE_80_SDR_11;20;20;16.2;10.53;PE 80;0;0;0
25_PE_80_SDR_11;25;25;20.4;10.87;PE 80;0;0;0
32_PE_80_SDR_17.6;32;32;28.4;17.78;PE 80;0;0;0
32_PE_80_SDR_11;32;32;26.2;11.03;PE 80;0;0;0
40_PE_80_SDR_11;40;40;32.6;10.81;PE 80;0;0;0
50_PE_80_SDR_11;50;50;40.8;10.87;PE 80;0;0;0
63_PE_80_SDR_11;63;63;51.4;10.86;PE 80;0;0;0
75_PE_80_SDR_11;75;75;61.4;11.03;PE 80;0;0;0
90_PE_80_SDR_17;90;90;79.2;16.67;PE 80;0;0;0
90_PE_80_SDR_11;90;90;73.6;10.98;PE 80;0;0;0
110_PE_80_SDR_17;110;110;96.8;16.67;PE 80;0;0;0
110_PE_80_SDR_11;110;110;90;11;PE 80;0;0;0
125_PE_80_SDR_17;125;125;110.2;16.89;PE 80;0;0;0
125_PE_80_SDR_11;125;125;102.2;10.96;PE 80;0;0;0
140_PE_80_SDR_17;140;140;123.4;16.87;PE 80;0;0;0
160_PE_80_SDR_17;160;160;141;16.84;PE 80;0;0;0
160_PE_80_SDR_11;160;160;130.8;10.96;PE 80;0;0;0
180_PE_80_SDR_11;180;180;147.2;10.98;PE 80;0;0;0
180_PE_80_SDR_17;180;180;158.6;16.82;PE 80;0;0;0
200_PE_80_SDR_17;200;200;176.2;16.81;PE 80;0;0;0
225_PE_80_SDR_17;225;225;198.2;16.79;PE 80;0;0;0
225_PE_80_SDR_11;225;225;184;10.98;PE 80;0;0;0
250_PE_80_SDR_17;250;250;220.4;16.89;PE 80;0;0;0
250_PE_80_SDR_11;250;250;204.6;11.01;PE 80;0;0;0
280_PE_80_SDR_17;280;280;246.8;16.87;PE 80;0;0;0
280_PE_80_SDR_11;280;280;229.2;11.02;PE 80;0;0;0
315_PE_80_SDR_17;315;315;277.6;16.84;PE 80;0;0;0
315_PE_80_SDR_11;315;315;257.8;11.01;PE 80;0;0;0
355_PE_80_SDR_11;355;355;290.6;11.02;PE 80;0;0;0
355_PE_80_SDR_17;355;355;312.8;16.82;PE 80;0;0;0
400_PE_80_SDR_11;400;400;327.4;11.02;PE 80;0;0;0
400_PE_80_SDR_17;400;400;352.6;16.88;PE 80;0;0;0
450_PE_80_SDR_17;450;450;396.6;16.85;PE 80;0;0;0
500_PE_80_SDR_17;500;500;440.6;16.84;PE 80;0;0;0
560_PE_80_SDR_17;560;560;493.6;16.87;PE 80;0;0;0
630_PE_80_SDR_17;630;630;555.2;16.84;PE 80;0;0;0
710_PE_80_SDR_17;710;710;625.8;16.86;PE 80;0;0;0
800_PE_80_SDR_17;800;800;705.2;16.88;PE 80;0;0;0
900_PE_80_SDR_17;900;900;793.4;16.89;PE 80;0;0;0
75_PE-HD_10;75;75;61.2;10.87;PE-HD 10;0;0;0
90_PE-HD_10;90;90;73.6;10.98;PE-HD 10;0;0;0
110_PE-HD_10;110;110;90;11;PE-HD 10;0;0;0
140_PE-HD_10;140;140;114.4;10.94;PE-HD 10;0;0;0
160_PE-HD_10;160;160;130.8;10.96;PE-HD 10;0;0;0
225_PE-HD_10;225;225;184;10.98;PE-HD 10;0;0;0
280_PE-HD_10;280;280;229;10.98;PE-HD 10;0;0;0
355_PE-HD_10;355;355;290.4;10.99;PE-HD 10;0;0;0
400_PE-HD_10;400;400;327.2;10.99;PE-HD 10;0;0;0
450_PE-HD_10;450;450;368;10.98;PE-HD 10;0;0;0
20_PE-HD_16;20;20;14.4;7.14;PE-HD 16;0;0;0
25_PE-HD_16;25;25;18;7.14;PE-HD 16;0;0;0
32_PE-HD_16;32;32;23;7.11;PE-HD 16;0;0;0
40_PE-HD_16;40;40;28.8;7.14;PE-HD 16;0;0;0
50_PE-HD_16;50;50;36.2;7.25;PE-HD 16;0;0;0
63_PE-HD_16;63;63;45.6;7.24;PE-HD 16;0;0;0
75_PE-HD_16;75;75;54.2;7.21;PE-HD 16;0;0;0
90_PE-HD_16;90;90;65;7.2;PE-HD 16;0;0;0
110PE-HD_16;110;110;79.6;7.24;PE-HD 16;0;0;0
125_PE-HD_16;125;125;90.4;7.23;PE-HD 16;0;0;0
140_PE-HD_16;140;140;103.2;7.61;PE-HD 16;0;0;0
160_PE-HD_16;160;160;115.8;7.24;PE-HD 16;0;0;0
180-PE-HD_16;180;180;130.2;7.23;PE-HD 16;0;0;0
200-PE-HD_16;200;200;144.8;7.25;PE-HD 16;0;0;0
225_PE-HD_16;225;225;162.8;7.23;PE-HD 16;0;0;0
250_PE-HD_16;250;250;181;7.25;PE-HD 16;0;0;0
280_PE-HD_16;280;280;202.6;7.24;PE-HD 16;0;0;0
315_PE-HD_16;315;315;228;7.24;PE-HD 16;0;0;0
355_PE-HD_16;355;355;257;7.24;PE-HD 16;0;0;0
400_PE-HD_16;400;400;289.6;7.25;PE-HD 16;0;0;0
90_PE-HD_6;90;90;79.8;17.65;PE-HD 6;0;0;0
110_PE-HD_6;110;110;97.4;17.46;PE-HD 6;0;0;0
125_PE-HD_6;125;125;110.8;17.61;PE-HD 6;0;0;0
140_PE-HD_6;140;140;124;17.5;PE-HD 6;0;0;0
160_PE-HD_6;160;160;141.8;17.58;PE-HD 6;0;0;0
180_PE-HD_6;180;180;159.6;17.65;PE-HD 6;0;0;0
200_PE-HD_6;200;200;177.2;17.54;PE-HD 6;0;0;0
225_PE-HD_6;225;225;199.4;17.58;PE-HD 6;0;0;0
250_PE-HD_6;250;250;221.6;17.61;PE-HD 6;0;0;0
280_PE-HD_6;280;280;248.2;17.61;PE-HD 6;0;0;0
315_PE-HD_6;315;315;279.2;17.6;PE-HD 6;0;0;0
355_PE-HD_6;355;355;314.8;17.66;PE-HD 6;0;0;0
400_PE-HD_6;400;400;354.6;17.62;PE-HD 6;0;0;0
450_PE-HD_6;450;450;399;17.65;PE-HD 6;0;0;0
500_PE-HD_6;500;500;443.4;17.67;PE-HD 6;0;0;0
560_PE-HD_6;560;560;496.6;17.67;PE-HD 6;0;0;0
630_PE-HD_6;630;630;558.6;17.65;PE-HD 6;0;0;0
25_PE-Xa_SDR_11;25;32;26.2;11.03;PE-Xa;0;0;0
32_PE-Xa_SDR_11;32;40;32.6;10.81;PE-Xa;0;0;0
