;waerme_ges_W_1;waerme_ges_W_2;waerme_ges_W_3;waerme_ges_W_4;waerme_ges_W_5;waerme_ges_W_6;waerme_ges_W_7;waerme_ges_W_8;waerme_ges_W_9;strombedarf_hast_ges_W_1;strombedarf_hast_ges_W_2;strombedarf_hast_ges_W_3;strombedarf_hast_ges_W_4;strombedarf_hast_ges_W_5;strombedarf_hast_ges_W_6;strombedarf_hast_ges_W_7;strombedarf_hast_ges_W_8;strombedarf_hast_ges_W_9
2021-01-01T00:00:00;24380.286099028133;5368.4903584481635;248317.7287863976;117386.56269902433;5368.4903584481635;10736.980716896327;293466.4067475608;10736.980716896327;186238.2965897982;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-01-01T01:00:00;18956.157113488927;5633.33895885635;193071.97060035012;91270.38610198372;5633.33895885635;11266.6779177127;228175.9652549592;11266.6779177127;144803.9779502626;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-01-01T02:00:00;16196.93539422217;5044.581442966375;164968.78642263316;77985.24449069932;5044.581442966375;10089.16288593275;194963.11122674827;10089.16288593275;123726.58981697487;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-01-01T03:00:00;20273.4156403094;5605.193027454085;206488.4926327809;97612.74197186007;5605.193027454085;11210.38605490817;244031.85492965014;11210.38605490817;154866.3694745857;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-01-01T04:00:00;20591.98890375684;8143.8637581959665;209733.22031604187;99146.61324031069;8143.8637581959665;16287.727516391933;247866.53310077667;16287.727516391933;157299.91523703138;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-01-01T05:00:00;22287.55318092114;11671.794766420688;227002.85647234487;107310.44124147212;11671.794766420688;23343.589532841375;268276.1031036803;23343.589532841375;170252.14235425866;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-01-01T06:00:00;22629.18108843385;11626.576712692464;230482.39997478912;108955.31635171849;11626.576712692464;23253.153425384928;272388.2908792962;23253.153425384928;172861.79998109187;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-01-01T07:00:00;24841.378980333626;11321.124145671178;253014.04517006464;119606.63953493966;11321.124145671178;22642.248291342356;299016.59883734916;22642.248291342356;189760.5338775485;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-01-01T08:00:00;27414.067670344983;11185.469984486492;279217.3559016618;131993.65915351285;11185.469984486492;22370.939968972983;329984.1478837821;22370.939968972983;209413.01692624632;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-01-01T09:00:00;27242.205778222014;10951.074359038137;277466.9107041131;131166.17596921712;10951.074359038137;21902.148718076274;327915.4399230427;21902.148718076274;208100.18302808484;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-01-01T10:00:00;30346.19922010129;10110.387686662321;309081.6587232538;146111.32957826543;10110.387686662321;20220.775373324643;365278.32394566364;20220.775373324643;231811.24404244043;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-01-01T11:00:00;25622.093063453165;9735.723812914157;260965.76268331916;123365.63326847817;9735.723812914157;19471.447625828314;308414.08317119535;19471.447625828314;195724.3220124894;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-01-01T12:00:00;26571.52522359584;9488.408743543449;270635.90505514276;127936.97329879478;9488.408743543449;18976.817487086897;319842.4332469869;18976.817487086897;202976.92879135706;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
